adcode,city,city_fullname,province,province_fullname,province_code,admin_type,altitude_m,lat,lon,anchor_lat,anchor_lon,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,csi_PR,perovskite_PR,tandem_PR,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,land_grid_cell_count,land_grid_area_weight_sum,aggregation_method,single_capacity_pct,single_delta_kwh_per_kwp,single_area_pct,single_delta_kwh_per_m2,tandem_capacity_pct,tandem_delta_kwh_per_kwp,tandem_area_pct,tandem_delta_kwh_per_m2,ghi_quartile,tandem_density_ratio,tandem_stc_gain_pp,tandem_operating_correction_pp,utilization_low,utilization_high,csi_npv_cap,perovskite_npv_cap,tandem_npv_cap,csi_npv_area,perovskite_npv_area,tandem_npv_area,csi_npv_cap_per_initial,perovskite_npv_cap_per_initial,tandem_npv_cap_per_initial,csi_npv_area_per_initial,perovskite_npv_area_per_initial,tandem_npv_area_per_initial,csi_full_horizon_cost_usd_kwh,perovskite_full_horizon_cost_usd_kwh,tandem_full_horizon_cost_usd_kwh,csi_delivered_pv_kwh_kwp,perovskite_delivered_pv_kwh_kwp,tandem_delivered_pv_kwh_kwp,csi_annual_delivered,perovskite_annual_delivered,tandem_annual_delivered,cap_winner_index,cap_winner,cap_margin_best_second,area_winner_index,area_winner,area_margin_best_second,paired_class,area_price_switch_csi_perovskite,area_price_switch_csi_tandem,area_price_switch_perovskite_tandem,cap_same,area_same,paired_same,class_id,class_roman
110000,北京,北京市,北京,北京市,110000,municipality,50.0,40.18094206415489,116.41385726202518,39.9,116.41,1571.7872233027167,12.197775169839469,1625.680242416527,1670.983817321203,1614.6748611267024,0.8359164371392612,0.8592113028427992,0.8302575265631722,2.786745740191421,-0.6769708459681834,357.65046575500526,322.30528419473853,457.1458493493893,169,129.111660689907,Common technology-yield reconstruction before area integration and ratio,2.786745740191421,45.303574904676,-9.882604650228132,-35.345181560266724,-0.6769708459681834,-11.005381289824754,27.81916790863053,99.49538359438408,Q3,1.286903641555338,28.690364155533786,-0.8711962469032529,0.998,0.998,186.9598729208932,180.35849802583164,57.70369277345469,125.26189714391188,95.60655832824406,129.18122195486245,0.334610971463665,0.4684636312359263,0.0967635521334555,1.1941108943443908,1.304868609693744,0.9587266072632408,0.0313426490945053,0.0307699383020193,0.0370412606651118,21595.505941919717,19540.335040803715,19502.797050432466,1622.428881931694,1667.6418496865606,1611.445511404449,0,c-Si,6.601374895061554,2,2T tandem,3.9193248109505694,c-Si / 2T tandem,0.0335407383575646,0.072175267853557,0.0505278006742342,0.6296296296296297,0.7777777777777778,0.5185185185185185,2,III
120000,天津,天津市,天津,天津市,120000,municipality,5.0,39.316437184158886,117.29783988760518,39.13,117.2,1597.1274565237438,13.008087155896389,1635.514343503392,1679.5561999738657,1622.7986239745503,0.8383347337026955,0.8609097836633444,0.8318168884833042,2.692844403683603,-0.7774752682146224,359.81397290864504,323.9587557594852,459.4458445722053,116,89.73872499335639,Common technology-yield reconstruction before area integration and ratio,2.692844403683603,44.0418564704737,-9.964931839448964,-35.85521714915984,-0.7774752682146224,-12.715719528841646,27.689828401649173,99.63187166356028,Q3,1.286903641555338,28.690364155533786,-1.0005357538846107,0.99,0.99,185.2190154967135,178.07070434197863,55.34373282066156,124.76401078961932,95.03289724215055,128.31262623944605,0.3314952761821915,0.4625213099791652,0.0928061258934832,1.189364586541603,1.297039101374072,0.9522802692373042,0.0314059415065726,0.030860266747257,0.0371536562623334,21551.98450631522,19483.140198707388,19443.79805161264,1619.159200068358,1662.760637974127,1606.570637734805,0,c-Si,7.14831115473487,2,2T tandem,3.5486154498267126,c-Si / 2T tandem,0.0334910410933163,0.0728492162945899,0.0506918501316291,0.6296296296296297,0.7777777777777778,0.5185185185185185,2,III
130100,石家庄,石家庄市,河北,河北省,130000,prefecture_level_city,80.0,38.13388116515924,114.44084878990633,38.04,114.51,1615.800621772457,13.076477447511769,1610.3527146465717,1660.0252936977647,1599.8212236820048,0.8316070257176097,0.8572585897189482,0.8261684272057691,3.084577595914761,-0.6539865998784089,354.2784019857804,320.1915652980054,452.9404957707463,137,107.7570012535882,Common technology-yield reconstruction before area integration and ratio,3.084577595914761,49.672579051193225,-9.621483132111209,-34.08683668777502,-0.6539865998784089,-10.531490964566729,27.84874641862187,98.66209378496586,Q3,1.286903641555338,28.69036415553381,-0.8416177369119182,0.961,0.961,147.09199720783533,146.44496623646558,21.871400061207964,113.8596587891446,87.10278737334369,115.99295751564308,0.2632575392318005,0.3803765356791314,0.0366762378339145,1.085414336573943,1.188806448508335,0.8608490687931277,0.0328591989538196,0.032165574870716,0.0388245599973187,20598.809049093263,18692.496746069563,18606.989732626294,1547.5489587753557,1595.284307243552,1537.4281959584066,0,c-Si,0.6470309713697588,2,2T tandem,2.133298726498481,c-Si / 2T tandem,0.035559098140509,0.0755422916751921,0.0532657245338599,0.6296296296296297,0.7407407407407407,0.5185185185185185,2,III
130200,唐山,唐山市,河北,河北省,130000,prefecture_level_city,30.0,39.768109216273366,118.30993877440967,39.629372,118.173871,1583.0498176798174,12.03379683431503,1629.0599657658415,1669.5187119858465,1615.1008336192554,0.8413107880181426,0.8622052795530666,0.8341017418730714,2.4835639614398497,-0.8568826464300128,358.3940065808497,322.022689482215,457.2664504447527,135,103.76241302870947,Common technology-yield reconstruction before area integration and ratio,2.4835639614398497,40.45874622000497,-10.14841666735008,-36.37131709863468,-0.8568826464300128,-13.959132146586173,27.587638757457423,98.87244386390302,Q3,1.286903641555338,28.690364155533786,-1.1027253980763585,0.961,0.961,156.66374109063668,150.72094181666296,28.97988295948141,116.59718375806938,88.17498230628627,118.60927216167904,0.2803885442393869,0.3914829657575661,0.0485964811052998,1.1115109267060346,1.203440104775576,0.8802662133762903,0.0324818615326534,0.0319826711065761,0.0384572614854264,20838.1026461633,18799.396135574498,18784.70180508313,1565.5266271009737,1604.4074822183984,1552.1119011081043,0,c-Si,5.942799273973719,2,2T tandem,2.0120884036096527,c-Si / 2T tandem,0.0343707415942063,0.0757822174491572,0.052331032369383,0.6296296296296297,0.7777777777777778,0.5185185185185185,2,III
130300,秦皇岛,秦皇岛市,河北,河北省,130000,prefecture_level_city,12.0,40.1074408205221,119.17528268860136,39.887014,119.514248,1595.6181035049322,11.471280211238238,1662.4609713920552,1694.877354735254,1643.7530743087646,0.8497433197730261,0.8663124938294973,0.8401810438176296,1.949903420352484,-1.1253134602988937,365.742244510557,326.91395442052146,465.37845690568753,81,61.94999136455274,Common technology-yield reconstruction before area integration and ratio,1.949903420352484,32.41638334319896,-10.61629895720585,-38.82829009003552,-1.1253134602988937,-18.70789708329061,27.24219416558389,99.63621239513054,Q3,1.286903641555338,28.690364155533786,-1.448169989949884,0.961,0.961,173.7536849441625,162.14284843164353,42.30967107416643,121.48491880294586,91.03900951304604,123.51537102582309,0.3109752291025467,0.4211502556666066,0.070949255861452,1.158105284598047,1.2425292558208303,0.9166771363242274,0.0318292586394296,0.0315041484993222,0.0377869134084786,21265.351242501445,19084.94380094901,19117.94650795026,1597.6249935077649,1628.777137900579,1579.6467044107226,0,c-Si,11.610836512518972,2,2T tandem,2.030452222877216,c-Si / 2T tandem,0.0330293857047962,0.0757457698828479,0.0511441525107749,0.6666666666666666,0.7777777777777778,0.5185185185185185,2,III
130400,邯郸,邯郸市,河北,河北省,130000,prefecture_level_city,56.0,36.55025342350216,114.55698351144558,36.62577,114.533423,1599.8407182074388,14.740564538798118,1555.392229844595,1606.456078326157,1544.7777498243236,0.8303382311587556,0.8575984069592836,0.824671744985308,3.2830206748984514,-0.6824310817941992,342.1870678631926,309.85894507424155,437.3566180417946,120,96.39879913641388,Common technology-yield reconstruction before area integration and ratio,3.2830206748984514,51.06384848156199,-9.447499869245778,-32.32812278895108,-0.6824310817941992,-10.614480020271458,27.81214111126229,95.16955017860198,Q3,1.286903641555338,28.690364155533786,-0.8782230442715036,0.961,0.961,118.97093971814172,122.31660173925354,-3.736295042642837,105.81701807777652,81.0526335151431,106.5679101869506,0.2129279459441897,0.3177054590629962,-0.0062654080314086,1.0087445342500276,1.1062320311103266,0.7909004840685606,0.0340202935446592,0.0332381747575404,0.0402079555398111,19895.78261185093,18089.287633639266,17966.797355030027,1494.7319328806557,1543.8042912714368,1484.531417581175,1,Single junction,3.3456620211118206,2,2T tandem,0.7508921091740888,Single junction / 2T tandem,0.0370935431477671,0.0783721693275387,0.0554295890210204,0.6296296296296297,0.7407407407407407,0.4444444444444444,3,IV
130500,邢台,邢台市,河北,河北省,130000,prefecture_level_city,76.0,37.214710160717615,114.81006756437375,37.058312,114.491387,1602.8981891001197,14.337693958387788,1575.0535807217998,1625.8991741626744,1564.4020415694226,0.8312923258283558,0.8581279536107566,0.8256705851688579,3.228181825888976,-0.6762651939431708,346.51257488181284,313.6091983467481,442.9126366147434,130,103.52697971980264,Common technology-yield reconstruction before area integration and ratio,3.228181825888976,50.84559344087461,-9.495579358494366,-32.90337653506475,-0.6762651939431708,-10.651539152377154,27.820076014791194,96.40006173293057,Q3,1.286903641555338,28.690364155533786,-0.8702881407425933,0.961,0.961,129.0308578636059,131.07405879818896,5.393449946506053,108.69416120297348,83.24855369942523,109.92816101283154,0.2309326596343996,0.3404521007745167,0.0090442976869238,1.0361720922602549,1.1362026457623569,0.8158387980518111,0.0335956191484901,0.0328407005306563,0.0397035758285729,20147.28056548753,18308.224060112647,18195.04097975875,1513.6264910736495,1562.48910637033,1503.390361948215,1,Single junction,2.0432009345830693,2,2T tandem,1.2339998098580622,Single junction / 2T tandem,0.0365542409853547,0.0773594271319973,0.0546634709903615,0.5925925925925926,0.7407407407407407,0.4074074074074074,3,IV
130600,保定,保定市,河北,河北省,130000,prefecture_level_city,23.0,39.023270976607385,115.102802772796,38.873575,115.458204,1609.538391589017,12.925952855774396,1628.5986776997277,1677.502285694196,1618.1246742172757,0.8326208835834773,0.8576228474535976,0.8272660505275319,3.0028028798071427,-0.6431298039149658,358.29252297577887,323.5625894897952,458.1225585144074,214,166.2463956688709,Common technology-yield reconstruction before area integration and ratio,3.0028028798071427,48.9036079944683,-9.693178411186532,-34.729933485983736,-0.6431298039149658,-10.474003482451964,27.86271806888285,99.83003553862858,Q3,1.286903641555338,28.690364155533786,-0.8276460866509399,0.961,0.961,156.4277186415402,154.31686113504657,30.38665441938156,116.52968118429186,89.07665407688683,119.1270418217926,0.2799661236432154,0.4008230159351859,0.0509555017668427,1.1108674304746833,1.2157464068774064,0.8841088736489883,0.0324910617704378,0.0318304590861533,0.0383853951883349,20832.20208493589,18889.29411853409,18819.87109158064,1565.0833292694383,1612.0796965521222,1555.017811922802,0,c-Si,2.1108575064936304,2,2T tandem,2.597360637500742,c-Si / 2T tandem,0.0350524777726874,0.0746375938593537,0.0525603399758403,0.6296296296296297,0.7407407407407407,0.5185185185185185,2,III
130700,张家口,张家口市,河北,河北省,130000,prefecture_level_city,716.0,40.86139573552759,115.02870404718956,40.767647,114.879785,1611.8595454565675,9.115055126188622,1687.223156674882,1723.974349568338,1672.6393042129755,0.841583775340612,0.8599152020645672,0.8343093768324207,2.1782058139768523,-0.8643700985379921,371.1899376475236,332.52628596537403,473.5567102630525,392,296.4267796215747,Common technology-yield reconstruction before area integration and ratio,2.1782058139768523,36.75119289345616,-10.416136797022768,-38.66365168214958,-0.8643700985379921,-14.583852461906416,27.578003128073703,102.36677261552887,Q3,1.286903641555338,28.690364155533786,-1.112361027460088,0.961,0.961,186.4234937789596,175.24856394821347,55.74831722501335,125.1084923608512,94.32524946131176,128.46153566467945,0.3336509882172536,0.4551910751901649,0.0934845750918141,1.1926484997385765,1.28738090017865,0.953385409952674,0.0313621230404862,0.030972425944207,0.0371343390815819,21582.09646337137,19412.58668886326,19453.91266172143,1621.4214535645615,1656.7393499351729,1607.4063713486694,0,c-Si,11.174929830746123,2,2T tandem,3.353043303828258,c-Si / 2T tandem,0.0328159085772164,0.0732098624509336,0.0502183312667754,0.6296296296296297,0.7777777777777778,0.5185185185185185,2,III
130800,承德,承德市,河北,河北省,130000,prefecture_level_city,319.0,41.33397837149055,117.54581587862972,40.951659,117.956532,1577.7094212199313,9.393757983189522,1652.0650530176476,1689.1976634250757,1638.0221477581072,0.8430716767529878,0.8620209621102585,0.8359053877124811,2.24764819881651,-0.8500213253642697,363.4551372728932,325.81843541974496,463.7559201655471,422,316.83103814903313,Common technology-yield reconstruction before area integration and ratio,2.24764819881651,37.13261040742805,-10.355253783327168,-37.636701853148224,-0.8500213253642697,-14.042905259540476,27.596468616522827,100.3007828926539,Q3,1.286903641555338,28.690364155533786,-1.0938955390109733,0.961,0.961,168.43451391941267,159.58463171682,39.64349088082963,119.96363243417892,90.39754022783646,122.53406933478396,0.3014552558795974,0.4145055369268052,0.0664783276810321,1.1436029924582818,1.2337742797084297,0.9093943437734624,0.0320295500106011,0.0316100768002786,0.0379191179855757,21132.3719668827,19020.988383078424,19051.29200311684,1587.6345159499592,1623.3189545514977,1574.1392839955408,0,c-Si,8.849882202592653,2,2T tandem,2.5704369006050456,c-Si / 2T tandem,0.0335994607117681,0.0746894896690142,0.0513379193850601,0.6296296296296297,0.7777777777777778,0.5185185185185185,2,III
