context,adcode,city,province,technology,npv_usd,construction_usd,discounted_mwh,selected
cap,110000,北京,北京,Si,186959.8729208932,558738.0237506496,21595.505941919713,1
cap,120000,天津,天津,Si,185219.0154967135,558738.0237506496,21551.98450631522,1
cap,130100,石家庄,河北,Si,147091.99720783535,558738.0237506496,20598.809049093266,1
cap,130200,唐山,河北,Si,156663.74109063667,558738.0237506496,20838.1026461633,1
cap,130300,秦皇岛,河北,Si,173753.6849441625,558738.0237506496,21265.351242501445,1
cap,130400,邯郸,河北,Si,118970.93971814172,558738.0237506496,19895.782611850926,0
cap,130500,邢台,河北,Si,129030.8578636059,558738.0237506496,20147.28056548753,0
cap,130600,保定,河北,Si,156427.7186415402,558738.0237506496,20832.20208493589,1
cap,130700,张家口,河北,Si,186423.4937789596,558738.0237506496,21582.096463371374,1
cap,130800,承德,河北,Si,168434.51391941265,558738.0237506496,21132.3719668827,1
cap,130900,沧州,河北,Si,163883.54445451306,558738.0237506496,21018.59773026021,1
cap,131000,廊坊,河北,Si,163247.3569975365,558738.0237506496,21002.693043835796,1
cap,131100,衡水,河北,Si,148724.96364214306,558738.0237506496,20639.63320995096,1
cap,140100,太原,山西,Si,163935.81679855345,558738.0237506496,21019.90453886122,1
cap,140200,大同,山西,Si,210080.11104504773,558738.0237506496,22173.511895023577,1
cap,140300,阳泉,山西,Si,151275.76609506208,558738.0237506496,20703.403271273935,1
cap,140400,长治,山西,Si,149926.98866582022,558738.0237506496,20669.683835542888,1
cap,140500,晋城,山西,Si,126463.35776859098,558738.0237506496,20083.09306311216,0
cap,140600,朔州,山西,Si,219823.00685368956,558738.0237506496,22417.08429023962,1
cap,140700,晋中,山西,Si,156021.30507416348,558738.0237506496,20822.04174575147,1
cap,140800,运城,山西,Si,136330.33858334614,558738.0237506496,20329.767583481036,0
cap,140900,忻州,山西,Si,192590.82693560323,558738.0237506496,21736.279792287467,1
cap,141000,临汾,山西,Si,141503.51182731843,558738.0237506496,20459.096914580346,0
cap,141100,吕梁,山西,Si,178507.18546650637,558738.0237506496,21384.188755560044,1
cap,150100,呼和浩特,内蒙古,Si,199698.80315723526,558738.0237506496,21913.979197828266,1
cap,150200,包头,内蒙古,Si,213215.56102955923,558738.0237506496,22251.898144636365,1
cap,150300,乌海,内蒙古,Si,224952.16733686448,558738.0237506496,22545.313302318995,1
cap,150400,赤峰,内蒙古,Si,188096.88519442896,558738.0237506496,21623.93124875811,1
cap,150500,通辽,内蒙古,Si,188029.66141957347,558738.0237506496,21622.25065438672,1
cap,150600,鄂尔多斯,内蒙古,Si,207234.40212713217,558738.0237506496,22102.369172075683,1
cap,150700,呼伦贝尔,内蒙古,Si,121993.55462891173,558738.0237506496,19971.347984620177,1
cap,150800,巴彦淖尔,内蒙古,Si,243879.9857095961,558738.0237506496,23018.508761637288,1
