adcode,city,province,any_response,all_responses,central_response
110000,北京,北京,1.1056499033030422,1.1174082395062206,1.109659364409081
120000,天津,天津,1.1069021653201765,1.1177223570474837,1.110673538929089
130100,石家庄,河北,1.10174145701869,1.1154743464919505,1.1064535270430684
130200,唐山,河北,1.109768949108925,1.11879043834446,1.1129413032226727
130300,秦皇岛,河北,1.117131148515373,1.1214915291445735,1.1187672585028412
130400,邯郸,河北,1.099268354330458,1.11391634078891,1.1043273000837943
130500,邢台,河北,1.0999235667323464,1.1143783361478337,1.1049139507251238
130600,保定,河北,1.1027655882469058,1.1161331053795887,1.1073318483645609
130700,张家口,河北,1.1138926158596365,1.1208209760864585,1.1162686673898594
130800,承德,河北,1.1129152415035126,1.1203971059722426,1.11550973835488
130900,沧州,河北,1.105198546846113,1.1169952933992096,1.109321113555551
131000,廊坊,河北,1.1054002065678825,1.1172189177374716,1.1094702564789234
131100,衡水,河北,1.1012654010642524,1.115119667165041,1.1060715991795693
140100,太原,山西,1.108239277165941,1.1180025613977844,1.1116594684933971
140200,大同,山西,1.1142372700413392,1.1209055555208909,1.1165588584844535
140300,阳泉,山西,1.1083520131243338,1.117909700283532,1.1117539622566768
140400,长治,山西,1.106929986581506,1.1169150445366451,1.1104216888790224
140500,晋城,山西,1.1020236535741759,1.1146057738960227,1.1063968189019873
140600,朔州,山西,1.1161033238796225,1.1217510956981311,1.1180925966285014
140700,晋中,山西,1.1062156161859809,1.1169825695064124,1.1099807962971588
140800,运城,山西,1.0990741640227402,1.113583735167245,1.1040849632897491
140900,忻州,山西,1.1115504018262816,1.1196759290261988,1.1143858284265906
141000,临汾,山西,1.1009755681094646,1.1144178362030037,1.105597743838509
141100,吕梁,山西,1.1091211226809952,1.1183573058985055,1.1123609214139538
150100,呼和浩特,内蒙古,1.1183229924834694,1.1228156193258816,1.1199490514594346
150200,包头,内蒙古,1.1199231502219291,1.123637281043779,1.1212421609812004
150300,乌海,内蒙古,1.1157590826583785,1.1220694128500512,1.117933570755598
150400,赤峰,内蒙古,1.123079129175938,1.1247518306249045,1.1236603128083067
150500,通辽,内蒙古,1.123408164218229,1.1251095946979943,1.1239990032150902
150600,鄂尔多斯,内蒙古,1.1168087414824672,1.1222237087802218,1.1186767967066074
150700,呼伦贝尔,内蒙古,1.1302826559626387,1.13655434870938,1.1342468819017586
150800,巴彦淖尔,内蒙古,1.1185175255144275,1.1234454166908092,1.1201517572953301
150900,乌兰察布,内蒙古,1.1227782611272306,1.1247158259340095,1.1234916471517773
152200,兴安,内蒙古,1.127269970102922,1.1293705429389254,1.1284660517961815
152500,锡林郭勒,内蒙古,1.1256651182856698,1.1281321829342452,1.1270019354617729
152900,阿拉善,内蒙古,1.1189259969864356,1.1237950168943296,1.120527233875625
210100,沈阳,辽宁,1.1205109020788295,1.1233743769491509,1.121586011908095
210200,大连,辽宁,1.119849074625509,1.1225093757286793,1.12093796729849
210300,鞍山,辽宁,1.1184379526821333,1.122220973552747,1.1198532227572962
210400,抚顺,辽宁,1.1216862407828834,1.123528809359814,1.1224334107207588
210500,本溪,辽宁,1.1193073475128648,1.1224822601271438,1.120526765377074
210600,丹东,辽宁,1.1181328061283327,1.1217373996785651,1.119509684674021
210700,锦州,辽宁,1.1200056961330813,1.1230786266522568,1.1211737683261842
210800,营口,辽宁,1.119476827453909,1.122646982225783,1.120702125810464
210900,阜新,辽宁,1.1205289459157308,1.1235355451726825,1.121642552901314
211000,辽阳,辽宁,1.1182083369248448,1.1222861790523206,1.1197106848462008
211100,盘锦,辽宁,1.1204182769195425,1.123171759467003,1.1214862000923347
211200,铁岭,辽宁,1.1231739152842206,1.1243977370678997,1.1237205444542837
211300,朝阳,辽宁,1.1191462738876896,1.1229564515770563,1.1205338921723582
211400,葫芦岛,辽宁,1.1192712706480215,1.1225641995914206,1.120541105693521
220100,长春,吉林,1.1258458735541412,1.129067488072075,1.1277243832653026
220200,吉林,吉林,1.1244839359757661,1.126574279201392,1.1256092223567824
220300,四平,吉林,1.1243465789840237,1.1261164069416816,1.125251576389929
220400,辽源,吉林,1.1243045948047559,1.1267368402609739,1.1256434731227853
220500,通化,吉林,1.1232726869155596,1.1255291298114911,1.1244806125124023
220600,白山,吉林,1.123283972088512,1.1250746615534617,1.1241845181876988
