technology,gamma_pct_c,response_parameter,density_scale,density_ratio,capacity_mean,case_id,density_vs_csi_pct
single,-0.25,0.7,0.9,0.7890672598955621,2.5274414922297064,S01,-21.093274010443785
single,-0.25,0.7,1.0,0.8767413998839579,2.5274414922297064,S02,-12.325860011604206
single,-0.25,0.7,1.1,0.9644155398723538,2.5274414922297064,S03,-3.5584460127646156
single,-0.25,1.0,0.9,0.7890672598955621,2.629364837251066,S04,-21.093274010443785
single,-0.25,1.0,1.0,0.8767413998839578,2.629364837251066,S05,-12.325860011604217
single,-0.25,1.0,1.1,0.9644155398723536,2.629364837251066,S06,-3.558446012764638
single,-0.25,1.3,0.9,0.7890672598955621,2.730780066625717,S07,-21.093274010443785
single,-0.25,1.3,1.0,0.8767413998839579,2.730780066625717,S08,-12.325860011604206
single,-0.25,1.3,1.1,0.9644155398723536,2.730780066625717,S09,-3.558446012764638
single,-0.15,0.7,0.9,0.789067259895562,3.262285630769794,S10,-21.093274010443796
single,-0.15,0.7,1.0,0.8767413998839578,3.262285630769794,S11,-12.325860011604217
single,-0.15,0.7,1.1,0.9644155398723536,3.262285630769794,S12,-3.558446012764638
single,-0.15,1.0,0.9,0.789067259895562,3.36326637868931,S13,-21.093274010443796
single,-0.15,1.0,1.0,0.8767413998839578,3.36326637868931,S14,-12.325860011604217
single,-0.15,1.0,1.1,0.9644155398723536,3.36326637868931,S15,-3.558446012764638
single,-0.15,1.3,0.9,0.7890672598955621,3.4637293129448987,S16,-21.093274010443785
single,-0.15,1.3,1.0,0.8767413998839578,3.4637293129448987,S17,-12.325860011604217
single,-0.15,1.3,1.1,0.9644155398723536,3.4637293129448987,S18,-3.558446012764638
single,-0.1,0.7,0.9,0.789067259895562,3.6212310807529207,S19,-21.093274010443796
single,-0.1,0.7,1.0,0.8767413998839578,3.6212310807529207,S20,-12.325860011604217
single,-0.1,0.7,1.1,0.9644155398723536,3.6212310807529207,S21,-3.558446012764638
single,-0.1,1.0,0.9,0.7890672598955621,3.7216723829649956,S22,-21.093274010443785
single,-0.1,1.0,1.0,0.8767413998839578,3.7216723829649956,S23,-12.325860011604217
single,-0.1,1.0,1.1,0.9644155398723536,3.7216723829649956,S24,-3.558446012764638
single,-0.1,1.3,0.9,0.789067259895562,3.8215976598648234,S25,-21.093274010443796
single,-0.1,1.3,1.0,0.8767413998839578,3.8215976598648234,S26,-12.325860011604217
single,-0.1,1.3,1.1,0.9644155398723536,3.8215976598648234,S27,-3.558446012764638
tandem,-0.4,1.6,0.9,1.1582132773998035,-2.019571618493826,T28,15.821327739980351
tandem,-0.4,1.6,1.0,1.2869036415553377,-2.019571618493826,T29,28.690364155533764
tandem,-0.4,1.6,1.1,1.4155940057108714,-2.019571618493826,T30,41.55940057108714
tandem,-0.4,1.68,0.9,1.1582132773998035,-1.5621853872003508,T31,15.821327739980351
tandem,-0.4,1.68,1.0,1.2869036415553374,-1.5621853872003508,T32,28.690364155533743
tandem,-0.4,1.68,1.1,1.4155940057108711,-1.5621853872003508,T33,41.55940057108711
tandem,-0.4,1.75,0.9,1.158213277399804,-1.2998110869189992,T34,15.821327739980395
tandem,-0.4,1.75,1.0,1.2869036415553377,-1.2998110869189992,T35,28.690364155533764
tandem,-0.4,1.75,1.1,1.4155940057108714,-1.2998110869189992,T36,41.55940057108714
tandem,-0.3,1.6,0.9,1.158213277399804,-1.2173965759879208,T37,15.821327739980395
tandem,-0.3,1.6,1.0,1.2869036415553374,-1.2173965759879208,T38,28.690364155533743
tandem,-0.3,1.6,1.1,1.4155940057108714,-1.2173965759879208,T39,41.55940057108714
tandem,-0.3,1.68,0.9,1.1582132773998035,-0.7585710557000952,T40,15.821327739980351
tandem,-0.3,1.68,1.0,1.2869036415553374,-0.7585710557000952,T41,28.690364155533743
tandem,-0.3,1.68,1.1,1.4155940057108716,-0.7585710557000952,T42,41.55940057108716
tandem,-0.3,1.75,0.9,1.158213277399804,-0.49575789118632657,T43,15.821327739980395
tandem,-0.3,1.75,1.0,1.2869036415553377,-0.49575789118632657,T44,28.690364155533764
tandem,-0.3,1.75,1.1,1.4155940057108716,-0.49575789118632657,T45,41.55940057108716
tandem,-0.2,1.6,0.9,1.158213277399804,-0.43589800638632664,T46,15.821327739980395
tandem,-0.2,1.6,1.0,1.2869036415553377,-0.43589800638632664,T47,28.690364155533764
tandem,-0.2,1.6,1.1,1.4155940057108718,-0.43589800638632664,T48,41.55940057108718
tandem,-0.2,1.68,0.9,1.158213277399804,0.022941720834694108,T49,15.821327739980395
tandem,-0.2,1.68,1.0,1.2869036415553377,0.022941720834694108,T50,28.690364155533764
tandem,-0.2,1.68,1.1,1.4155940057108716,0.022941720834694108,T51,41.55940057108716
tandem,-0.2,1.75,0.9,1.158213277399804,0.28512284587132664,T52,15.821327739980395
tandem,-0.2,1.75,1.0,1.2869036415553377,0.28512284587132664,T53,28.690364155533764
tandem,-0.2,1.75,1.1,1.4155940057108716,0.28512284587132664,T54,41.55940057108716
