adcode,city,city_fullname,province,province_fullname,province_code,admin_type,altitude_m,lat,lon,anchor_lat,anchor_lon,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,csi_PR,perovskite_PR,tandem_PR,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,land_grid_cell_count,land_grid_area_weight_sum,aggregation_method,single_capacity_pct,single_delta_kwh_per_kwp,single_area_pct,single_delta_kwh_per_m2,tandem_capacity_pct,tandem_delta_kwh_per_kwp,tandem_area_pct,tandem_delta_kwh_per_m2,ghi_quartile,tandem_density_ratio,tandem_stc_gain_pp,tandem_operating_correction_pp
110000,北京,北京市,北京,北京市,110000,municipality,50.0,40.18094206415489,116.41385726202518,39.9,116.41,1571.7872233027167,12.197775169839469,1625.680242416527,1670.983817321203,1614.6748611267024,0.8359164371392612,0.8592113028427992,0.8302575265631722,2.786745740191421,-0.6769708459681834,357.65046575500526,322.30528419473853,457.1458493493893,169,129.111660689907,Common technology-yield reconstruction before area integration and ratio,2.786745740191421,45.303574904676,-9.882604650228132,-35.345181560266724,-0.6769708459681834,-11.005381289824754,27.81916790863053,99.49538359438408,Q3,1.286903641555338,28.690364155533786,-0.8711962469032529
120000,天津,天津市,天津,天津市,120000,municipality,5.0,39.316437184158886,117.29783988760518,39.13,117.2,1597.1274565237438,13.008087155896389,1635.514343503392,1679.5561999738657,1622.7986239745503,0.8383347337026955,0.8609097836633444,0.8318168884833042,2.692844403683603,-0.7774752682146224,359.81397290864504,323.9587557594852,459.4458445722053,116,89.73872499335639,Common technology-yield reconstruction before area integration and ratio,2.692844403683603,44.0418564704737,-9.964931839448964,-35.85521714915984,-0.7774752682146224,-12.715719528841646,27.689828401649173,99.63187166356028,Q3,1.286903641555338,28.690364155533786,-1.0005357538846107
130100,石家庄,石家庄市,河北,河北省,130000,prefecture_level_city,80.0,38.13388116515924,114.44084878990633,38.04,114.51,1615.800621772457,13.076477447511769,1610.3527146465717,1660.0252936977647,1599.8212236820048,0.8316070257176097,0.8572585897189482,0.8261684272057691,3.084577595914761,-0.6539865998784089,354.2784019857804,320.1915652980054,452.9404957707463,137,107.7570012535882,Common technology-yield reconstruction before area integration and ratio,3.084577595914761,49.672579051193225,-9.621483132111209,-34.08683668777502,-0.6539865998784089,-10.531490964566729,27.84874641862187,98.66209378496586,Q3,1.286903641555338,28.69036415553381,-0.8416177369119182
130200,唐山,唐山市,河北,河北省,130000,prefecture_level_city,30.0,39.768109216273366,118.30993877440967,39.629372,118.173871,1583.0498176798174,12.03379683431503,1629.0599657658415,1669.5187119858465,1615.1008336192554,0.8413107880181426,0.8622052795530666,0.8341017418730714,2.4835639614398497,-0.8568826464300128,358.3940065808497,322.022689482215,457.2664504447527,135,103.76241302870947,Common technology-yield reconstruction before area integration and ratio,2.4835639614398497,40.45874622000497,-10.14841666735008,-36.37131709863468,-0.8568826464300128,-13.959132146586173,27.587638757457423,98.87244386390302,Q3,1.286903641555338,28.690364155533786,-1.1027253980763585
130300,秦皇岛,秦皇岛市,河北,河北省,130000,prefecture_level_city,12.0,40.1074408205221,119.17528268860136,39.887014,119.514248,1595.6181035049322,11.471280211238238,1662.4609713920552,1694.877354735254,1643.7530743087646,0.8497433197730261,0.8663124938294973,0.8401810438176296,1.9499034203524837,-1.1253134602988937,365.742244510557,326.91395442052146,465.37845690568753,81,61.94999136455274,Common technology-yield reconstruction before area integration and ratio,1.9499034203524837,32.41638334319896,-10.61629895720585,-38.82829009003552,-1.1253134602988937,-18.707897083290614,27.24219416558389,99.63621239513054,Q3,1.286903641555338,28.690364155533786,-1.448169989949884
130400,邯郸,邯郸市,河北,河北省,130000,prefecture_level_city,56.0,36.55025342350216,114.55698351144558,36.62577,114.533423,1599.8407182074388,14.740564538798118,1555.392229844595,1606.456078326157,1544.7777498243236,0.8303382311587556,0.8575984069592836,0.824671744985308,3.2830206748984514,-0.6824310817941992,342.1870678631926,309.85894507424155,437.3566180417946,120,96.39879913641388,Common technology-yield reconstruction before area integration and ratio,3.2830206748984514,51.06384848156199,-9.447499869245778,-32.32812278895108,-0.6824310817941992,-10.614480020271458,27.81214111126229,95.16955017860198,Q3,1.286903641555338,28.690364155533786,-0.8782230442715036
130500,邢台,邢台市,河北,河北省,130000,prefecture_level_city,76.0,37.214710160717615,114.81006756437375,37.058312,114.491387,1602.8981891001197,14.337693958387788,1575.0535807217998,1625.8991741626744,1564.4020415694226,0.8312923258283558,0.8581279536107566,0.8256705851688579,3.228181825888976,-0.6762651939431708,346.51257488181284,313.6091983467481,442.9126366147434,130,103.52697971980264,Common technology-yield reconstruction before area integration and ratio,3.228181825888976,50.84559344087461,-9.495579358494366,-32.90337653506475,-0.6762651939431708,-10.651539152377154,27.820076014791194,96.40006173293057,Q3,1.286903641555338,28.690364155533786,-0.8702881407425933
130600,保定,保定市,河北,河北省,130000,prefecture_level_city,23.0,39.023270976607385,115.102802772796,38.873575,115.458204,1609.538391589017,12.925952855774396,1628.5986776997277,1677.502285694196,1618.1246742172757,0.8326208835834773,0.8576228474535976,0.8272660505275319,3.0028028798071427,-0.6431298039149658,358.29252297577887,323.5625894897952,458.1225585144074,214,166.2463956688709,Common technology-yield reconstruction before area integration and ratio,3.0028028798071427,48.9036079944683,-9.693178411186532,-34.729933485983736,-0.6431298039149658,-10.474003482451964,27.86271806888285,99.83003553862858,Q3,1.286903641555338,28.690364155533786,-0.8276460866509399
130700,张家口,张家口市,河北,河北省,130000,prefecture_level_city,716.0,40.86139573552759,115.02870404718956,40.767647,114.879785,1611.8595454565675,9.115055126188622,1687.223156674882,1723.974349568338,1672.6393042129755,0.841583775340612,0.8599152020645672,0.8343093768324207,2.1782058139768523,-0.8643700985379921,371.1899376475236,332.52628596537403,473.5567102630525,392,296.4267796215747,Common technology-yield reconstruction before area integration and ratio,2.1782058139768523,36.75119289345616,-10.416136797022768,-38.66365168214958,-0.8643700985379921,-14.583852461906416,27.578003128073703,102.36677261552887,Q3,1.286903641555338,28.690364155533786,-1.112361027460088
130800,承德,承德市,河北,河北省,130000,prefecture_level_city,319.0,41.33397837149055,117.54581587862972,40.951659,117.956532,1577.7094212199313,9.393757983189522,1652.0650530176476,1689.1976634250757,1638.0221477581072,0.8430716767529878,0.8620209621102585,0.8359053877124811,2.24764819881651,-0.8500213253642697,363.4551372728932,325.81843541974496,463.7559201655471,422,316.83103814903313,Common technology-yield reconstruction before area integration and ratio,2.24764819881651,37.13261040742805,-10.355253783327168,-37.636701853148224,-0.8500213253642697,-14.042905259540476,27.596468616522827,100.3007828926539,Q3,1.286903641555338,28.690364155533786,-1.0938955390109733
130900,沧州,沧州市,河北,河北省,130000,prefecture_level_city,13.0,38.26064857514199,116.733646079985,38.304117,116.832925,1630.2171298489188,13.75843969135242,1643.170526622204,1689.475668584753,1630.535928970687,0.836280384548243,0.859847069380769,0.8298500926147921,2.818036303130178,-0.768915790955027,361.4983370209126,325.87205804078326,461.6364260628133,138,108.35531108701038,Common technology-yield reconstruction before area integration and ratio,2.818036303130178,46.30514196254899,-9.85517091827406,-35.626278980129314,-0.768915790955027,-12.63459765151697,27.700843624104365,100.13808904190074,Q4,1.286903641555338,28.690364155533786,-0.9895205314294272
131000,廊坊,廊坊市,河北,河北省,130000,prefecture_level_city,14.0,39.2412096006364,116.61374446536996,39.537203,116.677631,1605.6711255784908,13.11139070917157,1641.9271462453034,1687.97088676021,1630.0974508829524,0.8360658391939686,0.8595112147340799,0.8300421832704095,2.804249909638057,-0.7204762640901974,361.224792716623,325.5818103863279,461.512284390292,69,53.43676796209995,Common technology-yield reconstruction before area integration and ratio,2.804249909638057,46.04374051490663,-9.867258020203684,-35.642982330295126,-0.7204762640901974,-11.829695362351003,27.763180627621907,100.28749167366892,Q3,1.2869036415553377,28.690364155533764,-0.9271835279118602
