adcode,city,province,thermal_target_gain_pp,bandgap_target_gain_pp,corner_interaction_pp,target_capacity_gain_pct,target_positive,start_capacity_gain_pct,joint_capacity_gain_pct,joint_change_pp,group,plot_start_x,plot_target_x
110000,北京,北京,1.4185492392825036,0.5874602161662986,0.0055870814949732,0.2245002932887541,1,-1.7799435383171525,0.2245002932887541,2.0044438316059066,Above c-Si,0.0,1.0
120000,天津,天津,1.2433296512940266,0.6373747355234771,0.0078975318051011,0.0585667722557525,1,-1.8208678947016832,0.0585667722557525,1.8794346669574358,Above c-Si,0.0,1.0
130100,石家庄,河北,1.661501926176238,0.6171664395043721,-0.0049887233699692,0.3806664908257096,1,-1.8969628844693327,0.3806664908257096,2.2776293752950423,Above c-Si,0.0,1.0
130200,唐山,河北,1.0191508626566668,0.6587124194551875,0.0073680641398894,-0.1295120073251499,0,-1.80645878746496,-0.1295120073251499,1.6769467801398101,"Both positive, below c-Si",2.1,3.1
130300,秦皇岛,河北,0.4258984215490204,0.7263805394856716,0.0089803379430204,-0.6735613646715821,0,-1.824918451142488,-0.6735613646715821,1.151357086470906,"Both positive, below c-Si",2.1,3.1
130400,邯郸,河北,1.7469075804333878,0.663949866269479,-0.0090998571089961,0.4167576015014829,1,-1.993827557676342,0.4167576015014829,2.410585159177825,Above c-Si,0.0,1.0
130500,邢台,河北,1.710449090531326,0.6512613433941457,-0.0059691355062672,0.4000189899982409,1,-1.9613428717343504,0.4000189899982409,2.3613618617325915,Above c-Si,0.0,1.0
130600,保定,河北,1.622960684618735,0.5972240807823955,-6.581793026172456e-05,0.3660078939366595,1,-1.853072759791452,0.3660078939366595,2.2190806537281116,Above c-Si,0.0,1.0
130700,张家口,河北,0.8400281092208473,0.6186036174552897,0.0132420986071468,-0.2509445114512565,0,-1.7075643802797358,-0.2509445114512565,1.4566198688284793,"Both positive, below c-Si",2.1,3.1
130800,承德,河北,0.8654640214910988,0.634861738713958,0.0100808076041514,-0.2176988592293094,0,-1.716698393143301,-0.2176988592293094,1.4989995339139917,"Both positive, below c-Si",2.1,3.1
130900,沧州,河北,1.3538775221171084,0.6454261349098248,0.0036866050434292,0.1285228925237191,1,-1.870101058906093,0.1285228925237191,1.998623951429812,Above c-Si,0.0,1.0
131000,廊坊,河北,1.3978227060383244,0.6153144900269746,0.0046800878467203,0.1845714207864279,1,-1.8272814797427703,0.1845714207864279,2.011852900529198,Above c-Si,0.0,1.0
131100,衡水,河北,1.6317529867851028,0.6465443159631712,-0.0043110087778797,0.3429744723626893,1,-1.934976832075297,0.3429744723626893,2.277951304437986,Above c-Si,0.0,1.0
140100,太原,山西,1.1459501232065663,0.6537594608252354,-0.0060291968122296,-0.0445767409466113,0,-1.844182950067097,-0.0445767409466113,1.7996062091204856,"Both positive, below c-Si",2.1,3.1
140200,大同,山西,0.7892027985587671,0.6403976634561345,0.012410968301235,-0.3225649546929499,0,-1.750764342678257,-0.3225649546929499,1.4281993879853072,"Both positive, below c-Si",2.1,3.1
140300,阳泉,山西,1.0600519893071163,0.6947680211384514,0.0011447423549637,-0.0941943807247991,0,-1.8484764188842484,-0.0941943807247991,1.7542820381594493,"Both positive, below c-Si",2.1,3.1
