adcode,province,single_capacity_pct,baseline_capacity_viable,baseline_best_npv_usd_per_kwp
110000,北京,2.786745740191421,True,186.9598729208932
120000,天津,2.692844403683603,True,185.2190154967135
130100,河北,3.084577595914761,True,147.09199720783533
130200,河北,2.4835639614398497,True,156.66374109063668
130300,河北,1.949903420352484,True,173.7536849441625
130400,河北,3.2830206748984514,True,122.31660173925354
130500,河北,3.228181825888976,True,131.07405879818896
130600,河北,3.0028028798071427,True,156.4277186415402
130700,河北,2.1782058139768523,True,186.4234937789596
130800,河北,2.24764819881651,True,168.43451391941267
130900,河北,2.818036303130178,True,163.88354445451307
131000,河北,2.804249909638057,True,163.24735699753649
131100,河北,3.120122851647245,True,148.72496364214305
140100,山西,2.6018337093691057,True,163.93581679855345
140200,山西,2.1516537265041213,True,210.08011104504772
140300,山西,2.593089991092823,True,151.27576609506207
140400,山西,2.716177778889195,True,149.9269886658202
140500,山西,3.089813364223115,True,127.76242538246072
140600,山西,2.0115182269198506,True,219.82300685368955
140700,山西,2.756988173034558,True,156.02130507416348
140800,山西,3.3056789175820667,True,138.26200363870817
140900,山西,2.350831275442556,True,192.59082693560322
141000,山西,3.164366026552345,True,141.9484675033366
141100,山西,2.5371222702112783,True,178.50718546650637
150100,内蒙古,1.8423968127789123,True,199.69880315723526
150200,内蒙古,1.724926001272986,True,213.21556102955924
150300,内蒙古,2.0259277517585605,True,224.95216733686448
150400,内蒙古,1.505995803374116,True,188.09688519442898
150500,内蒙古,1.475355048300142,True,188.02966141957347
150600,内蒙古,1.9581583590909224,True,207.23440212713217
150700,内蒙古,0.5584976558438592,True,121.99355462891174
150800,内蒙古,1.8239286788501063,True,243.8799857095961
150900,内蒙古,1.5212869183406363,True,212.11422204693906
152200,内蒙古,1.0736445955521257,True,176.68518192627312
152500,内蒙古,1.205099617308547,True,206.05936490154716
152900,内蒙古,1.7898936970743184,True,260.7411595781799
210100,辽宁,1.6936317631638165,True,166.44889745454873
210200,辽宁,1.7524472289926152,True,174.6563023425075
210300,辽宁,1.8509895453162617,True,154.49045640303018
