context,policy,technology,adcode,degradation_fraction,cost_ceiling_usd_kwdc,central_cost_usd_kwdc,positive_cost_possible
cap,No subsidy,SJ,320800,0.0,443.54878605265895,385.0,True
cap,No subsidy,SJ,320900,0.0,443.21204515555723,385.0,True
cap,No subsidy,SJ,321000,0.0,444.1125426255489,385.0,True
cap,No subsidy,SJ,321100,0.0,444.3347452738828,385.0,True
cap,No subsidy,SJ,321200,0.0,443.93273034780697,385.0,True
cap,No subsidy,SJ,321300,0.0,443.11821463649306,385.0,True
cap,No subsidy,SJ,330100,0.0,422.14295953877723,385.0,True
cap,No subsidy,SJ,330200,0.0,435.5087090138197,385.0,True
cap,No subsidy,SJ,330300,0.0,438.5913712457962,385.0,True
cap,No subsidy,SJ,330400,0.0,445.04214367689167,385.0,True
cap,No subsidy,SJ,330500,0.0,445.1852455329919,385.0,True
cap,No subsidy,SJ,330600,0.0,416.1928347036901,385.0,True
cap,No subsidy,SJ,330700,0.0,434.3473107695519,385.0,True
cap,No subsidy,SJ,330800,0.0,426.39342991316335,385.0,True
cap,No subsidy,SJ,330900,0.0,440.8383426239895,385.0,True
cap,No subsidy,SJ,331000,0.0,418.0246670374732,385.0,True
cap,No subsidy,SJ,331100,0.0,425.7695856646461,385.0,True
cap,No subsidy,SJ,340100,0.0,444.6763520004718,385.0,True
cap,No subsidy,SJ,340200,0.0,445.2155079328661,385.0,True
cap,No subsidy,SJ,340300,0.0,443.7001634880524,385.0,True
cap,No subsidy,SJ,340400,0.0,444.7099884141384,385.0,True
cap,No subsidy,SJ,340500,0.0,443.6039328425249,385.0,True
cap,No subsidy,SJ,340600,0.0,444.17722652618335,385.0,True
cap,No subsidy,SJ,340700,0.0,446.01202458254215,385.0,True
cap,No subsidy,SJ,340800,0.0,445.8293628999139,385.0,True
cap,No subsidy,SJ,341000,0.0,434.28033003317194,385.0,True
cap,No subsidy,SJ,341100,0.0,443.7163557328181,385.0,True
cap,No subsidy,SJ,341200,0.0,444.7590646680334,385.0,True
cap,No subsidy,SJ,341300,0.0,443.80715301925864,385.0,True
cap,No subsidy,SJ,341500,0.0,445.47718061540934,385.0,True
cap,No subsidy,SJ,341600,0.0,444.6235459518458,385.0,True
cap,No subsidy,SJ,341700,0.0,446.29038899486085,385.0,True
cap,No subsidy,SJ,341800,0.0,445.9614998028041,385.0,True
cap,No subsidy,SJ,350100,0.0,427.56123707159225,385.0,True
cap,No subsidy,SJ,350200,0.0,449.8331052033683,385.0,True
cap,No subsidy,SJ,350300,0.0,444.5603875929544,385.0,True
cap,No subsidy,SJ,350400,0.0,428.2003663342458,385.0,True
cap,No subsidy,SJ,350500,0.0,447.8274692224342,385.0,True
cap,No subsidy,SJ,350600,0.0,450.1734913212218,385.0,True
cap,No subsidy,SJ,350700,0.0,435.1664115641668,385.0,True
cap,No subsidy,SJ,350800,0.0,440.31842380375065,385.0,True
cap,No subsidy,SJ,350900,0.0,422.21820151111643,385.0,True
cap,No subsidy,SJ,360100,0.0,447.06744970176675,385.0,True
cap,No subsidy,SJ,360200,0.0,439.25273508738917,385.0,True
cap,No subsidy,SJ,360300,0.0,428.60028521969343,385.0,True
cap,No subsidy,SJ,360400,0.0,446.7760306262505,385.0,True
cap,No subsidy,SJ,360500,0.0,420.62158209094986,385.0,True
cap,No subsidy,SJ,360600,0.0,420.7392818246892,385.0,True
cap,No subsidy,SJ,360700,0.0,434.718969711407,385.0,True
cap,No subsidy,SJ,360800,0.0,422.94680843709955,385.0,True
cap,No subsidy,SJ,360900,0.0,428.13854863039296,385.0,True
cap,No subsidy,SJ,361000,0.0,411.3779581620496,385.0,True
cap,No subsidy,SJ,361100,0.0,436.57140986559415,385.0,True
cap,No subsidy,SJ,370100,0.0,442.5502975439489,385.0,True
cap,No subsidy,SJ,370200,0.0,439.42420616439085,385.0,True
cap,No subsidy,SJ,370300,0.0,442.2611180513676,385.0,True
cap,No subsidy,SJ,370400,0.0,443.02857679417434,385.0,True
cap,No subsidy,SJ,370500,0.0,441.17554016494586,385.0,True
cap,No subsidy,SJ,370600,0.0,439.1366454543634,385.0,True
cap,No subsidy,SJ,370700,0.0,441.086249300017,385.0,True
cap,No subsidy,SJ,370800,0.0,443.1030952900476,385.0,True
cap,No subsidy,SJ,370900,0.0,442.94043162643334,385.0,True
cap,No subsidy,SJ,371000,0.0,438.1086392456885,385.0,True
cap,No subsidy,SJ,371100,0.0,440.55829495342755,385.0,True
cap,No subsidy,SJ,371300,0.0,442.14059630108807,385.0,True
cap,No subsidy,SJ,371400,0.0,442.5566623626464,385.0,True
cap,No subsidy,SJ,371500,0.0,443.4872780889548,385.0,True
cap,No subsidy,SJ,371600,0.0,441.8904980459905,385.0,True
cap,No subsidy,SJ,371700,0.0,443.31107714931625,385.0,True
cap,No subsidy,SJ,410100,0.0,444.7048425993109,385.0,True
cap,No subsidy,SJ,410200,0.0,444.1643566661082,385.0,True
cap,No subsidy,SJ,410300,0.0,445.1579418944839,385.0,True
cap,No subsidy,SJ,410400,0.0,445.6107610755856,385.0,True
cap,No subsidy,SJ,410500,0.0,444.0124497634678,385.0,True
cap,No subsidy,SJ,410600,0.0,443.872341599523,385.0,True
cap,No subsidy,SJ,410700,0.0,443.63771321783065,385.0,True
cap,No subsidy,SJ,410800,0.0,444.0817980678238,385.0,True
cap,No subsidy,SJ,410900,0.0,444.11690986745845,385.0,True
cap,No subsidy,SJ,411000,0.0,445.48602246775215,385.0,True
cap,No subsidy,SJ,411100,0.0,445.50047382055635,385.0,True
cap,No subsidy,SJ,411200,0.0,444.4691627439849,385.0,True
cap,No subsidy,SJ,411300,0.0,445.41408185952764,385.0,True
cap,No subsidy,SJ,411400,0.0,444.0020825930493,385.0,True
cap,No subsidy,SJ,411500,0.0,444.7393292816528,385.0,True
cap,No subsidy,SJ,411600,0.0,444.9210628575173,385.0,True
cap,No subsidy,SJ,411700,0.0,444.89122095632115,385.0,True
cap,No subsidy,SJ,420100,0.0,446.0574431054899,385.0,True
cap,No subsidy,SJ,420200,0.0,430.95990469349135,385.0,True
cap,No subsidy,SJ,420300,0.0,423.11955017938385,385.0,True
cap,No subsidy,SJ,420500,0.0,420.6720454609701,385.0,True
cap,No subsidy,SJ,420600,0.0,445.30023916056706,385.0,True
cap,No subsidy,SJ,420700,0.0,431.5374055876952,385.0,True
cap,No subsidy,SJ,420800,0.0,445.27592930006,385.0,True
cap,No subsidy,SJ,420900,0.0,445.55199680159257,385.0,True
cap,No subsidy,SJ,421000,0.0,438.1225055634114,385.0,True
cap,No subsidy,SJ,421100,0.0,445.5002015986392,385.0,True
cap,No subsidy,SJ,421200,0.0,441.297235250759,385.0,True
cap,No subsidy,SJ,421300,0.0,444.7525005017335,385.0,True
cap,No subsidy,SJ,422800,0.0,358.29811275361817,385.0,True
cap,No subsidy,SJ,430100,0.0,423.1703088669444,385.0,True
cap,No subsidy,SJ,430200,0.0,419.9178006987535,385.0,True
cap,No subsidy,SJ,430300,0.0,419.64234142485566,385.0,True
cap,No subsidy,SJ,430400,0.0,414.39548486268825,385.0,True
cap,No subsidy,SJ,430500,0.0,396.56747662744516,385.0,True
