context,strategy,share,before_viable,after_viable,new_viable,before_si,after_si,before_sj,after_sj,before_t,after_t,switches,before_npv_usd,after_npv_usd,private_gain_usd,direct_support_usd,admin_usd,total_public_usd,additional_discounted_mwh,new_support_usd,switch_support_usd,same_support_usd
cap,General,0.0,258,258,0,123,123,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,New technology,0.0,258,258,0,123,123,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,Matched gap,0.0,258,258,0,123,123,135,135,0,0,0,30615326.90499036,30615326.90499036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cap,General,0.1,258,294,36,123,212,135,82,0,0,88,30615326.90499036,44205499.60016981,13590172.695179444,15002246.103513775,750112.3051756888,15752358.408689465,674049.7290951391,1403373.802375065,4916894.609005718,8681977.692132993
cap,New technology,0.1,258,294,36,123,0,135,294,0,0,123,30615326.90499036,39857555.87397858,9242228.968988221,11319000.0,565950.0,11884950.0,256723.3444354371,1386000.0,4735500.0,5197500.0
cap,Matched gap,0.1,258,294,36,123,212,135,82,0,0,88,30615326.90499036,30615450.90499036,124.00000000000091,1412197.4083343279,70609.8704167164,1482807.2787510443,674049.7290951391,602237.1961294154,809960.2122049122,0.0
cap,General,0.2,258,313,55,123,313,135,0,0,0,135,30615326.90499036,60541181.1259545,29925854.220964156,34977000.28679067,1748850.0143395336,36725850.301130205,1059572.7812735206,6146118.261257149,15085926.641267546,13744955.384265982
cap,New technology,0.2,258,311,53,123,0,135,311,0,0,123,30615326.90499036,51486902.52057058,20871575.615580227,23947000.0,1197350.0,25144350.0,487290.344632922,4081000.0,9471000.0,10395000.0
cap,Matched gap,0.2,258,313,55,123,313,135,0,0,0,135,30615326.90499036,30615516.90499036,190.00000000000182,5051336.065826515,252566.80329132575,5303902.869117841,1059572.7812735206,3202652.5036684377,1848683.5621580766,0.0
cap,General,0.3,258,333,75,123,333,135,0,0,0,135,30615326.90499036,78758943.81104788,48143616.906057514,55817928.57268989,2790896.4286344945,58608825.001324385,1332423.8236313215,12571605.534389617,22628889.961901315,20617433.076398965
cap,New technology,0.3,258,330,72,123,0,135,330,0,0,123,30615326.90499036,63890439.67289941,33275112.767909054,38115000.0,1905750.0,40020750.0,728774.852654143,8316000.0,14206500.0,15592500.0
cap,Matched gap,0.3,258,333,75,123,333,135,0,0,0,135,30615326.90499036,30615536.90499036,210.00000000000182,7674521.666632379,383726.083331619,8058247.749963999,1332423.8236313215,5825838.104474304,1848683.5621580766,0.0
area,General,0.0,337,337,0,204,204,0,0,133,133,0,308817476.75422394,308817476.75422394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area,New technology,0.0,337,337,0,204,204,0,0,133,133,0,308817476.75422394,308817476.75422394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area,Matched gap,0.0,337,337,0,204,204,0,0,133,133,0,308817476.75422394,308817476.75422394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
area,General,0.1,337,337,0,204,133,0,0,133,204,71,308817476.75422394,340730770.97287935,31913294.218655378,33014133.054453075,1650706.652722654,34664839.70717573,307086.92831426975,0.0,7791717.653718861,25222415.40073421
area,New technology,0.1,337,337,0,204,8,0,2,133,327,196,308817476.75422394,335862537.8350048,27045061.080780827,35982336.42280606,1799116.8211403033,37781453.243946366,759613.3899030751,0.0,21386583.634853825,14595752.787952237
area,Matched gap,0.1,337,337,0,204,133,0,0,133,204,71,308817476.75422394,308817547.75422394,71.0,1100909.8357976978,55045.491789884894,1155955.3275875826,307086.92831426975,0.0,1100909.8357976975,0.0
area,General,0.2,337,337,0,204,70,0,0,133,267,134,308817476.75422394,374619203.27232355,65801726.51809957,69788456.80117272,3489422.840058636,73277879.64123136,555708.877716139,0.0,29410990.58023458,40377466.220938146
area,New technology,0.2,337,337,0,204,0,0,0,133,337,204,308817476.75422394,372674291.1379483,63856814.38372435,73966446.45924668,3698322.3229623344,77664768.78220902,795501.041413649,0.0,44774940.88334221,29191505.575904474
area,Matched gap,0.2,337,337,0,204,70,0,0,133,267,134,308817476.75422394,308817610.75422394,134.0,3986864.2830731506,199343.21415365755,4186207.497226808,555708.877716139,0.0,3986864.283073151,0.0
area,General,0.3,337,337,0,204,32,0,0,133,305,172,308817476.75422394,410231982.6208705,101414505.86664648,108084762.49476215,5404238.124738108,113489000.61950026,693885.949430518,0.0,56627131.117168084,51457631.377594076
area,New technology,0.3,337,337,0,204,0,0,0,133,337,204,308817476.75422394,409657514.36757165,100840037.61334768,110949669.68887003,5547483.484443502,116497153.17331353,795501.041413649,0.0,67162411.32501331,43787258.36385671
area,Matched gap,0.3,337,337,0,204,32,0,0,133,305,172,308817476.75422394,308817648.75422394,172.0,6670428.62811568,333521.43140578404,7003950.059521465,693885.949430518,0.0,6670428.62811568,0.0
