adcode,city,province,province_en,display_group,display_row,best_build_npv_kusd,nonviable,class_id,class_roman,paired_class,lon,lat,matched_new_viable,support_class,priority_rank,display_y,display_y_center
430200,株洲,湖南,Hunan,湖南,2,-16.58598353847674,True,4,V,None viable / c-Si,113.5141725014874,27.1036102399854,1,At 20%,22,2.2195671321655723,2.0
430300,湘潭,湖南,Hunan,湖南,2,-16.969516877440924,True,4,V,None viable / c-Si,112.60010130145989,27.73381515606116,1,At 20%,23,2.0,2.0
430400,衡阳,湖南,Hunan,湖南,2,-24.27493225837645,True,4,V,None viable / c-Si,112.57561305263654,26.78898114403053,1,At 20%,27,2.0,2.0
430500,邵阳,湖南,Hunan,湖南,2,-49.09760542087452,True,4,V,None viable / c-Si,110.87078043328724,26.9033421329156,1,At 20%,41,1.8275616380381123,2.0
430600,岳阳,湖南,Hunan,湖南,2,-5.083593141513916,True,4,V,None viable / c-Si,113.25721344139473,29.09169642759697,1,At 20%,7,2.0,2.0
430700,常德,湖南,Hunan,湖南,2,-32.426840429756,True,4,V,None viable / c-Si,111.51284886044056,29.291744113821142,1,At 20%,32,2.0,2.0
430800,张家界,湖南,Hunan,湖南,2,-79.64705878004384,True,4,V,None viable / c-Si,110.53543980383496,29.381943748719703,1,At 20%,55,2.0,2.0
430900,益阳,湖南,Hunan,湖南,2,-37.87394457091477,True,4,V,None viable / c-Si,111.9451147151582,28.57736732678697,1,At 20%,36,2.20547167373622,2.0
431000,郴州,湖南,Hunan,湖南,2,-51.02987716512735,True,4,V,None viable / c-Si,113.12502862912936,25.80407259036277,1,At 20%,42,2.205897914401504,2.0
431100,永州,湖南,Hunan,湖南,2,-40.42646939425276,True,4,V,None viable / c-Si,111.73429604731332,25.760012883280364,1,At 20%,37,2.0,2.0
431200,怀化,湖南,Hunan,湖南,2,-76.4976355942265,True,4,V,None viable / c-Si,110.06880121839993,27.535299891232192,1,At 20%,53,2.1975264542671837,2.0
431300,娄底,湖南,Hunan,湖南,2,-53.54562793062871,True,4,V,None viable / c-Si,111.60451721143716,27.7374492122114,1,At 20%,43,2.0,2.0
433100,湘西,湖南,Hunan,湖南,2,-88.7337054224347,True,4,V,None viable / c-Si,109.72986941260189,28.70778619925841,0,Added at 30%,61,2.0,2.0
510100,成都,四川,Sichuan,四川,3,-77.52300389497884,True,4,V,None viable / c-Si,103.92772160759633,30.65294149243686,1,At 20%,54,2.6508649424936834,3.0
510300,自贡,四川,Sichuan,四川,3,-103.54222504344438,True,4,V,None viable / c-Si,104.68641209750707,29.29043440874372,0,Added at 30%,69,3.0,3.0
510400,攀枝花,四川,Sichuan,四川,3,102.49797262518166,False,3,IV,Single junction / 2T tandem,101.74007528918033,26.80219859375937,0,Initially viable,0,3.0,3.0
510500,泸州,四川,Sichuan,四川,3,-152.01311717869822,True,4,V,None viable / c-Si,105.67501430121686,28.44844987217917,0,Beyond 30%,0,3.1116703318313554,3.0
510600,德阳,四川,Sichuan,四川,3,-83.91538455331204,True,4,V,None viable / c-Si,104.43713020526005,31.132026218093586,0,Added at 30%,59,3.0,3.0
510700,绵阳,四川,Sichuan,四川,3,-59.27987406120292,True,4,V,None viable / c-Si,104.69735965710584,31.855579257562702,1,At 20%,46,3.0,3.0
510800,广元,四川,Sichuan,四川,3,-74.58419994998837,True,4,V,None viable / c-Si,105.77508181264848,32.250890144858595,1,At 20%,51,3.0,3.0
510900,遂宁,四川,Sichuan,四川,3,-73.3258734780145,True,4,V,None viable / c-Si,105.45205239816798,30.62745804585331,1,At 20%,50,3.2164682505039863,3.0
511000,内江,四川,Sichuan,四川,3,-83.30335755852639,True,4,V,None viable / c-Si,104.93078122069464,29.64258155536627,0,Added at 30%,57,2.780920747213905,3.0
511100,乐山,四川,Sichuan,四川,3,-145.6118733379247,True,4,V,None viable / c-Si,103.56142606763692,29.22227763045106,0,Beyond 30%,0,3.0,3.0
511300,南充,四川,Sichuan,四川,3,-83.32185234190706,True,4,V,None viable / c-Si,106.19572986939826,31.175300834539183,0,Added at 30%,58,3.2191271206876806,3.0
511400,眉山,四川,Sichuan,四川,3,-93.38911273428975,True,4,V,None viable / c-Si,103.7874533298798,29.940489283240424,0,Added at 30%,63,3.219649928741042,3.0
511500,宜宾,四川,Sichuan,四川,3,-158.18859478952947,True,4,V,None viable / c-Si,104.63956379482435,28.560544403599582,0,Beyond 30%,0,3.0,3.0
511600,广安,四川,Sichuan,四川,3,-129.4103555884351,True,4,V,None viable / c-Si,106.6781043917378,30.416656845696185,0,Added at 30%,75,3.0,3.0
511700,达州,四川,Sichuan,四川,3,-90.97527318704272,True,4,V,None viable / c-Si,107.64570823795312,31.3801207913044,0,Added at 30%,62,2.7968524471648664,3.0
