cost_multiplier,tandem_degradation,replacement_rule,context,policy,viable,si,sj,t,public_usd,new_projects,additional_discounted_mwh,additional_undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh
0.8,0.012,stop_option,area,None,337,0,4,333,0.0,0,0.0,0.0,0.0,0.0
0.8,0.012,stop_option,area,General20,337,0,0,337,62131815.02576722,0,29112.849351185996,55858.0707831873,0.0,29112.849351185996
0.8,0.012,stop_option,area,New20,337,0,0,337,62131815.02576722,0,29112.849351185996,55858.0707831873,0.0,29112.849351185996
0.8,0.012,stop_option,area,New30,337,0,0,337,93197722.53865078,0,29112.849351185996,55858.0707831873,0.0,29112.849351185996
0.8,0.02,full,cap,None,330,0,330,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.02,full,cap,General20,337,0,337,0,21797160.0,7,79902.82589532617,139373.18833449323,79902.82589532618,0.0
0.8,0.02,full,cap,New20,337,0,337,0,21797160.0,7,79902.82589532617,139373.18833449323,79902.82589532618,0.0
0.8,0.02,full,cap,New30,337,0,337,0,32695739.999999996,7,79902.82589532617,139373.18833449323,79902.82589532618,0.0
0.8,0.02,full,area,None,337,0,33,304,0.0,0,0.0,0.0,0.0,0.0
0.8,0.02,full,area,General20,337,0,0,337,62131815.02576722,0,177835.0609892568,271539.904873138,0.0,177835.06098925683
0.8,0.02,full,area,New20,337,0,0,337,62131815.02576722,0,177835.0609892568,271539.904873138,0.0,177835.06098925683
0.8,0.02,full,area,New30,337,0,0,337,93197722.53865078,0,177835.0609892568,271539.904873138,0.0,177835.06098925683
0.8,0.02,half,cap,None,337,0,337,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.02,half,cap,General20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.02,half,cap,New20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.02,half,cap,New30,337,0,337,0,32695739.999999996,0,0.0,0.0,0.0,0.0
0.8,0.02,half,area,None,337,0,96,241,0.0,0,0.0,0.0,0.0,0.0
0.8,0.02,half,area,General20,337,0,10,327,61099061.99399375,0,523863.2101309319,799775.9360132308,0.0,523863.2101309319
0.8,0.02,half,area,New20,337,0,10,327,61099061.99399375,0,523863.2101309319,799775.9360132308,0.0,523863.2101309319
0.8,0.02,half,area,New30,337,0,2,335,92887896.62911876,0,564607.5825574514,861965.7344720295,0.0,564607.5825574514
0.8,0.02,salvage,cap,None,337,0,337,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.02,salvage,cap,General20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.02,salvage,cap,New20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.02,salvage,cap,New30,337,0,337,0,32695739.999999996,0,0.0,0.0,0.0,0.0
0.8,0.02,salvage,area,None,337,0,119,218,0.0,0,0.0,0.0,0.0,0.0
0.8,0.02,salvage,area,General20,337,0,31,306,58930280.627269454,0,563807.2368162165,860810.883457056,0.0,563807.2368162165
0.8,0.02,salvage,area,New20,337,0,31,306,58930280.627269454,0,563807.2368162165,860810.883457056,0.0,563807.2368162165
0.8,0.02,salvage,area,New30,337,0,6,331,92268244.81005466,0,701239.696927524,1070687.6221708641,0.0,701239.6969275239
0.8,0.02,stop_option,cap,None,337,0,337,0,0.0,0,0.0,0.0,0.0,0.0
0.8,0.02,stop_option,cap,General20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.02,stop_option,cap,New20,337,0,337,0,21797160.0,0,0.0,0.0,0.0,0.0
0.8,0.02,stop_option,cap,New30,337,0,337,0,32695739.999999996,0,0.0,0.0,0.0,0.0
0.8,0.02,stop_option,area,None,337,0,41,296,0.0,0,0.0,0.0,0.0,0.0
0.8,0.02,stop_option,area,General20,337,0,4,333,61718713.81305783,0,258037.56770474926,479367.3142196079,0.0,258037.56770474924
0.8,0.02,stop_option,area,New20,337,0,4,333,61718713.81305783,0,258037.56770474926,479367.3142196079,0.0,258037.56770474924
0.8,0.02,stop_option,area,New30,337,0,0,337,93197722.53865078,0,281648.92515160725,523273.1563133881,0.0,281648.92515160725
1.0,0.005,full,cap,None,258,123,135,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.005,full,cap,General20,313,313,0,0,36725850.301130205,55,1059572.7812735206,1873812.345543987,850618.0639476451,208954.71732587533
1.0,0.005,full,cap,New20,311,0,311,0,25144350.0,53,487290.34463292186,829692.0125019209,757048.3189984218,-269757.9743655001
1.0,0.005,full,cap,New30,330,0,304,26,41751600.57040896,72,767861.1752440577,1323392.788755753,998532.827019643,-230671.6517755854
1.0,0.005,full,area,None,337,8,0,329,0.0,0,0.0,0.0,0.0,0.0
1.0,0.005,full,area,General20,337,0,0,337,77664768.78220902,0,34386.260649892625,60245.287456117585,0.0,34386.260649892625
1.0,0.005,full,area,New20,337,0,0,337,77664768.78220902,0,34386.260649892625,60245.287456117585,0.0,34386.260649892625
1.0,0.005,full,area,New30,337,0,0,337,116497153.17331353,0,34386.260649892625,60245.287456117585,0.0,34386.260649892625
1.0,0.005,half,cap,None,306,0,306,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.005,half,cap,General20,333,0,333,0,26923050.0,27,342910.3282994513,598132.8599132549,342910.3282994513,0.0
1.0,0.005,half,cap,New20,333,0,333,0,26923050.0,27,342910.3282994513,598132.8599132549,342910.3282994513,0.0
1.0,0.005,half,cap,New30,337,0,337,0,40869675.0,31,387316.2604715415,675589.3988834425,387316.26047154155,0.0
1.0,0.005,half,area,None,337,1,7,329,0.0,0,0.0,0.0,0.0,0.0
1.0,0.005,half,area,General20,337,0,0,337,77664768.78220902,0,58066.45835948706,102508.01772483913,0.0,58066.45835948706
1.0,0.005,half,area,New20,337,0,0,337,77664768.78220902,0,58066.45835948706,102508.01772483913,0.0,58066.45835948706
1.0,0.005,half,area,New30,337,0,0,337,116497153.17331353,0,58066.45835948706,102508.01772483913,0.0,58066.45835948706
1.0,0.005,salvage,cap,None,323,0,323,0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.005,salvage,cap,General20,336,0,336,0,27165600.0,13,156237.78759600932,272523.00968815776,156237.78759600935,0.0
1.0,0.005,salvage,cap,New20,336,0,336,0,27165600.0,13,156237.78759600932,272523.00968815776,156237.78759600935,0.0
