cost_multiplier,tandem_degradation,replacement_rule,context,policy,viable,si,sj,t,public_usd,new_projects,additional_discounted_mwh,additional_undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh
1.2,0.012,salvage,cap,New20,317,0,317,0,30755340.0,64,593895.6208796873,1011705.6842702213,910701.0890310375,-316805.4681513503
1.2,0.012,salvage,cap,New30,333,0,333,0,48461490.0,80,792898.7617220379,1358823.598023494,1109704.229873388,-316805.4681513503
1.2,0.012,salvage,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,salvage,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.2,0.012,salvage,area,New20,337,185,32,120,37078553.476789765,0,466049.5829367567,685131.3600944044,0.0,466049.58293675684
1.2,0.012,salvage,area,New30,337,0,38,299,130966545.38631302,0,1173424.8626013494,1766510.7374389835,0.0,1173424.8626013494
1.2,0.012,stop_option,cap,None,258,168,90,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,stop_option,cap,General20,324,245,79,0,36411651.32197093,66,1066365.8004107466,1911203.2780132042,852675.6149388178,213690.18547192856
1.2,0.012,stop_option,cap,New20,324,0,324,0,31434480.0,66,224416.88919497567,-136983.31520546426,844579.9731158487,-620163.083920873
1.2,0.012,stop_option,cap,New30,334,0,334,0,48607020.0,76,335281.6107948493,41467.16077622151,955444.6947157222,-620163.083920873
1.2,0.012,stop_option,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.012,stop_option,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.2,0.012,stop_option,area,New20,337,211,6,120,33915961.55885195,0,558792.2067990251,840411.9364277906,0.0,558792.2067990251
1.2,0.012,stop_option,area,New30,337,0,20,317,135149195.16499558,0,1279474.6679902188,1904324.041704243,0.0,1279474.6679902188
1.2,0.02,full,cap,None,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,full,cap,General20,313,313,0,0,36725850.301130205,78,1232811.7467224083,2159906.2141931877,1232811.7467224086,0.0
1.2,0.02,full,cap,New20,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,full,cap,New30,281,18,263,0,38274390.0,46,288054.5259185542,469255.0433142356,692684.0655562931,-404629.53963773896
1.2,0.02,full,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,full,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.2,0.02,full,area,New20,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,full,area,New30,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,half,cap,None,235,235,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,half,cap,General20,313,313,0,0,36725850.301130205,78,1232811.7467224083,2159906.2141931877,1232811.7467224086,0.0
1.2,0.02,half,cap,New20,300,0,300,0,29106000.0,65,513205.00464573526,858810.5121611815,961882.0391140963,-448677.034468361
1.2,0.02,half,cap,New30,324,0,324,0,47151720.0,89,827596.7175986492,1407198.819197935,1276273.7520670104,-448677.034468361
1.2,0.02,half,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,half,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.2,0.02,half,area,New20,337,332,5,0,608190.7534495812,0,-16438.639258567695,-29345.628706765816,0.0,-16438.639258567695
1.2,0.02,half,area,New30,337,290,47,0,8575489.623639096,0,-182076.12560961815,-324917.73506511154,0.0,-182076.12560961812
1.2,0.02,salvage,cap,None,253,149,104,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,salvage,cap,General20,317,269,48,0,36220070.961674206,64,1087878.212791552,1913989.7416177862,939946.0703984745,147932.14239307767
1.2,0.02,salvage,cap,New20,317,0,317,0,30755340.0,64,593895.6208796873,1011705.6842702213,910701.0890310375,-316805.4681513503
1.2,0.02,salvage,cap,New30,333,0,333,0,48461490.0,80,792898.7617220379,1358823.598023494,1109704.229873388,-316805.4681513503
1.2,0.02,salvage,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,salvage,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.2,0.02,salvage,area,New20,337,305,32,0,3892420.8220773195,0,-120061.62848751906,-214246.32409126306,0.0,-120061.62848751906
1.2,0.02,salvage,area,New30,337,231,106,0,19340465.959696684,0,-446729.97775140085,-797178.6364688992,0.0,-446729.97775140085
1.2,0.02,stop_option,cap,None,258,168,90,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,stop_option,cap,General20,324,245,79,0,36411651.32197093,66,1066365.8004107466,1911203.2780132042,852675.6149388178,213690.18547192856
1.2,0.02,stop_option,cap,New20,324,0,324,0,31434480.0,66,224416.88919497567,-136983.31520546426,844579.9731158487,-620163.083920873
1.2,0.02,stop_option,cap,New30,334,0,334,0,48607020.0,76,335281.6107948493,41467.16077622151,955444.6947157222,-620163.083920873
1.2,0.02,stop_option,area,None,337,337,0,0,0.0,0,0.0,0.0,0.0,0.0
1.2,0.02,stop_option,area,General20,337,337,0,0,56545031.060645126,0,0.0,0.0,0.0,0.0
1.2,0.02,stop_option,area,New20,337,331,6,0,729828.9041394976,0,-27319.004625250713,-58965.74775787699,0.0,-27319.004625250713
1.2,0.02,stop_option,area,New30,337,298,39,0,7115831.8153601,0,-202240.8445196618,-435394.942069787,0.0,-202240.84451966183
