policy,before_viable,after_viable,additional_discounted_mwh,additional_undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh
General20,298,333,491341.5961473757,860838.4610479203,491341.59614737576,0.0
New20,298,330,-112307.37482980281,-240103.86661932414,416598.99466653616,-528906.369496339
