adcode,context,policy,winner,challenger,yield_perturbation_radius,npv_margin
110000,cap,None,0,1,0.004011936268565686,6601.374895061554
120000,cap,None,0,1,0.004354995388779659,7148.31115473487
130100,cap,None,0,1,0.00041168838644796017,647.0309713697588
130200,cap,None,0,1,0.003748217884973955,5942.799273973719
130300,cap,None,0,1,0.007193774233878626,11610.836512518972
130400,cap,None,1,0,0.0022019585586451804,3345.6620211118206
130500,cap,None,1,0,0.0013282889891028057,2043.2009345830693
130600,cap,None,0,1,0.0013285359995510635,2110.8575064936304
130700,cap,None,0,1,0.006814865350494223,11174.929830746123
130800,cap,None,0,1,0.005510050793669889,8849.882202592653
130900,cap,None,0,1,0.0026057767015422832,4173.695114506472
131000,cap,None,0,1,0.002633902488538942,4215.283579754669
131100,cap,None,0,1,0.000342739452059478,539.8233330864741
140100,cap,None,0,1,0.0036113354841661935,5778.887982920082
140200,cap,None,0,1,0.008168694456442773,13760.289979892605
140300,cap,None,0,1,0.002929608771145674,4617.208708027647
140400,cap,None,0,1,0.002280703382640133,3590.6904963949273
140500,cap,None,1,0,0.0008477666330134817,1299.0676138697381
140600,cap,None,0,1,0.00931194411445431,15848.12025051349
140700,cap,None,0,1,0.0024429663941267056,3875.2351892204615
140800,cap,None,1,0,0.0012440623348494878,1931.665055362032
140900,cap,None,0,1,0.006336825557850961,10473.65273675723
141000,cap,None,1,0,0.0002849417318886124,444.95567601813946
141100,cap,None,0,1,0.004716928538305755,7676.579781174837
150100,cap,None,0,1,0.00908356899617873,15100.636267680102
150200,cap,None,0,1,0.010325112330386585,17419.77185231042
150300,cap,None,0,1,0.009497143055836038,16256.855689202894
150400,cap,None,0,1,0.010050696619922327,16461.508634886854
150500,cap,None,0,1,0.010191007001110896,16687.640973994803
150600,cap,None,0,1,0.008929088862204752,14979.48047883972
150700,cap,None,0,1,0.010682845780122905,16088.513849388846
150800,cap,None,0,1,0.011352565842476162,19822.18229951991
150900,cap,None,0,1,0.011225951302778113,18898.27648509447
152200,cap,None,0,1,0.01146654491004049,18495.424654445855
152500,cap,None,0,1,0.012406022913662995,20712.126593580364
152900,cap,None,0,1,0.01229119150595354,21850.628324579928
210100,cap,None,0,1,0.007986446015348833,12764.327249338976
210200,cap,None,0,1,0.008166978898953198,13183.499734598172
210300,cap,None,0,1,0.006570282149567377,10359.604186314527
210400,cap,None,0,1,0.005933462085918169,9019.906948257358
210500,cap,None,0,1,0.005044707375336085,7662.4881016859945
210600,cap,None,0,1,0.004677769455108486,7117.402792972371
210700,cap,None,0,1,0.008443696367328384,13680.394239045654
210800,cap,None,0,1,0.008031653866904529,12956.62637522355
210900,cap,None,0,1,0.008887867860210029,14473.18469990023
211000,cap,None,0,1,0.006592104002460878,10412.535168551472
211100,cap,None,0,1,0.00859941042910098,13937.708024721132
211200,cap,None,0,1,0.007779330004362722,12137.00769422644
211300,cap,None,0,1,0.009340029686719941,15525.535432420384
211400,cap,None,0,1,0.009081695785757004,15009.813818564111
220100,cap,None,0,1,0.010670355978567638,17040.820968104184
220200,cap,None,0,1,0.00779359938348268,11956.370483741694
220300,cap,None,0,1,0.009298400502752274,14763.05506323024
220400,cap,None,0,1,0.008021558730476332,12359.385705973978
220500,cap,None,0,1,0.006415112333737532,9669.213195878683
220600,cap,None,0,1,0.00727760296604491,11190.931427576856
220700,cap,None,0,1,0.012208565017052237,20004.01375620015
220800,cap,None,0,1,0.013560280857610074,22986.768380267335
222400,cap,None,0,1,0.00740877165804964,11310.571708300926
230100,cap,None,0,1,0.008919665632467417,13536.95209069906
230200,cap,None,0,1,0.011912941373083666,18874.24395332016
230300,cap,None,0,1,0.009383858501080016,14469.546847335208
230400,cap,None,0,1,0.00963622386474498,14756.504347172267
230500,cap,None,0,1,0.008702276051955391,13059.217888860303
230600,cap,None,0,1,0.012007198946022356,19199.467707840653
230700,cap,None,0,1,0.009153521988568034,13886.300766049884
230800,cap,None,0,1,0.009764629718128378,14897.139800844685
230900,cap,None,0,1,0.009834212332608668,15088.404718206903
231000,cap,None,0,1,0.0074857422664740955,11206.958089888303
231100,cap,None,0,1,0.009929638513606552,15086.47501448138
231200,cap,None,0,1,0.010505897378148596,16189.490758763553
232700,cap,None,0,1,0.010431897882934039,15450.932995933044
310000,cap,None,1,0,0.007720352313558175,10770.47184732578
320100,cap,None,1,0,0.008088980289058625,11237.066780350346
320200,cap,None,1,0,0.007247081632519663,10244.31127886703
320300,cap,None,1,0,0.003805110724295499,5614.979692538554
320400,cap,None,1,0,0.008659921130225862,12043.299464071992
320500,cap,None,1,0,0.009367520731967192,12845.981681989542
320600,cap,None,1,0,0.006845743955051366,9673.689404263427
320700,cap,None,1,0,0.0038334487538135226,5576.709268545756
320800,cap,None,1,0,0.004685807336092246,6839.983326531524
320900,cap,None,1,0,0.00396719476907157,5826.812626369019
321000,cap,None,1,0,0.006201397709957265,8917.39133668716
321100,cap,None,1,0,0.00774020671607889,10905.85042695875
321200,cap,None,1,0,0.006492819845239338,9266.88664778817
321300,cap,None,1,0,0.004362370372353449,6356.417849105469
330100,cap,None,-1,1,0.022947529462898412,13487.802861660384
330200,cap,None,1,3,0.008446700140167733,5121.882887471543
330300,cap,None,1,3,0.015415884006661345,9414.000999884138
330400,cap,None,1,0,0.009574517207995095,13269.544639280299
330500,cap,None,1,0,0.012413345266729109,16541.18460653001
330600,cap,None,-1,1,0.03757215774219514,21772.407743402367
330700,cap,None,1,3,0.005795392688730073,3504.8200810964545
330800,cap,None,-1,1,0.012750355061268925,7569.697176601608
330900,cap,None,1,0,0.008172699649247822,10796.99127988124
331000,cap,None,-1,1,0.03302539680424585,19221.87182766811
331100,cap,None,-1,1,0.01423425270323539,8438.301323566066
340100,cap,None,1,0,0.009961981649903943,13647.325558582224
340200,cap,None,1,0,0.010766308960316445,14700.487107083176
340300,cap,None,1,0,0.008420775075703867,11622.31368781704
340400,cap,None,1,0,0.008292214170120098,11655.146384861837
340500,cap,None,1,0,0.008907779454061265,12185.032111348391
340600,cap,None,1,0,0.00519213492143094,7594.533445065849
340700,cap,None,1,0,0.011691431641198208,15948.322612821015
340800,cap,None,1,0,0.012972436134109252,17323.693233907306
341000,cap,None,1,3,0.005642052663624629,3411.5600317737744
341100,cap,None,1,0,0.007767201045560368,10830.726651505302
341200,cap,None,1,0,0.007518275500841969,10701.824663101206
341300,cap,None,1,0,0.004915634159740046,7179.010758674281
341500,cap,None,1,0,0.013060977440795596,17323.794764747843
341600,cap,None,1,0,0.005705617185126214,8337.094342844808
341700,cap,None,1,0,0.013284654820837937,17789.881467220654
341800,cap,None,1,0,0.013338341502649587,17756.820785385116
350100,cap,None,-1,1,0.009984208339357373,5943.710973992438
350200,cap,None,1,0,0.012833591161903852,18250.267989396776
350300,cap,None,1,0,0.015990210486773203,20673.606903184464
350400,cap,None,-1,1,0.008476712052294983,5053.8248697178005
350500,cap,None,1,0,0.016006605070493878,21133.24959560691
350600,cap,None,1,0,0.016378248289177406,22282.313557737893
350700,cap,None,1,3,0.007666754453374064,4645.287992238423
350800,cap,None,1,3,0.019277699511354992,11818.64770045115
350900,cap,None,-1,1,0.022765233698668556,13383.04035185945
360100,cap,None,1,0,0.01547875317062243,20346.630806856636
360200,cap,None,1,3,0.016898329718001485,10334.845227951177
360300,cap,None,-1,1,0.0075357213516540665,4497.001266430971
360400,cap,None,1,0,0.014828415361769737,19579.277984979966
360500,cap,None,-1,1,0.026647504375976187,15606.079600480825
360600,cap,None,-1,1,0.026360304812899815,15442.201393595838
360700,cap,None,1,3,0.006645378675277011,4022.2961961990222
360800,cap,None,-1,1,0.02100332459316808,12368.5707964853
360900,cap,None,-1,1,0.00862232312825997,5139.896215330168
361000,cap,None,-1,1,0.049716176991287414,28476.359476757127
361100,cap,None,1,3,0.010860336288868143,6601.525232540439
370100,cap,None,0,1,0.00043801893988942934,685.65273175318
370200,cap,None,0,1,0.0046539867436208495,7461.577811191887
370300,cap,None,1,0,0.0003555541382643893,546.2861509076902
370400,cap,None,1,0,0.003186899154070873,4726.882540679753
370500,cap,None,0,1,0.0039178017006026265,6383.815041113735
370600,cap,None,0,1,0.004214288350511416,6667.106504350045
370700,cap,None,0,1,0.0012997742823637661,2015.8954777429017
370800,cap,None,1,0,0.001969463224808601,2984.767455339579
370900,cap,None,1,0,9.390808683985324e-05,146.57656265740115
371000,cap,None,0,1,0.005744476412211734,9188.944587105765
371100,cap,None,0,1,0.001388216460871868,2137.1825272931346
371300,cap,None,1,0,0.002421896807854622,3585.2181968278956
371400,cap,None,0,1,0.002048144816157286,3299.7860794951066
371500,cap,None,0,1,0.0007610328491824323,1216.6412590233904
371600,cap,None,0,1,0.00218082251060537,3483.2170576195267
371700,cap,None,1,0,0.004077957813085297,5988.374017829756
410100,cap,None,1,0,0.004578650602130176,6820.999232150939
410200,cap,None,1,0,0.0028060291494598037,4266.3449020758435
410300,cap,None,1,0,0.006476228606989215,9428.68004571369
410400,cap,None,1,0,0.008500958249992007,12081.898235270273
410500,cap,None,1,0,0.0014716059159431793,2282.638376553109
410600,cap,None,1,0,0.0017797098734098353,2739.945961352987
410700,cap,None,1,0,0.002280837945588747,3468.721149314888
410800,cap,None,1,0,0.003826412564777427,5713.086908808577
410900,cap,None,1,0,0.0017848211826115422,2758.4478469125315
411000,cap,None,1,0,0.004728830790077782,7115.310040829854
411100,cap,None,1,0,0.005670795322214898,8406.992800148488
411200,cap,None,1,0,0.004174231313881916,6235.86105888478
411300,cap,None,1,0,0.00955453834455534,13324.02794273753
411400,cap,None,1,0,0.0054303263039813705,7890.482023118466
411500,cap,None,1,0,0.011972966289480497,15942.333791528654
411600,cap,None,1,0,0.005105484965018335,7567.696905547905
411700,cap,None,1,0,0.008382304531550111,11799.653908639699
420100,cap,None,1,0,0.013492546216514216,17949.907018873546
420200,cap,None,-1,1,0.00201919676837686,1211.605488445798
420300,cap,None,-1,1,0.02058649229815007,12128.055324781257
420500,cap,None,-1,1,0.026524348836042468,15535.817363434262
420600,cap,None,1,0,0.012118945530054081,16246.883066797182
420700,cap,None,-1,1,0.0006782539563507589,407.52711027141686
420800,cap,None,1,0,0.011848825597315602,15940.648930773932
420900,cap,None,1,0,0.010935152212377964,14973.448993447506
421000,cap,None,1,3,0.01436221135221327,8761.179919852224
421100,cap,None,1,0,0.01416638751728583,18506.194482205046
421200,cap,None,1,0,0.017328742638523784,22219.924400470292
421300,cap,None,1,0,0.011416387049815123,15327.521574696448
422800,cap,None,-1,1,0.20522571057273245,102381.62341335123
430100,cap,None,-1,1,0.020464074373722156,12057.381904910359
430200,cap,None,-1,1,0.028368163535274354,16585.98353847674
430300,cap,None,-1,1,0.02904319920175452,16969.516877440925
430400,cap,None,-1,1,0.042072400193832314,24274.93225837645
430500,cap,None,-1,1,0.08891959878502784,49097.60542087452
430600,cap,None,-1,1,0.008527067727480058,5083.593141513916
430700,cap,None,-1,1,0.05700640057853632,32426.840429755997
430800,cap,None,-1,1,0.15269528549090575,79647.05878004384
430900,cap,None,-1,1,0.06722617078816613,37873.94457091477
431000,cap,None,-1,1,0.09274364980303497,51029.87716512734
431100,cap,None,-1,1,0.07208348744130623,40426.46939425277
431200,cap,None,-1,1,0.14577718167490725,76497.63559422649
431300,cap,None,-1,1,0.09776286491509843,53545.62793062871
433100,cap,None,-1,1,0.17313177627942491,88733.7054224347
440100,cap,None,1,0,0.019559706851806417,25431.817003771244
440200,cap,None,-1,1,0.03486298151882622,20255.375800346315
440300,cap,None,1,0,0.01583758456941185,21694.368665224032
440400,cap,None,1,0,0.014691178471913216,20338.43823109237
440500,cap,None,1,0,0.013023073807947146,18194.277181362737
440600,cap,None,1,3,0.010488338535125673,6373.007232266218
440700,cap,None,1,3,0.018658192177658295,11431.62295728564
440800,cap,None,1,0,0.014543813384618876,20627.955910790206
440900,cap,None,1,0,0.01825447227415527,24247.57178991581
441200,cap,None,-1,1,0.009113769124448569,5430.208707948736
441300,cap,None,1,0,0.01747697758619408,23599.527637619303
441400,cap,None,1,0,0.019363534985075224,25029.7137991638
441500,cap,None,1,0,0.012767007159227762,17865.203264650063
441600,cap,None,1,0,0.018439296819884057,24120.748874730565
441700,cap,None,1,0,0.019991993532266356,25740.776325992898
441800,cap,None,-1,1,0.020095939685044122,11844.750878961577
441900,cap,None,1,0,0.016848745435729173,22903.075320165954
442000,cap,None,1,0,0.01680530640260791,22689.975260758503
445100,cap,None,1,0,0.014760246905989226,20451.66886872062
445200,cap,None,1,0,0.016507054371164075,22326.132986251196
445300,cap,None,1,3,0.01324353988146563,8069.613543630112
450100,cap,None,-1,1,0.05650251684677804,32155.546038467946
450200,cap,None,-1,1,0.1187414152923289,63816.22887091521
450300,cap,None,-1,1,0.12121636767510025,65002.561114162745
450400,cap,None,-1,1,0.003083266276213893,1848.1306886711764
450500,cap,None,1,0,0.013643983477535078,19235.53066728357
450600,cap,None,1,0,0.019192242133803755,24813.223176094765
450700,cap,None,1,0,0.01951024391571038,25245.17543732452
450800,cap,None,-1,1,0.047711197433429865,27380.24704141003
450900,cap,None,1,3,0.01836459208048713,11248.372819522388
451000,cap,None,-1,1,0.06491874728159003,36653.23315856142
451100,cap,None,-1,1,0.05814715547493715,33040.07592816606
451200,cap,None,-1,1,0.1424569055547132,74972.55485165544
451300,cap,None,-1,1,0.05081503261166525,29075.32399754848
