cost_multiplier,tandem_degradation,replacement_rule,context,policy,decision_changes,npv_loss_usd,npv_loss_pct
1.0,0.012,half,area,New20,1,6198.564430760744,0.0016621886713986543
1.0,0.012,half,area,New30,1,4391.742738001922,0.0010720407908318811
1.0,0.012,salvage,cap,None,5,14863.88637020724,0.025964546961622637
1.0,0.012,salvage,cap,General20,0,0.0,0.0
1.0,0.012,salvage,cap,New20,0,0.0,0.0
1.0,0.012,salvage,cap,New30,0,0.0,0.0
1.0,0.012,salvage,area,None,26,138984.71251596586,0.04484298410731449
1.0,0.012,salvage,area,General20,13,52273.540859061875,0.013952205341882976
1.0,0.012,salvage,area,New20,7,51696.16542021587,0.013847238411799145
1.0,0.012,salvage,area,New30,1,12203.16237083159,0.002978168492268724
1.0,0.02,full,cap,None,59,478171.8495595821,1.561870794466804
1.0,0.02,full,cap,General20,0,0.0,0.0
1.0,0.02,full,cap,New20,4,8619.736126115185,0.016741609427118553
1.0,0.02,full,cap,New30,0,0.0,0.0
1.0,0.02,full,area,None,0,0.0,0.0
1.0,0.02,full,area,General20,0,0.0,0.0
1.0,0.02,full,area,New20,22,119110.4812921054,0.03765504334763755
1.0,0.02,full,area,New30,2,16185.142427894898,0.004590645385558128
1.0,0.02,half,cap,None,2,6043.583752330733,0.012449968768143907
1.0,0.02,half,cap,General20,0,0.0,0.0
1.0,0.02,half,cap,New20,0,0.0,0.0
1.0,0.02,half,cap,New30,0,0.0,0.0
1.0,0.02,half,area,None,3,17097.457820605254,0.0055964074239639875
1.0,0.02,half,area,General20,0,0.0,0.0
1.0,0.02,half,area,New20,15,140450.37149116688,0.04372333897155472
1.0,0.02,half,area,New30,5,37021.74695418589,0.010457585391905718
1.0,0.02,salvage,cap,None,5,14863.88637020724,0.025964546961622637
1.0,0.02,salvage,cap,General20,0,0.0,0.0
1.0,0.02,salvage,cap,New20,0,0.0,0.0
1.0,0.02,salvage,cap,New30,0,0.0,0.0
1.0,0.02,salvage,area,None,12,96252.98500445375,0.031412536989111964
1.0,0.02,salvage,area,General20,3,26862.518292880384,0.007478603331937976
1.0,0.02,salvage,area,New20,12,108907.4731971845,0.03347683769194709
1.0,0.02,salvage,area,New30,17,110461.46338566171,0.03104385258184037
1.2,0.005,full,cap,None,0,0.0,0.0
1.2,0.005,full,cap,General20,0,0.0,0.0
1.2,0.005,full,cap,New20,0,0.0,0.0
1.2,0.005,full,cap,New30,28,110928.19273527338,0.3248886276402632
1.2,0.005,full,area,None,4,21334.76960723265,0.006983781431462633
1.2,0.005,full,area,General20,3,9629.53782515158,0.00263003760773646
1.2,0.005,full,area,New20,2,6284.091994334129,0.0017788356143677026
1.2,0.005,full,area,New30,0,0.0,0.0
1.2,0.005,half,cap,None,0,0.0,0.0
1.2,0.005,half,cap,General20,0,0.0,0.0
1.2,0.005,half,cap,New20,4,15230.328199354573,0.03447283422911774
1.2,0.005,half,cap,New30,3,14437.504216535246,0.024650582509002907
1.2,0.005,half,area,None,4,21334.76960723265,0.006983781431462633
1.2,0.005,half,area,General20,3,9629.53782515158,0.00263003760773646
1.2,0.005,half,area,New20,5,44348.53933657796,0.012550597171323043
1.2,0.005,half,area,New30,0,0.0,0.0
1.2,0.005,salvage,cap,None,29,118917.51244342195,0.3979357679834494
1.2,0.005,salvage,cap,General20,48,137593.16379273188,0.22675666310547196
1.2,0.005,salvage,cap,New20,4,14248.61459699457,0.026177582134097453
1.2,0.005,salvage,cap,New30,2,8257.628903657405,0.011875131819580803
1.2,0.005,salvage,area,None,4,21334.76960723265,0.006983781431462633
1.2,0.005,salvage,area,General20,3,9629.53782515158,0.00263003760773646
1.2,0.005,salvage,area,New20,3,11760.674095910275,0.0033248202176889854
1.2,0.005,salvage,area,New30,1,5226.351382889727,0.0013145870812326039
