adcode,city,province,ghi_quartile,gamma_pct_c,spectral_scale,advantage_t0_s0_i0_pct,advantage_t1_s0_i0_pct,advantage_t0_s1_i0_pct,advantage_t1_s1_i0_pct,advantage_t0_s0_i1_pct,advantage_t1_s0_i1_pct,advantage_t0_s1_i1_pct,advantage_t1_s1_i1_pct,thermal_pp,spectral_pp,iam_pp,electrical_pp,total_pct,largest_climate_term
520300,遵义,贵州,Q1,-0.25,0.7,1.0917949883088918,1.826684036255033,2.6874254609079,3.5133793952071057,1.1133970804322102,1.8700416103957676,2.741506350383194,3.5881592487641223,0.7909470594861503,1.6570501418062968,0.048367059162783,1.0917949883088918,3.5881592487641223,spectral
511500,宜宾,四川,Q1,-0.25,0.7,1.0854774843102932,2.054952571382884,2.666444678114921,3.741867620901429,1.1081831983044133,2.0986155858747635,2.727734240627133,3.809320641713265,1.0279963844457172,1.6483017651879206,0.047545007769334,1.0854774843102932,3.809320641713265,spectral
511100,乐山,四川,Q1,-0.25,0.7,1.083622972152409,2.035859338632484,2.661356014965177,3.6968313643413353,1.106455072350121,2.0787986149779725,2.71636032672542,3.763790934029654,1.001192139928771,1.6327213339688411,0.0462544879796319,1.083622972152409,3.763790934029654,spectral
510500,泸州,四川,Q1,-0.25,0.7,1.0566823191374697,1.966615248096315,2.632520366262936,3.6403016964117407,1.0781014542640577,2.0100867103505005,2.688616187615578,3.70992728254218,0.9670424390010236,1.6392597367168729,0.0469427876868137,1.0566823191374697,3.70992728254218,spectral
511600,广安,四川,Q1,-0.25,0.7,1.005230524730627,1.9589481783557796,2.451531179638766,3.515986243718605,1.0251364544282549,2.0022495348687164,2.5064810312620978,3.5882401528530616,1.018753615825422,1.517160864663606,0.0470951476334062,1.005230524730627,3.5882401528530616,spectral
520600,铜仁,贵州,Q1,-0.25,0.7,1.0095844787839203,1.768425165878429,2.5515507045091423,3.395445256786167,1.0296354613856584,1.8110238700323575,2.610048141545307,3.4721901336790983,0.8112080532300538,1.6022829583018852,0.0491146433632387,1.0095844787839203,3.4721901336790983,spectral
520100,贵阳,贵州,Q1,-0.25,0.7,1.0373533392727508,1.4144025388871384,2.567827667556033,3.0039048653434763,1.0585156890186909,1.4531029379482474,2.618433592312264,3.0738185560584164,0.4159221289063467,1.575300020422802,0.0452430674565166,1.0373533392727508,3.0738185560584164,spectral
500000,重庆,重庆,Q1,-0.25,0.7,0.9727344012999906,1.8713077171116588,2.419482145552987,3.4237364757206734,0.9925761985938308,1.9138797918700323,2.4767801516092147,3.496209772247161,0.9602606327238528,1.515798026814108,0.0474167114092094,0.9727344012999906,3.496209772247161,spectral
422800,恩施,湖北,Q1,-0.25,0.7,0.9441083053771672,1.7612863066708506,2.3306010084357176,3.2650178251998563,0.9634679474477492,1.806375731912624,2.3891469415168176,3.3437371060076826,0.8868101554663517,1.462853111150882,0.0499655340132817,0.9441083053771672,3.3437371060076826,spectral
520400,安顺,贵州,Q1,-0.25,0.7,1.0177001969204902,1.3723426275728643,2.5436018884259504,2.9521822540532705,1.038697971066771,1.409589077149498,2.5939284028649645,3.018609022259477,0.3896862619673035,1.5674855552515798,0.0437370081201038,1.0177001969204902,3.018609022259477,spectral
