temperature_quartile,ghi_quartile,mean,size
Q1,Q1,0.8503739641151081,11
Q1,Q2,1.4691563633429223,18
Q1,Q3,1.7962577458339548,18
Q1,Q4,1.7055248414459785,38
Q2,Q1,3.707435560071085,11
Q2,Q2,3.5127346730470705,11
Q2,Q3,3.0249931452855816,38
Q2,Q4,2.536303008051606,24
Q3,Q1,4.461614669011197,23
Q3,Q2,4.008974891113478,33
Q3,Q3,3.737099418282052,17
Q3,Q4,3.267471034930466,11
Q4,Q1,4.908072876745725,40
Q4,Q2,4.946736604469976,22
Q4,Q3,4.895244899749243,11
Q4,Q4,4.697083921910013,11
