adcode,plot_order,minimum_gain_pct,maximum_gain_pct,baseline_gain_pct,largest_climate_term_changed
520300,1,3.5881592487641223,5.3666899522766265,4.7261094366461975,True
511500,2,3.809320641713265,6.066351658407809,5.261555009505647,True
511100,3,3.763790934029654,6.0005807734114125,5.20030602354602,True
510500,4,3.70992728254218,5.845731115632691,5.083805280463793,True
511600,5,3.5882401528530616,5.788839054418604,5.008726322866597,True
520600,6,3.4721901336790983,5.296167733383994,4.63947616531708,True
520100,7,3.0738185560584164,4.114655150404589,3.723057299253663,False
500000,8,3.496209772247161,5.582757183026788,4.842454348990666,True
422800,9,3.3437371060076826,5.236024719389887,4.566378778612767,True
520400,10,3.018609022259477,4.021262391113289,3.641375026843962,False
520500,11,2.899336049933199,3.813013046958802,3.4670883655608,False
511900,12,3.3114742578728817,5.233935841168136,4.549867623620241,True
511700,13,3.380407106419181,5.427673488607199,4.701106673631061,True
511400,14,3.4393438521699293,5.4670052817019865,4.743263481027871,True
433100,15,3.415174584131009,5.379996180307689,4.682385502159625,True
522600,16,3.239143165232483,4.779919866109328,4.219625797938242,True
430800,17,3.283507843550604,5.126026999716227,4.474129046160846,True
510300,18,3.6932749676573895,6.093774493383397,5.241939556450159,True
510600,19,3.335723980897498,5.293227722506977,4.596566387126866,True
510800,20,3.12056353961514,4.803716015597015,4.204792633850785,True
530600,21,3.08666213115798,4.401069484776721,3.921489557104496,True
511300,22,3.355225160706099,5.390136625670894,4.6675777407722885,True
522700,23,3.134458676012275,4.438742117274597,3.958243714330889,False
510100,24,3.338578445012818,5.307785196271464,4.609490103172553,True
431200,25,3.378559527677427,5.299755003777795,4.615202928346074,True
512000,26,3.4740521592343754,5.641792389316924,4.8701202753162365,True
510900,27,3.3540912957975566,5.397413958762698,4.669569322923306,True
520200,28,2.927167621510196,3.906543232364013,3.536414635220275,False
511000,29,3.615754454352249,5.994865545639394,5.151141107203583,True
232700,30,0.2040112129184423,0.8341772631500932,0.4389203334818514,False
510700,31,3.088389199392383,4.799324798859694,4.1872810780569925,True
451200,32,3.575065939011668,5.667096322576892,4.927423189178892,True
450300,33,3.569844606464856,5.8183703213768645,5.023411532518085,True
511800,34,2.908437411745246,4.247910714867564,3.7579825048200233,True
450200,35,3.5636161745634443,5.747578567135214,4.976468556093527,True
431300,36,3.4373251111717407,5.580380686978592,4.824072485123532,True
522300,37,3.120699025029361,4.4878597600299885,3.987337922017087,True
431000,38,3.477686055770701,5.62825768242563,4.868463252337607,True
430500,39,3.4841219307726767,5.694140583492491,4.915413668118607,True
430900,40,3.29519169139374,5.308664168348209,4.595803446474922,True
430700,41,3.207638551298841,5.1146816892506,4.440113899145293,True
610700,42,3.000513425047724,4.720966145535299,4.116313221481671,True
431100,43,3.5396112966762594,5.8650894704672,5.046024220777601,True
610900,44,3.1310314235387,5.052706634877136,4.37876503671637,True
330600,45,3.0980893754972705,4.887015570618125,4.252957415558134,True
420300,46,2.8980643147893392,4.5015278391489,3.934029516252657,True
231100,47,0.6579921570830205,1.0350388658634913,0.7996871505650649,False
330100,48,3.1122026803264147,5.016265776521212,4.34357590124379,True
451100,49,3.5764944663755127,5.915229657879317,5.091953396140592,True
361000,50,3.45143960794827,5.799815677648534,4.974140720884557,True
331000,51,3.0751237594444314,4.7494620740595295,4.153088459757437,True
230500,52,0.7743928049658066,1.1676600917290392,0.9228164587865796,False
420500,53,3.117642409527699,4.976820534620252,4.32425812933146,True
451400,54,3.8069614659687945,6.325251506665386,5.438237639809951,True
430400,55,3.412327020222383,5.6240593951968565,4.846020194225287,True
430300,56,3.2862081970622903,5.375640183086916,4.63609204755131,True
621200,57,2.336687602957888,3.0976820454642784,2.81569830818873,False
430100,58,3.2804905458579947,5.382024286613363,4.6403101788022205,True
230700,59,0.8225120651043527,1.1356163272739694,0.9415860899366636,False
440200,60,3.549294325632313,5.885310656829335,5.063142520136421,True
430200,61,3.3740994400197177,5.585591892391695,4.806277782166935,True
230800,62,0.7259098248627804,1.1221429000923155,0.8745726484134186,False
451000,63,3.5440132663527413,5.703850034448688,4.944657639886207,True
330800,64,3.2298711753674825,5.323149368229196,4.586331988840908,True
430600,65,3.156893731841892,5.082315036423446,4.399483916733993,True
230400,66,0.8157199502812684,1.135364064503941,0.9381641039362564,False
360500,67,3.381121046158686,5.627160159380606,4.838438964329317,True
150700,68,0.3543768290725557,0.9111382199120222,0.5584976558440369,False
360600,69,3.3708421077295325,5.683184809711372,4.873095204016686,True
451300,70,3.564494446590949,5.83780377498202,5.039678673911996,True
450800,71,3.5800763227140875,5.897831215156257,5.080845647281396,True
331100,72,3.301257545139946,5.447691494148876,4.69462608559299,True
360800,73,3.346195654289508,5.525669081754203,4.759585136552524,True
350900,74,3.502127508890651,5.819853138894326,5.00060379122802,True
450100,75,3.6601637796724873,6.003946460285126,5.177248810488777,True
441800,76,3.594456668459056,6.0261307301825,5.168611677202217,True
341000,77,3.118998774752324,5.085444722022259,4.391552579825908,True
230900,78,0.7665133598415919,1.162563241976211,0.917088045617831,False
230100,79,0.8492577967800674,1.2208652785682397,0.9930187923819832,False
360900,80,3.29396467869405,5.4682217272976175,4.703319582207532,True
231000,81,1.0084472513641751,1.3502883372080945,1.145193972391656,False
231200,82,0.6651412695404035,1.0912837848031431,0.8245683539110704,False
330200,83,2.85293927731618,4.261231287585665,3.753478029503832,True
360300,84,3.3504970953027517,5.6095590193594,4.816077011016007,True
330700,85,3.2090782129654327,5.282258755445812,4.556294512377712,True
350400,86,3.4950884469024723,5.865466490855331,5.029521142932492,True
420700,87,3.071060443062512,4.942207749927086,4.27971004675094,True
420200,88,3.0813012643234217,4.98333363940664,4.308860879211385,True
230200,89,0.679033713448951,1.0323010133334254,0.8115383286078304,False
441200,90,3.6139565287010456,6.061804642428537,5.197381652956468,True
350100,91,3.3536293440030507,5.339227501148458,4.628889665735181,True
230300,92,0.932981568903002,1.2507384550032974,1.0581358698257717,False
350700,93,3.4441791597755955,5.860672373942744,5.01497617429123,True
361100,94,3.2197670196433714,5.362264719069909,4.609605868726585,True
222400,95,1.274256758017267,1.4575150695398609,1.3593628858525886,False
330300,96,3.193864747161612,5.09701836659846,4.423640881289925,True
