adcode,city,ghi_quartile,advantage_t1_s1_i1_pct,advantage_t0_s1_i1_pct,advantage_t1_s0_i1_pct,advantage_t0_s0_i0_pct,plot_order
520300,遵义,Q1,4.7261094366461975,2.889209020506134,2.841320452155061,1.0917949883088918,1
511500,宜宾,Q1,5.261555009505647,2.8793244798393625,3.3738941247581256,1.0854774843102932,2
511100,乐山,Q1,5.20030602354602,2.868381351536353,3.3387322129329933,1.083622972152409,3
510500,泸州,Q1,5.083805280463793,2.836765990454748,3.2122464519271032,1.0566823191374697,4
511600,广安,Q1,5.008726322866597,2.645029227217588,3.2602841570745333,1.005230524730627,5
520600,铜仁,Q1,4.63947616531708,2.751659078192903,2.817833584067841,1.0095844787839203,6
520100,贵阳,Q1,3.723057299253663,2.758050554554381,1.9544593628017413,1.0373533392727508,7
500000,重庆,Q1,4.842454348990666,2.614719437425883,3.100858107600235,0.9727344012999906,8
422800,恩施,Q1,4.566378778612767,2.5231728309030865,2.8785913060184853,0.9441083053771672,9
520400,安顺,Q1,3.641375026843962,2.733102846733737,1.885180036718892,1.0177001969204902,10
520500,毕节,Q1,3.4670883655608,2.624927077979855,1.7637684224514727,0.9815224055179206,11
511900,巴中,Q1,4.549867623620241,2.507466670502234,2.900845095759186,0.9499573102293324,12
511700,达州,Q1,4.701106673631061,2.520691198057756,3.0297147801527924,0.9394359238603212,13
511400,眉山,Q1,4.743263481027871,2.6195630390850155,3.0283629138102786,0.979963331967193,14
433100,湘西,Q1,4.682385502159625,2.573265530854796,2.930975826387172,0.930619121627596,15
522600,黔东南,Q1,4.219625797938242,2.659719769454849,2.4525100256879373,0.9624602209062694,16
430800,张家界,Q1,4.474129046160846,2.4720860284331625,2.786298803049725,0.90177281684809,17
510300,自贡,Q1,5.241939556450159,2.694719290556691,3.4353360965759583,0.978091680531179,18
510600,德阳,Q1,4.596566387126866,2.528262522218605,2.9444421369593687,0.957593245301136,19
510800,广元,Q1,4.204792633850785,2.42414714438004,2.6307808061948545,0.933401697208347,20
530600,昭通,Q1,3.921489557104496,2.5950370250594545,2.207461872715521,0.9620353921546698,21
511300,南充,Q1,4.6675777407722885,2.494416014104295,3.0064728151223408,0.9314967367015204,22
522700,黔南,Q1,3.958243714330889,2.67740611297409,2.193920528380655,0.9749442719589664,23
510100,成都,Q1,4.609490103172553,2.5017860680343507,2.9500539696238004,0.9406906064255428,24
431200,怀化,Q1,4.615202928346074,2.57899568918587,2.8655292611115213,0.9236158546424011,25
512000,资阳,Q1,4.8701202753162365,2.578611528340069,3.1551006691108,0.945261770844774,26
510900,遂宁,Q1,4.669569322923306,2.503738891568963,3.009053922530125,0.9261806325212564,27
520200,六盘水,Q1,3.536414635220275,2.624918097780826,1.8126362146842376,0.9611594716254944,28
511000,内江,Q1,5.151141107203583,2.617034682704777,3.383908906069744,0.9435333876268492,29
232700,大兴安岭,Q1,0.4389203334818514,1.020615423163962,0.0636580632388028,0.6594851104001265,30
510700,绵阳,Q1,4.1872810780569925,2.4069464669322693,2.627326985587408,0.9111576038446144,31
451200,河池,Q1,4.927423189178892,2.6626384607056908,3.0931523248465043,0.9475395852729608,32
450300,桂林,Q1,5.023411532518085,2.598727716780025,3.2443536313564225,0.9232344451939324,33
511800,雅安,Q1,3.7579825048200233,2.436868026841821,2.165469901756989,0.894414045624603,34
450200,柳州,Q1,4.976468556093527,2.6088539350326068,3.176395026799117,0.92297450393104,35
431300,娄底,Q1,4.824072485123532,2.507362683357228,3.0921554143668706,0.8866055203564649,36
522300,黔西南,Q1,3.987337922017087,2.6063443024529898,2.23746484456846,0.9392911962710082,37
431000,郴州,Q1,4.868463252337607,2.5470526729488574,3.1134869905997453,0.9002473991213344,38
430500,邵阳,Q1,4.915413668118607,2.5182687123382674,3.166164665975013,0.8848435168930191,39
430900,益阳,Q1,4.595803446474922,2.42577175647698,2.9186906397211443,0.8537614017891437,40
430700,常德,Q1,4.440113899145293,2.3629257667228787,2.802901726681517,0.8406570137230451,41
610700,汉中,Q1,4.116313221481671,2.2399421646293494,2.629203329632812,0.8532741567035984,42
431100,永州,Q1,5.046024220777601,2.5197038111720804,3.299291054643616,0.8837002635731173,43
610900,安康,Q1,4.37876503671637,2.250653901463573,2.8501797667832784,0.844611772745063,44
330600,绍兴,Q1,4.252957415558134,2.3303298818898144,2.662201705242584,0.8359872374276378,45
420300,十堰,Q1,3.934029516252657,2.1900479242195736,2.456888240672228,0.8172348386366046,46
