context,om,replacement_rule,policy,cases,counterexample_discounted,counterexample_physical,discounted_min_mwh,discounted_max_mwh,physical_min_mwh,physical_max_mwh
area,1.6,full,General,243,0,0,23658.457082378773,2389804.089687285,36381.53681469289,4128847.794092303
area,1.6,full,New,243,0,0,26365.96220927461,2388266.309350717,40547.228938322005,4124665.9161301856
area,1.6,half,General,243,0,0,23658.457082378773,2389804.089687285,36381.53681469289,4128847.794092303
area,1.6,half,New,243,0,0,26365.96220927461,2388266.309350717,40547.228938322005,4124665.9161301856
area,1.6,salvage,General,243,0,0,23658.457082378773,2389804.089687285,36381.53681469289,4128847.794092303
area,1.6,salvage,New,243,0,0,26365.96220927461,2388266.309350717,40547.228938322005,4124665.9161301856
area,1.6,stop_option,General,243,0,0,23658.457082378773,2389804.089687285,36381.53681469289,4444659.193583171
area,1.6,stop_option,New,243,0,0,26365.96220927461,2388266.309350717,40547.228938322005,4444659.193583171
area,3.2,full,General,243,0,0,11151.28886580106,2327217.7280404726,18333.409588747403,4020731.7348331246
area,3.2,full,New,243,0,0,11151.28886580106,2323400.268416874,18333.409588747403,4009373.0797915934
area,3.2,half,General,243,0,0,11151.28886580106,2327217.7280404726,18333.409588747403,4020731.7348331246
area,3.2,half,New,243,0,0,11151.28886580106,2323400.268416874,18333.409588747403,4009373.0797915934
area,3.2,salvage,General,243,0,0,11151.28886580106,2327217.7280404726,18333.409588747403,4020731.7348331246
area,3.2,salvage,New,243,0,0,11151.28886580106,2323400.268416874,18333.409588747403,4009373.0797915934
area,3.2,stop_option,General,243,0,0,11151.28886580106,2343285.028501395,18333.409588747403,4426136.773268383
area,3.2,stop_option,New,243,0,0,11151.28886580106,2343285.028501395,18333.409588747403,4426136.773268383
area,6.4,full,General,243,0,0,0.0,2157627.534516289,0.0,3745984.4976068838
area,6.4,full,New,243,0,0,0.0,2214538.0647148145,0.0,3821890.424886735
area,6.4,half,General,243,0,0,0.0,2157627.534516289,0.0,3745984.4976068838
area,6.4,half,New,243,0,0,0.0,2214538.0647148145,0.0,3821890.424886735
area,6.4,salvage,General,243,0,0,0.0,2157627.534516289,0.0,3745984.4976068838
area,6.4,salvage,New,243,0,0,0.0,2214538.0647148145,0.0,3821890.424886735
area,6.4,stop_option,General,243,0,0,0.0,2169142.4314678097,0.0,4104057.731249115
area,6.4,stop_option,New,243,0,0,0.0,2214538.0647148145,0.0,4099498.749314693
area,proportional,full,General,243,0,0,0.0,1664668.1101218234,0.0,3015571.403253915
area,proportional,full,New,243,0,0,0.0,1999518.6193056456,0.0,3412673.6926669944
area,proportional,half,General,243,0,0,0.0,1766245.39070813,0.0,3015571.403253915
area,proportional,half,New,243,0,0,0.0,1999518.6193056456,0.0,3412673.6926669944
area,proportional,salvage,General,243,0,0,0.0,1710928.6224862335,0.0,3015571.403253915
area,proportional,salvage,New,243,0,0,0.0,2036780.9368148749,0.0,3412673.6926669944
area,proportional,stop_option,General,243,0,0,0.0,1897721.2067486045,0.0,3676654.895877379
area,proportional,stop_option,New,243,0,0,0.0,2059356.8915370982,0.0,3812251.3157187607
cap,1.6,full,General,243,0,0,0.0,2982225.825220619,-40623.88534111464,5224908.108757513
cap,1.6,full,New,243,61,61,-1052446.8365860055,2363663.045051605,-2218845.374970639,4214078.002978093
cap,1.6,half,General,243,0,0,-4669.08464258958,2982225.825220619,-34259.89526589392,5224908.108757513
cap,1.6,half,New,243,38,38,-1052446.8365860055,2625782.73217397,-2218845.374970639,4698325.735658029
cap,1.6,salvage,General,243,0,0,0.0,2982225.825220619,0.0,5224908.108757513
cap,1.6,salvage,New,243,36,35,-1052446.8365860055,2525565.327632636,-2218845.374970639,4521726.95164112
cap,1.6,stop_option,General,243,0,0,0.0,2982225.825220619,0.0,5224908.108757513
cap,1.6,stop_option,New,243,50,55,-1052446.8365860055,1963007.2064691426,-2540863.5570013127,3336768.251980868
cap,3.2,full,General,243,0,3,0.0,3355053.6328046024,-20044.76191136082,5878108.486321719
cap,3.2,full,New,243,63,63,-1052446.8365860055,2818142.115235677,-2218845.374970639,5013377.433999972
cap,3.2,half,General,243,0,0,0.0,3376716.054168648,0.0,5916545.46978903
cap,3.2,half,New,243,50,49,-1052446.8365860055,3070297.714765536,-2218845.374970639,5436795.26961431
cap,3.2,salvage,General,243,0,0,0.0,3355053.6328046024,0.0,5878108.486321719
cap,3.2,salvage,New,243,41,38,-1052446.8365860055,2890401.7255971567,-2218845.374970639,5156611.176245461
cap,3.2,stop_option,General,243,0,0,0.0,3376653.183309978,0.0,5907833.486090836
cap,3.2,stop_option,New,243,56,61,-1052446.8365860055,2450530.8287836746,-2669851.609477687,4188677.0825687028
cap,6.4,full,General,243,0,0,0.0,4366339.047579177,0.0,7649896.967005602
cap,6.4,full,New,243,50,55,-1033764.9085429197,3570726.743081619,-2188043.2939069197,6103420.98176537
cap,6.4,half,General,243,0,0,0.0,4369456.759906417,0.0,7655434.357995945
cap,6.4,half,New,243,44,46,-1033764.9085429197,3861899.397090083,-2188043.2939069197,6821176.971486176
cap,6.4,salvage,General,243,0,0,0.0,4366339.047579177,0.0,7649896.967005602
cap,6.4,salvage,New,243,39,39,-1033764.9085429197,3570726.743081619,-2188043.2939069197,6141185.801027568
cap,6.4,stop_option,General,243,0,0,0.0,4366339.047579177,0.0,7649896.967005602
cap,6.4,stop_option,New,243,57,63,-1046308.3254471865,3570726.743081619,-2913699.616777545,6103420.98176537
cap,proportional,full,General,243,0,0,0.0,4261228.616803626,0.0,7465562.353037915
cap,proportional,full,New,243,40,40,-871894.3894262243,3807135.634778909,-1882448.2780737956,6507513.227876557
cap,proportional,half,General,243,0,0,0.0,4259548.379535729,0.0,7462797.981180624
cap,proportional,half,New,243,28,30,-871894.3894262243,3956266.2173965583,-1882448.2780737956,6977794.485318752
cap,proportional,salvage,General,243,0,0,0.0,4259548.379535729,0.0,7462797.981180624
cap,proportional,salvage,New,243,29,30,-871894.3894262243,3807135.634778909,-1882448.2780737956,6606783.354342493
cap,proportional,stop_option,General,243,0,0,0.0,4353365.5816858085,0.0,7462797.981180624
cap,proportional,stop_option,New,243,44,54,-1160809.5359909432,3807135.634778909,-2715360.4525826806,6507513.227876557
