adcode,province_code,tech,gamma_target_pct_per_c,response_parameter,response_parameter_name,efficiency_ratio_scale,capacity_advantage_pct,area_advantage_pct,yield_kwh_per_kwp,csi_yield_kwh_per_kwp,ghi_kwh_m2,scan_definition
130100,130000,single,-0.1,1.0,Spectral deviation multiplier,1.1,3.7563742545299705,0.06425969188050829,1700.8203304610154,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.1,1.3,Spectral deviation multiplier,0.9,3.8281600310690944,-18.072598264286388,1701.9970746278477,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.1,1.3,Spectral deviation multiplier,1.0,3.8281600310690944,-8.969553626984883,1701.9970746278477,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,single,-0.1,1.3,Spectral deviation multiplier,1.1,3.8281600310690944,0.13349101031663313,1701.9970746278477,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.6,Top-cell bandgap at 25 C (eV),0.9,-1.9146807534093924,13.603719069399789,1607.8578910738768,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.6,Top-cell bandgap at 25 C (eV),1.0,-1.9146807534093924,26.226354521555308,1607.8578910738768,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.6,Top-cell bandgap at 25 C (eV),1.1,-1.9146807534093924,38.84898997371084,1607.8578910738768,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.68,Top-cell bandgap at 25 C (eV),0.9,-1.5552263887877116,14.0200438871239,1613.7502258399484,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.68,Top-cell bandgap at 25 C (eV),1.0,-1.5552263887877116,26.68893765235989,1613.7502258399484,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.68,Top-cell bandgap at 25 C (eV),1.1,-1.5552263887877116,39.357831417595904,1613.7502258399484,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.75,Top-cell bandgap at 25 C (eV),0.9,-1.3450795274403848,14.263438772140269,1617.1950460423707,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.75,Top-cell bandgap at 25 C (eV),1.0,-1.3450795274403848,26.959376413489178,1617.1950460423707,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.4,1.75,Top-cell bandgap at 25 C (eV),1.1,-1.3450795274403848,39.65531405483811,1617.1950460423707,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.6,Top-cell bandgap at 25 C (eV),0.9,-0.9081338347559087,14.76951507491011,1624.3576528967894,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.6,Top-cell bandgap at 25 C (eV),1.0,-0.9081338347559087,27.521683416566777,1624.3576528967894,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.6,Top-cell bandgap at 25 C (eV),1.1,-0.9081338347559087,40.273851758223465,1624.3576528967894,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.68,Top-cell bandgap at 25 C (eV),0.9,-0.5474920593515398,15.187215167568468,1630.269452225056,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.68,Top-cell bandgap at 25 C (eV),1.0,-0.5474920593515398,27.985794630631624,1630.269452225056,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.68,Top-cell bandgap at 25 C (eV),1.1,-0.5474920593515398,40.784374093694794,1630.269452225056,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.75,Top-cell bandgap at 25 C (eV),0.9,-0.33787257667144965,15.429999235610236,1633.7056274033482,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.75,Top-cell bandgap at 25 C (eV),1.0,-0.33787257667144965,28.2555547062336,1633.7056274033482,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.3,1.75,Top-cell bandgap at 25 C (eV),1.1,-0.33787257667144965,41.08111017685696,1633.7056274033482,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.2,1.6,Top-cell bandgap at 25 C (eV),0.9,0.07376182299920764,15.906759662743287,1640.4533203591513,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.2,1.6,Top-cell bandgap at 25 C (eV),1.0,0.07376182299920764,28.785288514159202,1640.4533203591513,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.2,1.6,Top-cell bandgap at 25 C (eV),1.1,0.07376182299920764,41.66381736557514,1640.4533203591513,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.2,1.68,Top-cell bandgap at 25 C (eV),0.9,0.42941101774074397,16.318677282189498,1646.2832790992727,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.2,1.68,Top-cell bandgap at 25 C (eV),1.0,0.42941101774074397,29.242974757988314,1646.2832790992727,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
130100,130000,tandem,-0.2,1.68,Top-cell bandgap at 25 C (eV),1.1,0.42941101774074397,42.16727223378716,1646.2832790992727,1639.2441839656499,1644.4605,"Full factorial over declared temperature-response, spectral-response and capacity-density scenarios; no empirical probability assigned"
