adcode,longitude,latitude,support_class,marker
522300,105.45761583213346,25.26536304609221,At 20%,o
430100,113.16062354775885,28.230145941925944,At 20%,o
430200,113.5141725014874,27.1036102399854,At 20%,o
430300,112.60010130145989,27.73381515606116,At 20%,o
430400,112.57561305263654,26.78898114403053,At 20%,o
430500,110.87078043328724,26.9033421329156,At 20%,o
430600,113.25721344139473,29.09169642759697,At 20%,o
430700,111.51284886044056,29.291744113821142,At 20%,o
430800,110.53543980383496,29.381943748719703,At 20%,o
430900,111.9451147151582,28.57736732678697,At 20%,o
431000,113.12502862912936,25.80407259036277,At 20%,o
431100,111.73429604731332,25.760012883280364,At 20%,o
431200,110.06880121839993,27.535299891232192,At 20%,o
431300,111.60451721143716,27.7374492122114,At 20%,o
510100,103.92772160759633,30.65294149243686,At 20%,o
510700,104.69735965710584,31.855579257562702,At 20%,o
510800,105.77508181264848,32.250890144858595,At 20%,o
510900,105.45205239816798,30.62745804585331,At 20%,o
511800,102.65786666400096,29.905265707469404,At 20%,o
450100,108.4574886304225,23.046913824617626,At 20%,o
450200,109.38015380413836,24.956793566605995,At 20%,o
450300,110.51740707363804,25.360477878556143,At 20%,o
450400,110.97357565534556,23.484065050404407,At 20%,o
450800,109.99963834182338,23.29611968339777,At 20%,o
451000,106.29787421847932,23.975077119569125,At 20%,o
451100,111.3541460043354,24.35348482306777,At 20%,o
451200,107.84276587533672,24.64127625230265,At 20%,o
451300,109.41333059559224,23.84669339684809,At 20%,o
451400,107.25539967702085,22.50025516084972,At 20%,o
360300,113.89699714190976,27.505598909869367,At 20%,o
360500,114.84283188446244,27.83558127570148,At 20%,o
360600,117.12067942083884,28.20258057928756,At 20%,o
360800,114.82503838277124,26.97606319689813,At 20%,o
360900,114.98471189570157,28.30765746881316,At 20%,o
361000,116.43432465389984,27.4990974130398,At 20%,o
330100,119.46524425761396,29.9001305294611,At 20%,o
330600,120.64410248845552,29.719492302874897,At 20%,o
330800,118.6854573202324,28.93347887190028,At 20%,o
331000,121.08315310854728,28.804220742270985,At 20%,o
331100,119.52216733600336,28.198354657432184,At 20%,o
420200,115.02680219274264,29.946315369173963,At 20%,o
420300,110.42941497726304,32.45260121007458,At 20%,o
420500,111.13062429523922,30.74645814595156,At 20%,o
420700,114.76422383622958,30.34979939374324,At 20%,o
350100,119.13862813996958,26.07283234714338,At 20%,o
350400,117.40193198196802,26.29074835011854,At 20%,o
350900,119.45244348430656,26.987998611783063,At 20%,o
610700,107.10173921970942,33.091586833701,At 20%,o
610900,108.91907468249924,32.765959787647006,At 20%,o
440200,113.75661090434517,24.830935242168845,At 20%,o
441200,112.18544443237498,23.54834094121,At 20%,o
441800,112.87774188189192,24.30229751111392,At 20%,o
540400,95.180037500826,29.495247861009467,At 20%,o
532600,104.72032316640517,23.693364266043144,At 20%,o
621200,105.21640204718705,33.59376117560101,At 20%,o
520100,106.7052443262577,26.84730161366346,Added at 30%,^
520200,104.89401388457811,26.152736103232787,Added at 30%,^
520400,105.93736006134374,25.99563037374094,Added at 30%,^
520500,105.23720050620418,27.077862205970906,Added at 30%,^
520600,108.55064772281844,27.97407381335051,Added at 30%,^
522600,108.55404956877425,26.511763986521643,Added at 30%,^
522700,107.24362617677136,26.006860131238764,Added at 30%,^
500000,107.87800039111424,30.05024800172509,Added at 30%,^
433100,109.72986941260189,28.70778619925841,Added at 30%,^
510300,104.68641209750707,29.29043440874372,Added at 30%,^
510600,104.43713020526005,31.132026218093586,Added at 30%,^
511000,104.93078122069464,29.64258155536627,Added at 30%,^
511300,106.19572986939826,31.175300834539183,Added at 30%,^
511400,103.7874533298798,29.940489283240424,Added at 30%,^
511600,106.6781043917378,30.416656845696185,Added at 30%,^
511700,107.64570823795312,31.3801207913044,Added at 30%,^
511900,107.02325154097925,32.02122501780514,Added at 30%,^
512000,105.11132022779724,30.108946613358125,Added at 30%,^
422800,109.5635282195006,30.190146897522325,Added at 30%,^
530600,103.99308165055872,27.65587491864052,Added at 30%,^
520300,107.09275513127388,28.165390545705904,Beyond 30%,x
510500,105.67501430121686,28.44844987217917,Beyond 30%,x
511100,103.56142606763692,29.22227763045106,Beyond 30%,x
511500,104.63956379482435,28.560544403599582,Beyond 30%,x
