adcode,context,npv_musd,display_y,display_row
520100,cap,-0.12700782205536068,0.10453843137606356,0
520200,cap,-0.08790986476596402,0.0,0
520300,cap,-0.17296874223550873,0.0,0
520400,cap,-0.11181019752951693,0.0,0
520500,cap,-0.10897821097166355,0.0982515614552355,0
520600,cap,-0.12747078424571437,0.0,0
522300,cap,-0.06973719195793057,0.0,0
522600,cap,-0.09625429438344549,0.0,0
522700,cap,-0.09423779093244605,0.10148472230690686,0
500000,cap,-0.10402753906323346,1.0,1
430100,cap,-0.012057381904910357,2.1311973730331246,2
430200,cap,-0.01658598353847674,1.9428071572409067,2
430300,cap,-0.016969516877440922,2.047398099668726,2
430400,cap,-0.024274932258376448,2.0,2
430500,cap,-0.049097605420874525,1.912069085949831,2
430600,cap,-0.005083593141513916,2.0,2
430700,cap,-0.032426840429756,1.9773899098328158,2
430800,cap,-0.07964705878004384,2.0,2
430900,cap,-0.03787394457091477,2.099494425924867,2
431000,cap,-0.05102987716512735,2.0996472889102122,2
431100,cap,-0.04042646939425276,2.0,2
431200,cap,-0.0764976355942265,2.0966605084052077,2
431300,cap,-0.05354562793062871,2.0,2
433100,cap,-0.0887337054224347,2.0,2
510100,cap,-0.07752300389497885,2.790391893160127,3
510300,cap,-0.10354222504344437,3.0,3
510400,cap,0.10249797262518166,3.0,3
510500,cap,-0.15201311717869823,3.068807684454626,3
510600,cap,-0.08391538455331203,3.0,3
510700,cap,-0.05927987406120292,3.0,3
510800,cap,-0.07458419994998837,3.0,3
510900,cap,-0.0733258734780145,3.1034634141920705,3
511000,cap,-0.08330335755852639,2.8645947805989636,3
511100,cap,-0.1456118733379247,3.0,3
511300,cap,-0.08332185234190706,3.104430613314399,3
511400,cap,-0.09338911273428975,3.1046211198662093,3
511500,cap,-0.15818859478952949,3.0,3
511600,cap,-0.12941035558843508,3.0,3
511700,cap,-0.09097527318704271,2.9013376175743346,3
511800,cap,-0.05441733704868989,3.0842704019421276,3
511900,cap,-0.0937184192292749,3.0,3
512000,cap,-0.08068832842487371,3.2035796528067664,3
513200,cap,0.1836221645243997,3.0,3
513300,cap,0.27195083543721205,3.0,3
513400,cap,0.05810641083406722,3.0,3
450100,cap,-0.032155546038467944,3.9124826812876137,4
450200,cap,-0.06381622887091522,4.103602240142585,4
450300,cap,-0.06500256111416275,4.0,4
450400,cap,-0.0018481306886711764,4.0,4
450500,cap,0.07546902740541578,4.0,4
450600,cap,0.01978786149101188,4.0,4
450700,cap,0.020537270910691522,4.104266786298226,4
450800,cap,-0.02738024704141003,4.0,4
450900,cap,0.011248372819522387,4.0,4
451000,cap,-0.03665323315856142,4.0,4
451100,cap,-0.03304007592816606,4.093973658005815,4
451200,cap,-0.07497255485165545,4.0,4
451300,cap,-0.02907532399754848,3.8154586393991465,4
451400,cap,-0.046427713626100174,4.0,4
360100,cap,0.028359536156099693,5.0,5
360200,cap,0.010334845227951178,4.93325481970966,5
360300,cap,-0.004497001266430971,5.104382874456107,5
360400,cap,0.03092655383443014,5.099433507013643,5
360500,cap,-0.015606079600480823,5.0,5
360600,cap,-0.015442201393595837,5.104684784859096,5
360700,cap,0.004022296196199022,5.0,5
360800,cap,-0.012368570796485298,4.903815980487252,5
360900,cap,-0.005139896215330168,5.0,5
361000,cap,-0.028476359476757127,5.0,5
361100,cap,0.006601525232540439,5.09938188114473,5
330100,cap,-0.013487802861660384,6.0,6
330200,cap,0.005121882887471543,6.102646009796906,6
330300,cap,0.009414000999884138,5.92747340736328,6
330400,cap,0.06053869176129592,6.0,6
330500,cap,0.035479151928293845,6.0,6
330600,cap,-0.021772407743402368,6.0,6
330700,cap,0.0035048200810964543,6.0,6
330800,cap,-0.007569697176601608,5.9275923599250575,6
330900,cap,0.02689317240023479,6.0,6
331000,cap,-0.01922187182766811,6.099502756235992,6
331100,cap,-0.008438301323566065,6.082454955927368,6
