display_row,display_y_center,display_group,province_label,n,nonviable,minimum_kusd,q1_kusd,median_kusd,q3_kusd,maximum_kusd,box_drawn
0,0.0,贵州,Guizhou,9,9,-172.96874223550873,-127.00782205536068,-108.97821097166354,-94.23779093244605,-69.73719195793058,1
1,1.0,重庆,Chongqing,1,1,-104.02753906323346,-104.02753906323346,-104.02753906323346,-104.02753906323346,-104.02753906323346,0
2,2.0,湖南,Hunan,14,14,-88.7337054224347,-52.91669023925337,-39.15020698258377,-18.795870722674806,-5.083593141513916,1
3,3.0,四川,Sichuan,21,17,-158.18859478952947,-93.7184192292749,-83.30335755852639,-59.27987406120292,271.95083543721205,1
4,4.0,广西,Guangxi,14,10,-74.97255485165545,-43.984093509215484,-30.615435018008213,7.974246942473997,75.46902740541577,1
5,5.0,江西,Jiangxi,11,6,-28.476359476757125,-13.90538609504057,-4.497001266430971,8.468185230245808,30.926553834430138,1
6,6.0,浙江,Zhejiang,11,5,-21.77240774340237,-10.963052092613225,3.5048200810964545,18.153586700059464,60.53869176129592,1
7,7.0,湖北,Hubei,13,5,-102.38162341335124,-1.211605488445798,13.18148735792738,39.37507751553085,53.07657864680061,1
8,8.0,福建,Fujian,9,3,-13.38304035185945,-5.0538248697178005,11.818647700451152,31.650522894623805,81.10261691986932,1
9,9.0,陕西,Shaanxi,10,2,-46.23660087315193,15.183006588714106,65.51305355509572,98.03021923831253,168.62767713242192,1
10,10.0,广东,Guangdong,21,3,-20.255375800346314,11.43162295728564,37.22043198427036,56.69098098975917,80.42234327087715,1
11,11.0,西藏,Tibet,7,1,-55.652637369092986,26.435296658992456,74.73183635348664,87.87104807850358,115.67303999399404,1
12,12.0,云南,Yunnan,16,2,-100.10560544142947,57.702251835834744,80.39494088994627,110.94091809930167,174.02019751288412,1
13,13.0,甘肃,Gansu,14,1,-35.49643675503876,90.97820778158325,148.4335355788475,218.37569748812047,271.94285766378823,1
14,15.0,Other 17,Other 17,166,0,3.4115600317737744,107.10518225699839,140.4869056258879,181.50516247102271,302.22412096511846,1
