case,context,strategy,share,admin_fraction,before_viable,after_viable,after_si,after_sj,after_t,direct_support_usd,total_public_usd,private_gain_usd,additional_discounted_mwh
Investment85%,cap,New technology,0.3,0.1,319,337,0,337,0,33084975.0,36393472.5,29420768.231185593,-147602.8253892242
Investment85%,cap,Matched gap,0.3,0.0,319,337,337,0,0,2451333.742694265,2451333.742694265,159.0,424152.5839211977
Investment85%,cap,Matched gap,0.3,0.05,319,337,337,0,0,2451333.742694265,2573900.4298289786,159.0,424152.5839211977
Investment85%,cap,Matched gap,0.3,0.1,319,337,337,0,0,2451333.742694265,2696467.116963692,159.0,424152.5839211977
Investment85%,area,General,0.1,0.0,337,337,39,0,298,30446451.479714457,30446451.479714457,30004717.49538311,163488.08962809917
Investment85%,area,General,0.1,0.05,337,337,39,0,298,30446451.479714457,31968774.053700183,30004717.49538311,163488.08962809917
Investment85%,area,General,0.1,0.1,337,337,39,0,298,30446451.479714457,33491096.627685905,30004717.49538311,163488.08962809917
Investment85%,area,New technology,0.1,0.0,337,337,0,0,337,31435739.74517983,31435739.74517983,29077208.838162974,289332.23747765296
Investment85%,area,New technology,0.1,0.05,337,337,0,0,337,31435739.74517983,33007526.73243882,29077208.838162974,289332.23747765296
Investment85%,area,New technology,0.1,0.1,337,337,0,0,337,31435739.74517983,34579313.71969781,29077208.838162974,289332.23747765296
Investment85%,area,Matched gap,0.1,0.0,337,337,39,0,298,441777.9843313431,441777.9843313431,44.0,163488.08962809917
Investment85%,area,Matched gap,0.1,0.05,337,337,39,0,298,441777.9843313431,463866.88354791026,44.0,163488.08962809917
Investment85%,area,Matched gap,0.1,0.1,337,337,39,0,298,441777.9843313431,485955.7827644774,44.0,163488.08962809917
Investment85%,area,General,0.2,0.0,337,337,16,0,321,62059755.78536243,62059755.78536243,60733897.55450459,240782.5497724622
Investment85%,area,General,0.2,0.05,337,337,16,0,321,62059755.78536243,65162743.57463055,60733897.55450459,240782.5497724622
Investment85%,area,General,0.2,0.1,337,337,16,0,321,62059755.78536243,68265731.36389868,60733897.55450459,240782.5497724622
Investment85%,area,New technology,0.2,0.0,337,337,0,0,337,62871479.49035966,62871479.49035966,60512948.58334279,289332.23747765296
Investment85%,area,New technology,0.2,0.05,337,337,0,0,337,62871479.49035966,66015053.46487764,60512948.58334279,289332.23747765296
Investment85%,area,New technology,0.2,0.1,337,337,0,0,337,62871479.49035966,69158627.43939562,60512948.58334279,289332.23747765296
Investment85%,area,Matched gap,0.2,0.0,337,337,16,0,321,1325925.2308578342,1325925.2308578342,67.0,240782.5497724622
Investment85%,area,Matched gap,0.2,0.05,337,337,16,0,321,1325925.2308578342,1392221.492400726,67.0,240782.5497724622
Investment85%,area,Matched gap,0.2,0.1,337,337,16,0,321,1325925.2308578342,1458517.7539436177,67.0,240782.5497724622
Investment85%,area,General,0.3,0.0,337,337,3,0,334,94078921.943509,94078921.943509,91968632.3469334,280911.86082869716
Investment85%,area,General,0.3,0.05,337,337,3,0,334,94078921.943509,98782868.04068445,91968632.3469334,280911.86082869716
Investment85%,area,General,0.3,0.1,337,337,3,0,334,94078921.943509,103486814.13785991,91968632.3469334,280911.86082869716
Investment85%,area,New technology,0.3,0.0,337,337,0,0,337,94307219.23553947,94307219.23553947,91948688.32852265,289332.23747765296
Investment85%,area,New technology,0.3,0.05,337,337,0,0,337,94307219.23553947,99022580.19731644,91948688.32852265,289332.23747765296
Investment85%,area,New technology,0.3,0.1,337,337,0,0,337,94307219.23553947,103737941.15909342,91948688.32852265,289332.23747765296
Investment85%,area,Matched gap,0.3,0.0,337,337,3,0,334,2110369.5965756406,2110369.5965756406,80.0,280911.86082869716
Investment85%,area,Matched gap,0.3,0.05,337,337,3,0,334,2110369.5965756406,2215888.0764044225,80.0,280911.86082869716
Investment85%,area,Matched gap,0.3,0.1,337,337,3,0,334,2110369.5965756406,2321406.556233205,80.0,280911.86082869716
Investment115%,cap,General,0.1,0.0,162,213,163,50,0,12687294.255205926,12687294.255205926,10582837.10856537,1035475.9895115341
Investment115%,cap,General,0.1,0.05,162,213,163,50,0,12687294.255205926,13321658.967966223,10582837.10856537,1035475.9895115341
Investment115%,cap,General,0.1,0.1,162,213,163,50,0,12687294.255205926,13956023.680726519,10582837.10856537,1035475.9895115341
Investment115%,cap,New technology,0.1,0.0,162,212,0,212,0,9386300.0,9386300.0,7884090.730142141,678940.0156402083
Investment115%,cap,New technology,0.1,0.05,162,212,0,212,0,9386300.0,9855615.0,7884090.730142141,678940.0156402083
Investment115%,cap,New technology,0.1,0.1,162,212,0,212,0,9386300.0,10324930.0,7884090.730142141,678940.0156402083
Investment115%,cap,Matched gap,0.1,0.0,162,213,163,50,0,2104596.146640558,2104596.146640558,139.0000000000009,1035475.9895115341
Investment115%,cap,Matched gap,0.1,0.05,162,213,163,50,0,2104596.146640558,2209825.953972586,139.0000000000009,1035475.9895115341
