en,lat,lon,burden,optemp
Lhasa,29.65,91.14,331.2388540015363,6.2437068907061155
Urumqi,43.83,87.62,345.4221615991364,14.949697057555287
Dunhuang,40.14,94.66,366.80378298097276,18.32001299877469
Yinchuan,38.49,106.23,413.10050282064367,16.605489183051453
Harbin,45.75,126.63,188.93849278141988,11.726190591622323
Beijing,39.9,116.41,420.2473687559177,18.777419185295596
Chengdu,30.67,104.07,394.4550097818437,22.571199843737283
Wuhan,30.59,114.3,440.24361410530764,23.199651131969542
Shanghai,31.23,121.47,380.27960499247183,20.839829381368215
Kunming,25.04,102.71,384.8064197723497,19.07464869401635
Guangzhou,23.13,113.26,475.4274674642502,25.465732273800427
Haikou,20.04,110.32,541.0889100778804,26.983090444554097
