板子,场景,最高电压_无调节,最高电压_有调节,过压时数,过压时数_无调节,变压器过载时数,最大爬坡
现代晶硅,①光伏直供(,1.1060294514978437,1.0840366078320458,212,795,337,2.835752791375212
现代晶硅,④最优+配网,1.0720402206123203,1.0587364924548872,0,615,409,4.290302885392088
钙钛矿,①光伏直供(,1.09649847878606,1.0769421634159064,111,610,335,2.8057009626859695
钙钛矿,④最优+配网,1.0656258158699157,1.0539618866214921,0,0,412,4.38507385369691
