amplitude,delta_si,delta_sj,delta_t,context,om,policy,choice_changes,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.01,-0.01,0.0,0.01,cap,proportional,General,18,258,311,53,168,1041824.671211099,1845769.7862138913,798247.6567131546,243577.0144979445,1396834.1127400172,448935.67347387405,35907420.57135275,28504900.822933957,295,16,0,False,False
0.01,-0.01,0.0,0.01,cap,proportional,New,0,258,311,53,90,572761.8299174544,984200.6154284696,757048.3189984219,-184286.48908096756,1320506.9627988013,-336306.34737033135,25144350.0,21795454.809025414,0,311,0,False,False
0.01,-0.01,0.01,-0.01,cap,proportional,General,78,268,314,46,204,957507.0577421698,1701231.5961615676,656802.4133743373,300704.6443678327,1146009.0838635815,555222.5122979861,33997356.457082205,27370661.00686419,236,78,0,False,False
0.01,-0.01,0.01,-0.01,cap,proportional,New,3,268,314,46,29,596006.8297227268,1034663.1058783586,653260.2741808416,-57253.444458114725,1139471.1789558218,-104808.07307746334,25386900.0,22553105.99635626,0,314,0,False,False
0.01,-0.01,0.01,0.0,cap,proportional,General,78,268,314,46,204,957507.0577421698,1701231.5961615676,656802.4133743373,300704.6443678327,1146009.0838635815,555222.5122979861,33997356.457082205,27370661.00686419,236,78,0,False,False
0.01,-0.01,0.01,0.0,cap,proportional,New,3,268,314,46,29,596006.8297227268,1034663.1058783586,653260.2741808416,-57253.444458114725,1139471.1789558218,-104808.07307746334,25386900.0,22553105.99635626,0,314,0,False,False
0.01,-0.01,0.01,0.01,cap,proportional,General,78,268,314,46,204,957507.0577421698,1701231.5961615676,656802.4133743373,300704.6443678327,1146009.0838635815,555222.5122979861,33997356.457082205,27370661.00686419,236,78,0,False,False
0.01,-0.01,0.01,0.01,cap,proportional,New,3,268,314,46,29,596006.8297227268,1034663.1058783586,653260.2741808416,-57253.444458114725,1139471.1789558218,-104808.07307746334,25386900.0,22553105.99635626,0,314,0,False,False
0.01,0.0,-0.01,-0.01,cap,proportional,General,0,253,313,60,98,1093915.9777670898,1928861.3250985076,932878.5709076651,161037.4068594249,1634418.4160704848,294442.90902802284,36725850.301130205,30712682.319461893,313,0,0,False,False
0.01,0.0,-0.01,-0.01,cap,proportional,New,4,253,307,54,155,415886.4228148107,700288.0284579928,772281.0259214949,-356394.6031066843,1347077.1235790316,-646789.0951210388,24820950.0,19525538.596035935,0,307,0,False,False
0.01,0.0,-0.01,0.0,cap,proportional,General,0,253,313,60,98,1093915.9777670898,1928861.3250985076,932878.5709076651,161037.4068594249,1634418.4160704848,294442.90902802284,36725850.301130205,30712682.319461893,313,0,0,False,False
0.01,0.0,-0.01,0.0,cap,proportional,New,4,253,307,54,155,415886.4228148107,700288.0284579928,772281.0259214949,-356394.6031066843,1347077.1235790316,-646789.0951210388,24820950.0,19525538.596035935,0,307,0,False,False
0.01,0.0,-0.01,0.01,cap,proportional,General,0,253,313,60,98,1093915.9777670898,1928861.3250985076,932878.5709076651,161037.4068594249,1634418.4160704848,294442.90902802284,36725850.301130205,30712682.319461893,313,0,0,False,False
0.01,0.0,-0.01,0.01,cap,proportional,New,4,253,307,54,155,415886.4228148107,700288.0284579928,772281.0259214949,-356394.6031066843,1347077.1235790316,-646789.0951210388,24820950.0,19525538.596035935,0,307,0,False,False
0.01,0.0,0.0,-0.01,cap,proportional,General,0,258,313,55,135,1059572.7812735206,1873812.345543987,850618.0639476451,208954.71732587536,1490296.6710936048,383515.674450382,36725850.301130205,29925854.220964197,313,0,0,False,False
0.01,0.0,0.0,-0.01,cap,proportional,New,0,258,311,53,123,487290.344632922,829692.0125019208,757048.3189984219,-269757.97436550003,1320506.9627988013,-490814.95029688004,25144350.0,20871575.615580194,0,311,0,False,False
0.01,0.0,0.0,0.0,cap,proportional,General,0,258,313,55,135,1059572.7812735206,1873812.345543987,850618.0639476451,208954.71732587536,1490296.6710936048,383515.674450382,36725850.301130205,29925854.220964197,313,0,0,False,False
0.01,0.0,0.0,0.0,cap,proportional,New,0,258,311,53,123,487290.344632922,829692.0125019208,757048.3189984219,-269757.97436550003,1320506.9627988013,-490814.95029688004,25144350.0,20871575.615580194,0,311,0,False,False
0.01,0.0,0.0,0.01,cap,proportional,General,0,258,313,55,135,1059572.7812735206,1873812.345543987,850618.0639476451,208954.71732587536,1490296.6710936048,383515.674450382,36725850.301130205,29925854.220964197,313,0,0,False,False
0.01,0.0,0.0,0.01,cap,proportional,New,0,258,311,53,123,487290.344632922,829692.0125019208,757048.3189984219,-269757.97436550003,1320506.9627988013,-490814.95029688004,25144350.0,20871575.615580194,0,311,0,False,False
0.01,0.0,0.01,-0.01,cap,proportional,General,16,268,314,46,176,940539.6139009881,1669427.914612877,686746.488551724,253793.12534926418,1201493.214901526,467934.6997113511,36259425.52631567,28921920.20887455,298,16,0,False,False
0.01,0.0,0.01,-0.01,cap,proportional,New,3,268,314,46,92,463141.22915620805,792523.3109160479,653260.2741808416,-190119.04502463352,1139471.1789558218,-346947.8680397742,25386900.0,22001626.026118938,0,314,0,False,False
0.01,0.0,0.01,0.0,cap,proportional,General,16,268,314,46,176,940539.6139009881,1669427.914612877,686746.488551724,253793.12534926418,1201493.214901526,467934.6997113511,36259425.52631567,28921920.20887455,298,16,0,False,False
0.01,0.0,0.01,0.0,cap,proportional,New,3,268,314,46,92,463141.22915620805,792523.3109160479,653260.2741808416,-190119.04502463352,1139471.1789558218,-346947.8680397742,25386900.0,22001626.026118938,0,314,0,False,False
0.01,0.0,0.01,0.01,cap,proportional,General,16,268,314,46,176,940539.6139009881,1669427.914612877,686746.488551724,253793.12534926418,1201493.214901526,467934.6997113511,36259425.52631567,28921920.20887455,298,16,0,False,False
0.01,0.0,0.01,0.01,cap,proportional,New,3,268,314,46,92,463141.22915620805,792523.3109160479,653260.2741808416,-190119.04502463352,1139471.1789558218,-346947.8680397742,25386900.0,22001626.026118938,0,314,0,False,False
0.01,0.01,-0.01,-0.01,cap,proportional,General,5,253,318,65,60,1116340.7880652023,1963230.1264034633,1013176.3279412758,103164.46012392639,1775101.391280424,188128.735123039,37312525.22606839,31657118.455041528,318,0,0,False,False
0.01,0.01,-0.01,-0.01,cap,proportional,New,4,253,307,54,193,307986.89303644904,506326.4680997215,772281.0259214949,-464294.132885046,1347077.1235790316,-840750.6554793105,24820950.0,18082564.928585436,0,307,0,False,False
0.01,0.01,-0.01,0.0,cap,proportional,General,5,253,318,65,60,1116340.7880652023,1963230.1264034633,1013176.3279412758,103164.46012392639,1775101.391280424,188128.735123039,37312525.22606839,31657118.455041528,318,0,0,False,False
0.01,0.01,-0.01,0.0,cap,proportional,New,4,253,307,54,193,307986.89303644904,506326.4680997215,772281.0259214949,-464294.132885046,1347077.1235790316,-840750.6554793105,24820950.0,18082564.928585436,0,307,0,False,False
0.01,0.01,-0.01,0.01,cap,proportional,General,5,253,318,65,60,1116340.7880652023,1963230.1264034633,1013176.3279412758,103164.46012392639,1775101.391280424,188128.735123039,37312525.22606839,31657118.455041528,318,0,0,False,False
0.01,0.01,-0.01,0.01,cap,proportional,New,4,253,307,54,193,307986.89303644904,506326.4680997215,772281.0259214949,-464294.132885046,1347077.1235790316,-840750.6554793105,24820950.0,18082564.928585436,0,307,0,False,False
0.01,0.01,0.0,-0.01,cap,proportional,General,5,258,318,60,99,1092397.965395029,1926366.0277891988,930093.2159116558,162304.7494833731,1629538.4288537754,296827.5989354232,37312525.22606839,31135094.387180526,318,0,0,False,False
0.01,0.01,0.0,-0.01,cap,proportional,New,0,258,311,53,159,389791.18867795635,653915.3330839055,757048.3189984219,-367257.13032046566,1320506.9627988013,-666591.6297148954,25144350.0,19693405.978766385,0,311,0,False,False
0.01,0.01,0.0,0.0,cap,proportional,General,5,258,318,60,99,1092397.965395029,1926366.0277891988,930093.2159116558,162304.7494833731,1629538.4288537754,296827.5989354232,37312525.22606839,31135094.387180526,318,0,0,False,False
0.01,0.01,0.0,0.0,cap,proportional,New,0,258,311,53,159,389791.18867795635,653915.3330839055,757048.3189984219,-367257.13032046566,1320506.9627988013,-666591.6297148954,25144350.0,19693405.978766385,0,311,0,False,False
0.01,0.01,0.0,0.01,cap,proportional,General,5,258,318,60,99,1092397.965395029,1926366.0277891988,930093.2159116558,162304.7494833731,1629538.4288537754,296827.5989354232,37312525.22606839,31135094.387180526,318,0,0,False,False
0.01,0.01,0.0,0.01,cap,proportional,New,0,258,311,53,159,389791.18867795635,653915.3330839055,757048.3189984219,-367257.13032046566,1320506.9627988013,-666591.6297148954,25144350.0,19693405.978766385,0,311,0,False,False
0.01,0.01,0.01,-0.01,cap,proportional,General,5,268,318,50,142,984541.4340625755,1743264.4939916136,766312.4214285277,218229.0126340479,1342591.8153824976,400672.6786091161,37312525.22606839,30338401.952009477,318,0,0,False,False
0.01,0.01,0.01,-0.01,cap,proportional,New,3,268,314,46,126,375106.33630394295,633331.6303318328,653260.2741808416,-278153.9378768987,1139471.1789558218,-506139.5486239891,25386900.0,21050815.991113987,0,314,0,False,False
0.01,0.01,0.01,0.0,cap,proportional,General,5,268,318,50,142,984541.4340625755,1743264.4939916136,766312.4214285277,218229.0126340479,1342591.8153824976,400672.6786091161,37312525.22606839,30338401.952009477,318,0,0,False,False
0.01,0.01,0.01,0.0,cap,proportional,New,3,268,314,46,126,375106.33630394295,633331.6303318328,653260.2741808416,-278153.9378768987,1139471.1789558218,-506139.5486239891,25386900.0,21050815.991113987,0,314,0,False,False
0.01,0.01,0.01,0.01,cap,proportional,General,5,268,318,50,142,984541.4340625755,1743264.4939916136,766312.4214285277,218229.0126340479,1342591.8153824976,400672.6786091161,37312525.22606839,30338401.952009477,318,0,0,False,False
0.01,0.01,0.01,0.01,cap,proportional,New,3,268,314,46,126,375106.33630394295,633331.6303318328,653260.2741808416,-278153.9378768987,1139471.1789558218,-506139.5486239891,25386900.0,21050815.991113987,0,314,0,False,False
0.01,-0.01,-0.01,-0.01,cap,3.2,General,0,294,333,39,0,546492.1534493484,957463.1336708448,546492.1534493485,0.0,957463.1336708447,0.0,39072550.00088294,35521931.3116495,333,0,0,False,False
0.01,-0.01,-0.01,-0.01,cap,3.2,New,2,294,328,34,294,-75417.93243616686,-174851.6838319488,443033.38851841044,-518451.3209545773,772775.8712480899,-947627.5550800386,26518800.0,14459981.930588605,0,328,0,True,True
0.01,-0.01,-0.01,0.0,cap,3.2,General,0,294,333,39,0,546492.1534493484,957463.1336708448,546492.1534493485,0.0,957463.1336708447,0.0,39072550.00088294,35521931.3116495,333,0,0,False,False
0.01,-0.01,-0.01,0.0,cap,3.2,New,2,294,328,34,294,-75417.93243616686,-174851.6838319488,443033.38851841044,-518451.3209545773,772775.8712480899,-947627.5550800386,26518800.0,14459981.930588605,0,328,0,True,True
0.01,-0.01,-0.01,0.01,cap,3.2,General,0,294,333,39,0,546492.1534493484,957463.1336708448,546492.1534493485,0.0,957463.1336708447,0.0,39072550.00088294,35521931.3116495,333,0,0,False,False
0.01,-0.01,-0.01,0.01,cap,3.2,New,2,294,328,34,294,-75417.93243616686,-174851.6838319488,443033.38851841044,-518451.3209545773,772775.8712480899,-947627.5550800386,26518800.0,14459981.930588605,0,328,0,True,True
0.01,-0.01,0.0,-0.01,cap,3.2,General,0,294,333,39,0,546492.1534493484,957463.1336708448,546492.1534493485,0.0,957463.1336708447,0.0,39072550.00088294,35521931.3116495,333,0,0,False,False
0.01,-0.01,0.0,-0.01,cap,3.2,New,0,294,330,36,294,4927.061647687631,-34707.22878035589,472051.5082187059,-467124.4465710183,823391.701374052,-858098.9301544077,26680500.0,16697855.70124528,0,330,0,False,True
0.01,-0.01,0.0,0.0,cap,3.2,General,0,294,333,39,0,546492.1534493484,957463.1336708448,546492.1534493485,0.0,957463.1336708447,0.0,39072550.00088294,35521931.3116495,333,0,0,False,False
0.01,-0.01,0.0,0.0,cap,3.2,New,0,294,330,36,294,4927.061647687631,-34707.22878035589,472051.5082187059,-467124.4465710183,823391.701374052,-858098.9301544077,26680500.0,16697855.70124528,0,330,0,False,True
0.01,-0.01,0.0,0.01,cap,3.2,General,0,294,333,39,0,546492.1534493484,957463.1336708448,546492.1534493485,0.0,957463.1336708447,0.0,39072550.00088294,35521931.3116495,333,0,0,False,False
0.01,-0.01,0.0,0.01,cap,3.2,New,0,294,330,36,294,4927.061647687631,-34707.22878035589,472051.5082187059,-467124.4465710183,823391.701374052,-858098.9301544077,26680500.0,16697855.70124528,0,330,0,False,True
0.01,-0.01,0.01,-0.01,cap,3.2,General,0,295,333,38,43,570915.1774492603,1005271.223872295,531481.6899952549,39433.4874540054,931164.5577701752,74106.66610211972,39072550.00088294,35431037.96743861,333,0,0,False,False
0.01,-0.01,0.01,-0.01,cap,3.2,New,0,295,330,35,252,85397.47511334566,110863.40336046583,462611.10533703846,-377213.63022369274,806924.9615055049,-696061.5581450391,26680500.0,18848857.935664233,0,330,0,False,False
0.01,-0.01,0.01,0.0,cap,3.2,General,0,295,333,38,43,570915.1774492603,1005271.223872295,531481.6899952549,39433.4874540054,931164.5577701752,74106.66610211972,39072550.00088294,35431037.96743861,333,0,0,False,False
0.01,-0.01,0.01,0.0,cap,3.2,New,0,295,330,35,252,85397.47511334566,110863.40336046583,462611.10533703846,-377213.63022369274,806924.9615055049,-696061.5581450391,26680500.0,18848857.935664233,0,330,0,False,False
0.01,-0.01,0.01,0.01,cap,3.2,General,0,295,333,38,43,570915.1774492603,1005271.223872295,531481.6899952549,39433.4874540054,931164.5577701752,74106.66610211972,39072550.00088294,35431037.96743861,333,0,0,False,False
0.01,-0.01,0.01,0.01,cap,3.2,New,0,295,330,35,252,85397.47511334566,110863.40336046583,462611.10533703846,-377213.63022369274,806924.9615055049,-696061.5581450391,26680500.0,18848857.935664233,0,330,0,False,False
0.01,0.0,-0.01,-0.01,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,-0.01,-0.01,cap,3.2,New,3,298,328,30,297,-189735.24661172632,-374973.6971794112,388135.4001017623,-577870.6467134886,677018.2107017452,-1051991.9078811563,26437950.0,12186768.299000956,1,327,0,True,True
0.01,0.0,-0.01,0.0,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,-0.01,0.0,cap,3.2,New,3,298,328,30,297,-189735.24661172632,-374973.6971794112,388135.4001017623,-577870.6467134886,677018.2107017452,-1051991.9078811563,26437950.0,12186768.299000956,1,327,0,True,True
0.01,0.0,-0.01,0.01,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,-0.01,0.01,cap,3.2,New,3,298,328,30,297,-189735.24661172632,-374973.6971794112,388135.4001017623,-577870.6467134886,677018.2107017452,-1051991.9078811563,26437950.0,12186768.299000956,1,327,0,True,True
0.01,0.0,0.0,-0.01,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,0.0,-0.01,cap,3.2,New,0,298,330,32,298,-112307.37482980278,-240103.8666193242,416598.9946665361,-528906.369496339,726666.7917312796,-966770.6583506037,26680500.0,14423832.82759363,0,330,0,True,True
0.01,0.0,0.0,0.0,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,0.0,0.0,cap,3.2,New,0,298,330,32,298,-112307.37482980278,-240103.8666193242,416598.9946665361,-528906.369496339,726666.7917312796,-966770.6583506037,26680500.0,14423832.82759363,0,330,0,True,True
0.01,0.0,0.0,0.01,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,0.0,0.01,cap,3.2,New,0,298,330,32,298,-112307.37482980278,-240103.8666193242,416598.9946665361,-528906.369496339,726666.7917312796,-966770.6583506037,26680500.0,14423832.82759363,0,330,0,True,True
0.01,0.0,0.01,-0.01,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,0.01,-0.01,cap,3.2,New,0,298,330,32,298,-56259.985364056745,-142341.32467995264,420764.9846132015,-477024.9699772583,733933.4596485924,-876274.784328545,26680500.0,16665728.406223476,0,330,0,True,True
0.01,0.0,0.01,0.0,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,0.01,0.0,cap,3.2,New,0,298,330,32,298,-56259.985364056745,-142341.32467995264,420764.9846132015,-477024.9699772583,733933.4596485924,-876274.784328545,26680500.0,16665728.406223476,0,330,0,True,True
0.01,0.0,0.01,0.01,cap,3.2,General,0,298,333,35,0,491341.5961473757,860838.4610479203,491341.59614737565,0.0,860838.4610479204,0.0,39072550.00088294,35731263.60501856,333,0,0,False,False
0.01,0.0,0.01,0.01,cap,3.2,New,0,298,330,32,298,-56259.985364056745,-142341.32467995264,420764.9846132015,-477024.9699772583,733933.4596485924,-876274.784328545,26680500.0,16665728.406223476,0,330,0,True,True
0.01,0.01,-0.01,-0.01,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,-0.01,-0.01,cap,3.2,New,7,299,328,29,294,-249792.65685702462,-479545.9425425959,374601.1703294611,-624393.8271864858,653410.6757506243,-1132956.6182932202,26114550.0,9924807.935498048,5,323,0,True,True
0.01,0.01,-0.01,0.0,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,-0.01,0.0,cap,3.2,New,7,299,328,29,294,-249792.65685702462,-479545.9425425959,374601.1703294611,-624393.8271864858,653410.6757506243,-1132956.6182932202,26114550.0,9924807.935498048,5,323,0,True,True
0.01,0.01,-0.01,0.01,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,-0.01,0.01,cap,3.2,New,7,299,328,29,294,-249792.65685702462,-479545.9425425959,374601.1703294611,-624393.8271864858,653410.6757506243,-1132956.6182932202,26114550.0,9924807.935498048,5,323,0,True,True
0.01,0.01,0.0,-0.01,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,0.0,-0.01,cap,3.2,New,1,299,330,31,298,-181650.7217446696,-361429.1041404699,402928.0555025955,-584578.777247265,702820.7968311574,-1064249.9009716273,26599650.0,12138061.947347712,1,329,0,True,True
0.01,0.01,0.0,0.0,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,0.0,0.0,cap,3.2,New,1,299,330,31,298,-181650.7217446696,-361429.1041404699,402928.0555025955,-584578.777247265,702820.7968311574,-1064249.9009716273,26599650.0,12138061.947347712,1,329,0,True,True
0.01,0.01,0.0,0.01,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,0.0,0.01,cap,3.2,New,1,299,330,31,298,-181650.7217446696,-361429.1041404699,402928.0555025955,-584578.777247265,702820.7968311574,-1064249.9009716273,26599650.0,12138061.947347712,1,329,0,True,True
0.01,0.01,0.01,-0.01,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,0.01,-0.01,cap,3.2,New,0,299,330,31,299,-128547.48639491788,-268990.20120157616,406957.3360576214,-535504.8224525392,709849.0047994688,-978839.206001045,26680500.0,14378067.011351025,0,330,0,True,True
0.01,0.01,0.01,0.0,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,0.01,0.0,cap,3.2,New,0,299,330,31,299,-128547.48639491788,-268990.20120157616,406957.3360576214,-535504.8224525392,709849.0047994688,-978839.206001045,26680500.0,14378067.011351025,0,330,0,True,True
0.01,0.01,0.01,0.01,cap,3.2,General,1,299,334,35,0,493561.2923617783,864727.4048869577,493561.29236177827,0.0,864727.4048869578,0.0,39189884.98587058,35931799.0583448,334,0,0,False,False
0.01,0.01,0.01,0.01,cap,3.2,New,0,299,330,31,299,-128547.48639491788,-268990.20120157616,406957.3360576214,-535504.8224525392,709849.0047994688,-978839.206001045,26680500.0,14378067.011351025,0,330,0,True,True
0.01,-0.01,-0.01,-0.01,area,proportional,General,6,337,337,0,144,599458.7899121544,921234.2109530254,0.0,599458.7899121543,0.0,921234.2109530254,72901860.57200469,65328423.96762444,76,0,261,False,False
0.01,-0.01,-0.01,-0.01,area,proportional,New,0,337,337,0,220,859407.9590436383,1321301.967134553,0.0,859407.9590436383,0.0,1321301.967134553,77664768.78220902,63185076.39109489,0,0,337,False,False
0.01,-0.01,-0.01,0.0,area,proportional,General,28,337,337,0,117,489371.6915572038,758816.6941447812,0.0,489371.6915572039,0.0,758816.6941447812,75032635.29762243,68311757.10433218,42,0,295,False,False
0.01,-0.01,-0.01,0.0,area,proportional,New,0,337,337,0,159,634215.3862100716,983459.0655659565,0.0,634215.3862100716,0.0,983459.0655659565,77664768.78220902,67222281.53845598,0,0,337,False,False
0.01,-0.01,-0.01,0.01,area,proportional,General,44,337,337,0,84,354768.5113792161,554118.6688593318,0.0,354768.5113792161,0.0,554118.6688593318,76035352.81556018,70428572.7735422,26,0,311,False,False
0.01,-0.01,-0.01,0.01,area,proportional,New,0,337,337,0,110,447072.4175142032,698263.0341836067,0.0,447072.4175142032,0.0,698263.0341836067,77664768.78220902,69965236.4645615,0,0,337,False,False
0.01,-0.01,0.0,-0.01,area,proportional,General,6,337,337,0,144,599458.7899121544,921234.2109530254,0.0,599458.7899121543,0.0,921234.2109530254,72901860.57200469,65328423.96762444,76,0,261,False,False
0.01,-0.01,0.0,-0.01,area,proportional,New,0,337,337,0,220,859407.9590436383,1321301.967134553,0.0,859407.9590436383,0.0,1321301.967134553,77664768.78220902,63185076.39109489,0,0,337,False,False
0.01,-0.01,0.0,0.0,area,proportional,General,28,337,337,0,117,489371.6915572038,758816.6941447812,0.0,489371.6915572039,0.0,758816.6941447812,75032635.29762243,68311757.10433218,42,0,295,False,False
0.01,-0.01,0.0,0.0,area,proportional,New,0,337,337,0,159,634215.3862100716,983459.0655659565,0.0,634215.3862100716,0.0,983459.0655659565,77664768.78220902,67222281.53845598,0,0,337,False,False
0.01,-0.01,0.0,0.01,area,proportional,General,44,337,337,0,84,354768.5113792161,554118.6688593318,0.0,354768.5113792161,0.0,554118.6688593318,76035352.81556018,70428572.7735422,26,0,311,False,False
0.01,-0.01,0.0,0.01,area,proportional,New,0,337,337,0,110,447072.4175142032,698263.0341836067,0.0,447072.4175142032,0.0,698263.0341836067,77664768.78220902,69965236.4645615,0,0,337,False,False
0.01,-0.01,0.01,-0.01,area,proportional,General,6,337,337,0,144,599458.7899121544,921234.2109530254,0.0,599458.7899121543,0.0,921234.2109530254,72901860.57200469,65328423.96762444,76,0,261,False,False
0.01,-0.01,0.01,-0.01,area,proportional,New,1,337,337,0,220,853843.5941802908,1312020.3899503534,0.0,853843.5941802908,0.0,1312020.3899503534,77535674.65323733,63192591.98894461,0,1,336,False,False
0.01,-0.01,0.01,0.0,area,proportional,General,28,337,337,0,117,489371.6915572038,758816.6941447812,0.0,489371.6915572039,0.0,758816.6941447812,75032635.29762243,68311757.10433218,42,0,295,False,False
0.01,-0.01,0.01,0.0,area,proportional,New,0,337,337,0,159,634215.3862100716,983459.0655659565,0.0,634215.3862100716,0.0,983459.0655659565,77664768.78220902,67222281.53845598,0,0,337,False,False
0.01,-0.01,0.01,0.01,area,proportional,General,44,337,337,0,84,354768.5113792161,554118.6688593318,0.0,354768.5113792161,0.0,554118.6688593318,76035352.81556018,70428572.7735422,26,0,311,False,False
0.01,-0.01,0.01,0.01,area,proportional,New,0,337,337,0,110,447072.4175142032,698263.0341836067,0.0,447072.4175142032,0.0,698263.0341836067,77664768.78220902,69965236.4645615,0,0,337,False,False
