amplitude,delta_si,delta_sj,delta_t,context,om,policy,choice_changes,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.01,-0.01,-0.01,-0.01,cap,proportional,General,4,253,309,56,134,1075113.0470561967,1900851.1922737737,867231.9234921929,207881.1235640039,1519404.423000905,381446.7692728684,36256510.361179665,29499219.529664405,309,0,0,False,False
0.01,-0.01,-0.01,-0.01,cap,proportional,New,4,253,307,54,119,512756.7225622529,874939.2751561265,772281.0259214949,-259524.3033592422,1347077.1235790316,-472137.8484229054,24820950.0,20678553.984548803,0,307,0,False,False
0.01,-0.01,-0.01,0.0,cap,proportional,General,4,253,309,56,134,1075113.0470561967,1900851.1922737737,867231.9234921929,207881.1235640039,1519404.423000905,381446.7692728684,36256510.361179665,29499219.529664405,309,0,0,False,False
0.01,-0.01,-0.01,0.0,cap,proportional,New,4,253,307,54,119,512756.7225622529,874939.2751561265,772281.0259214949,-259524.3033592422,1347077.1235790316,-472137.8484229054,24820950.0,20678553.984548803,0,307,0,False,False
0.01,-0.01,-0.01,0.01,cap,proportional,General,4,253,309,56,134,1075113.0470561967,1900851.1922737737,867231.9234921929,207881.1235640039,1519404.423000905,381446.7692728684,36256510.361179665,29499219.529664405,309,0,0,False,False
0.01,-0.01,-0.01,0.01,cap,proportional,New,4,253,307,54,119,512756.7225622529,874939.2751561265,772281.0259214949,-259524.3033592422,1347077.1235790316,-472137.8484229054,24820950.0,20678553.984548803,0,307,0,False,False
0.01,-0.01,0.0,-0.01,cap,proportional,General,18,258,311,53,168,1041824.671211099,1845769.7862138913,798247.6567131546,243577.0144979445,1396834.1127400172,448935.67347387405,35907420.57135275,28504900.822933957,295,16,0,False,False
0.01,-0.01,0.0,-0.01,cap,proportional,New,0,258,311,53,90,572761.8299174544,984200.6154284696,757048.3189984219,-184286.48908096756,1320506.9627988013,-336306.34737033135,25144350.0,21795454.809025414,0,311,0,False,False
0.01,-0.01,0.0,0.0,cap,proportional,General,18,258,311,53,168,1041824.671211099,1845769.7862138913,798247.6567131546,243577.0144979445,1396834.1127400172,448935.67347387405,35907420.57135275,28504900.822933957,295,16,0,False,False
0.01,-0.01,0.0,0.0,cap,proportional,New,0,258,311,53,90,572761.8299174544,984200.6154284696,757048.3189984219,-184286.48908096756,1320506.9627988013,-336306.34737033135,25144350.0,21795454.809025414,0,311,0,False,False
