sj_degradation,relative_sj_yield_change,replacement_rule,before_viable,after_viable,new_projects,switches,discounted_mwh,undiscounted_mwh,entry_discounted_mwh,switch_discounted_mwh,entry_undiscounted_mwh,switch_undiscounted_mwh,public_usd,private_npv_gain_usd,after_si,after_sj,after_t,counterexample_discounted,counterexample_physical
0.005,-0.09,half,323,336,13,26,81163.35596049437,150050.50464025425,153389.69798046062,-72226.34201996625,270538.3636637825,-120487.85902352826,27165600.0,25414598.474109735,0,336,0,False,False
0.005,-0.09,salvage,330,337,7,0,78446.26143555596,138358.20451918503,78446.26143555598,0.0,138358.20451918503,0.0,27246450.0,25798394.94600695,0,337,0,False,False
0.005,-0.09,stop_option,332,337,5,8,13987.221770559041,1485.179659932499,50720.46230280543,-36733.24053224638,83164.09782380666,-81678.91816387416,27246450.0,25793727.611780975,0,337,0,False,False
0.005,-0.0875,full,298,328,30,295,-214593.61691164813,-312344.18215358333,385966.5364214405,-600560.1533330886,680741.6441079077,-993085.8262614915,26276250.0,10960682.186977595,3,325,0,True,True
0.005,-0.0875,half,323,337,14,18,114582.91885998516,206950.19393974676,164351.94849130616,-49769.02963132101,289872.83888815116,-82922.64494840444,27246450.0,25480394.48555376,0,337,0,False,False
0.005,-0.0875,salvage,330,337,7,0,78661.7731427965,138738.30947665533,78661.7731427965,0.0,138738.30947665533,0.0,27246450.0,25807015.41429657,0,337,0,False,False
0.005,-0.0875,stop_option,333,337,4,7,8257.527918610496,-5227.366177221997,40184.9609201653,-31927.433001554804,65889.50236807337,-71116.86854529538,27246450.0,25813850.508254476,0,337,0,False,True
0.005,-0.085,full,298,328,30,296,-202582.72598556412,-290887.7301091417,387023.9789869787,-589606.7049725428,682606.6897082035,-973494.4198173453,26357100.0,11556993.474034203,2,326,0,True,True
0.005,-0.085,half,324,337,13,11,121917.94133379601,218041.88268748147,152339.25278953754,-30421.311455741517,268685.65955905814,-50643.77687157669,27246450.0,25527179.335812625,0,337,0,False,False
0.005,-0.085,salvage,330,337,7,0,78877.28485003705,139118.41443412565,78877.28485003705,0.0,139118.41443412562,0.0,27246450.0,25815635.882586192,0,337,0,False,False
0.005,-0.085,stop_option,333,337,4,5,17548.54529095678,15305.638298668367,40295.05670350822,-22746.51141255144,66070.02155264345,-50764.38325397509,27246450.0,25830963.207337774,0,337,0,False,False
0.005,-0.0825,full,298,328,30,297,-190500.58648343122,-269293.20657667465,388081.42155251687,-578582.008035948,684471.7353084993,-953764.9418851738,26437950.0,12156154.70413276,1,327,0,True,True
0.005,-0.0825,half,324,337,13,6,136117.58584669288,241733.1345263874,152755.4802561756,-16637.894409482724,269419.77338299,-27686.638856602563,27246450.0,25563630.93191877,0,337,0,False,False
