amplitude,context,om,policy,adcode,baseline_choice,choice_certified,viability_certified,nonviability_certified
0.01,cap,proportional,None,210800,0,False,True,False
0.01,cap,proportional,None,210900,0,False,True,False
0.01,cap,proportional,None,211000,0,False,True,False
0.01,cap,proportional,None,211100,0,False,True,False
0.01,cap,proportional,None,211200,0,False,True,False
0.01,cap,proportional,None,211300,0,False,True,False
0.01,cap,proportional,None,211400,0,False,True,False
0.01,cap,proportional,None,220100,0,True,True,False
0.01,cap,proportional,None,220200,0,False,True,False
0.01,cap,proportional,None,220300,0,False,True,False
0.01,cap,proportional,None,220400,0,False,True,False
0.01,cap,proportional,None,220500,0,False,True,False
0.01,cap,proportional,None,220600,0,False,True,False
0.01,cap,proportional,None,220700,0,True,True,False
0.01,cap,proportional,None,220800,0,True,True,False
0.01,cap,proportional,None,222400,0,False,True,False
0.01,cap,proportional,None,230100,0,False,True,False
0.01,cap,proportional,None,230200,0,True,True,False
0.01,cap,proportional,None,230300,0,False,True,False
0.01,cap,proportional,None,230400,0,False,True,False
0.01,cap,proportional,None,230500,0,False,True,False
0.01,cap,proportional,None,230600,0,True,True,False
0.01,cap,proportional,None,230700,0,False,True,False
0.01,cap,proportional,None,230800,0,False,True,False
0.01,cap,proportional,None,230900,0,False,True,False
0.01,cap,proportional,None,231000,0,False,True,False
0.01,cap,proportional,None,231100,0,False,True,False
0.01,cap,proportional,None,231200,0,True,True,False
0.01,cap,proportional,None,232700,0,True,True,False
0.01,cap,proportional,None,310000,1,False,True,False
0.01,cap,proportional,None,320100,1,False,True,False
0.01,cap,proportional,None,320200,1,False,True,False
0.01,cap,proportional,None,320300,1,False,True,False
0.01,cap,proportional,None,320400,1,False,True,False
0.01,cap,proportional,None,320500,1,False,True,False
0.01,cap,proportional,None,320600,1,False,True,False
0.01,cap,proportional,None,320700,1,False,True,False
0.01,cap,proportional,None,320800,1,False,True,False
0.01,cap,proportional,None,320900,1,False,True,False
0.01,cap,proportional,None,321000,1,False,True,False
0.01,cap,proportional,None,321100,1,False,True,False
0.01,cap,proportional,None,321200,1,False,True,False
0.01,cap,proportional,None,321300,1,False,True,False
0.01,cap,proportional,None,330100,-1,True,False,True
0.01,cap,proportional,None,330200,1,False,False,False
0.01,cap,proportional,None,330300,1,True,True,False
