province,band,ghi,adv,scenario
河南,III,1573.1471500000002,4.976011185991358,S2 Both bifacial
湖南,IV,1378.8663999999999,6.810821360538277,S2 Both bifacial
广西,III,1417.4268499999998,7.276666524310005,S2 Both bifacial
重庆,IV,1123.5500499999998,7.532115168580922,S2 Both bifacial
贵州,IV,1193.90675,4.815758233601475,S2 Both bifacial
陕西,III,1581.39175,5.924887575877036,S2 Both bifacial
青海,II,1754.8420700000001,2.0549805707143154,S2 Both bifacial
北京,III,1578.1503,7.247763411592234,S3 Roof-mount (hot)
黑龙江,III,1424.2582999999997,3.0198396432704833,S3 Roof-mount (hot)
湖北,IV,1503.7993,9.16343080155797,S3 Roof-mount (hot)
上海,III,1497.36519,7.4736827839439135,S3 Roof-mount (hot)
广东,III,1501.0451,10.167023297288713,S3 Roof-mount (hot)
海南,III,1728.62315,10.231143487149863,S3 Roof-mount (hot)
四川,IV,1292.36204,9.843745546918537,S3 Roof-mount (hot)
云南,II,1628.3760499999999,6.937798935124939,S3 Roof-mount (hot)
西藏,I,2132.1637800000003,4.266057958905112,S3 Roof-mount (hot)
宁夏,II,1779.0692,6.60765635536793,S3 Roof-mount (hot)
新疆,II,1657.52409,5.558036838051983,S3 Roof-mount (hot)
甘肃,I,1935.1824,5.446303864242896,S3 Roof-mount (hot)
天津,III,1603.6684499999997,6.453018928772436,S3 Roof-mount (hot)
河北,III,1644.4605,8.019030424192763,S3 Roof-mount (hot)
山西,II,1564.364,6.366966111665873,S3 Roof-mount (hot)
内蒙古,II,1685.8092,5.118968795371792,S3 Roof-mount (hot)
辽宁,III,1523.0938399999998,4.983660614405916,S3 Roof-mount (hot)
吉林,III,1525.0411,3.385147444933012,S3 Roof-mount (hot)
江苏,III,1456.4179,7.787343564501548,S3 Roof-mount (hot)
浙江,III,1277.5606,8.39804140117164,S3 Roof-mount (hot)
安徽,III,1460.7881499999999,8.25225635571536,S3 Roof-mount (hot)
福建,III,1402.05355,9.081097881670752,S3 Roof-mount (hot)
江西,III,1490.6787,9.56340500698487,S3 Roof-mount (hot)
山东,III,1578.29725,7.147805314058364,S3 Roof-mount (hot)
河南,III,1573.1471500000002,8.232604259095911,S3 Roof-mount (hot)
湖南,IV,1378.8663999999999,9.742108585860487,S3 Roof-mount (hot)
广西,III,1417.4268499999998,10.226156175620194,S3 Roof-mount (hot)
重庆,IV,1123.5500499999998,10.097360793037979,S3 Roof-mount (hot)
贵州,IV,1193.90675,7.176793481210475,S3 Roof-mount (hot)
陕西,III,1581.39175,9.556225212021175,S3 Roof-mount (hot)
青海,II,1754.8420700000001,5.459179114462809,S3 Roof-mount (hot)
北京,III,1578.1503,3.7910316702240765,S4 Open-rack (cool)
黑龙江,III,1424.2582999999997,0.6976846866099562,S4 Open-rack (cool)
湖北,IV,1503.7993,5.663928188634881,S4 Open-rack (cool)
上海,III,1497.36519,4.383657123411111,S4 Open-rack (cool)
广东,III,1501.0451,6.798124342803646,S4 Open-rack (cool)
海南,III,1728.62315,6.886239551603968,S4 Open-rack (cool)
四川,IV,1292.36204,6.386077921345978,S4 Open-rack (cool)
云南,II,1628.3760499999999,3.973981642254243,S4 Open-rack (cool)
西藏,I,2132.1637800000003,1.2883987148385234,S4 Open-rack (cool)
宁夏,II,1779.0692,3.0964920062744428,S4 Open-rack (cool)
新疆,II,1657.52409,2.2237223747921364,S4 Open-rack (cool)
甘肃,I,1935.1824,2.3019592820270773,S4 Open-rack (cool)
天津,III,1603.6684499999997,3.287987215176935,S4 Open-rack (cool)
河北,III,1644.4605,4.324521597976072,S4 Open-rack (cool)
山西,II,1564.364,3.0676473914777125,S4 Open-rack (cool)
内蒙古,II,1685.8092,2.0614210441811665,S4 Open-rack (cool)
辽宁,III,1523.0938399999998,2.1032517861827804,S4 Open-rack (cool)
吉林,III,1525.0411,0.9750237893855651,S4 Open-rack (cool)
江苏,III,1456.4179,4.394915825289991,S4 Open-rack (cool)
浙江,III,1277.5606,5.165074229515065,S4 Open-rack (cool)
安徽,III,1460.7881499999999,4.829059521032475,S4 Open-rack (cool)
福建,III,1402.05355,5.8509824529445975,S4 Open-rack (cool)
江西,III,1490.6787,5.912025802782628,S4 Open-rack (cool)
山东,III,1578.29725,3.777272950238153,S4 Open-rack (cool)
河南,III,1573.1471500000002,4.701271649273231,S4 Open-rack (cool)
湖南,IV,1378.8663999999999,6.3271216153489185,S4 Open-rack (cool)
广西,III,1417.4268499999998,6.927319205192983,S4 Open-rack (cool)
重庆,IV,1123.5500499999998,7.018480844697406,S4 Open-rack (cool)
贵州,IV,1193.90675,4.523820771109599,S4 Open-rack (cool)
陕西,III,1581.39175,5.681858901861037,S4 Open-rack (cool)
青海,II,1754.8420700000001,2.1729239923455212,S4 Open-rack (cool)
