city,key,tech,year,capex_usd_per_w,lcoe_utility_cents_per_kwh,yield_kwh_per_kwp_year0,yield_kwh_per_m2_year0,tcell_weighted
拉萨,lhasa,晶硅,2025,0.65,3.0388505152637304,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2026,0.6367362025441039,2.976840211058801,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2027,0.6247821872362409,2.920953340939155,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2028,0.6139358088472556,2.870244844698981,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2029,0.6040370336951427,2.8239665401274756,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2030,0.594957190219969,2.7815168677843287,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2031,0.5865914131290194,2.7424055662098463,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2032,0.5788532128972661,2.7062282834998808,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2033,0.571670495649663,2.672647969640077,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2034,0.5649825949681266,2.641380999744509,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2035,0.5587380237506496,2.6121866636493842,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2036,0.5528927475457875,2.5848590934847624,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2037,0.5474088415917071,2.5592209851244316,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2038,0.5422534342740465,2.5351186586880203,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2039,0.5373978671968571,2.512418131742767,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2040,0.5328170210429873,2.491001967596566,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2041,0.528488769723567,2.470766723362394,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2042,0.5243935348056404,2.451620866838599,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2043,0.5205139190573483,2.4334830632759483,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2044,0.5168344029571653,2.4162807565113913,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2045,0.513341091715887,2.3999489862567214,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2046,0.5100215031268049,2.3844293962653436,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2047,0.5068643886478711,2.3696693978637207,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2048,0.5038595817106535,2.355621460772287,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2049,0.5009978684735756,2.342242508856855,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,晶硅,2050,0.49827087718424456,2.3294934028803884,2003.440934871538,307.5215906559297,28.54348134174263
拉萨,lhasa,钙钛矿,2025,0.95,6.870494682158444,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2026,0.836,5.7060378284659174,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2027,0.73568,4.743878258633303,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2028,0.6473984,3.8620573016682544,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2029,0.5697105920000001,3.2177019813101184,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2030,0.5013453209600001,2.633114350486115,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2031,0.44118388244480006,2.193860093842796,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2032,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2033,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2034,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2035,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2036,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2037,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2038,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2039,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2040,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2041,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2042,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2043,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2044,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2045,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2046,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2047,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2048,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2049,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,钙钛矿,2050,0.4,1.8530723603280779,2042.6524443007595,393.99404694826046,28.54348134174263
拉萨,lhasa,叠层,2025,1.13,5.588697426567714,2023.8458284998487,572.9901062410748,28.54348134174263
拉萨,lhasa,叠层,2026,1.13,5.588697426567714,2023.8458284998487,572.9901062410748,28.54348134174263
拉萨,lhasa,叠层,2027,1.13,5.588697426567714,2023.8458284998487,572.9901062410748,28.54348134174263
拉萨,lhasa,叠层,2028,1.13,5.588697426567714,2023.8458284998487,572.9901062410748,28.54348134174263
拉萨,lhasa,叠层,2029,1.13,5.588697426567714,2023.8458284998487,572.9901062410748,28.54348134174263
拉萨,lhasa,叠层,2030,1.13,5.588697426567714,2023.8458284998487,572.9901062410748,28.54348134174263
