stress_case,beta,min_perovskite_vs_csi_pct,max_perovskite_vs_csi_pct,slope_pct_per_airmass,corr_with_airmass,keeps_clear_sky_direction
strong blue tilt,-0.3,3.929588728505018,7.800704240390699,-1.3983445088903321,-0.9999539730902551,True
moderate blue tilt,-0.15,1.3131476779557616,5.174496966483555,-1.3955396127475783,-0.9999594327673168,True
clear-sky base,0.0,-1.3223669605468835,2.5189278343974664,-1.389025573870597,-0.9999556455007783,True
moderate red tilt,0.15,-3.9709591871258443,-0.15967252839925727,-1.3789170316332184,-0.999942206512588,True
strong red tilt,0.3,-6.626665773665397,-2.8549167768651906,-1.3653610902321922,-0.9999187111009842,True
