province_en,resource_band,full_8760h_adv_pct,reduced_era5_adv_pct,error_pct_points,abs_error_pct_points
Gansu,I,1.8355345015540256,4.36760180534701,2.532067303792984,2.532067303792984
Sichuan,IV,4.728242484889544,3.2471194240633494,-1.481123060826195,1.481123060826195
Chongqing,IV,5.150704143700757,3.671352045467247,-1.4793520982335109,1.4793520982335109
Guangxi,III,5.033832897794177,3.589704242575298,-1.4441286552188792,1.4441286552188792
Hainan,III,4.992580404086366,3.565415292028584,-1.4271651120577822,1.4271651120577822
Guizhou,IV,3.633612152372967,2.22848958158266,-1.405122570790307,1.405122570790307
Guangdong,III,4.9450660129423785,3.765949867919405,-1.1791161450229737,1.1791161450229737
Xinjiang,II,1.9388542702262868,2.980916353866392,1.042062083640105,1.042062083640105
