year,mono_share_observed_pct,mono_share_model_pct,residual_pct_points,multi_lcoe_cents_kwh,mono_lcoe_cents_kwh
2015,24.0,1.901217237194892,-22.098782762805108,7.23151244695443,7.82303454087989
2016,28.000000000000004,7.643076913777108,-20.356923086222896,6.567195781785949,6.940974843296455
2017,35.0,27.873897731954795,-7.126102268045203,5.750612200105012,5.893220998361088
2018,46.0,51.46499782944319,5.464997829443191,5.084360799144963,5.0755682955073445
2019,62.0,66.79078588777621,4.790785887776217,4.691239685715247,4.586429021070399
2020,84.0,77.12613870556889,-6.873861294431105,4.503583805860453,4.3212666934472175
2021,92.0,85.65019068452492,-6.349809315475086,4.7391594606767,4.471179241112743
2022,96.0,87.50887812268398,-8.49112187731601,4.782180975131004,4.490172658581651
2023,98.0,87.86666400806696,-10.133335991933034,4.220401746057171,3.923422179265204
