"province","band","lat","lon","full","thermal","spectral","iam","tcell","airmass"
"grid_23_80","pvgis_bbox_sample","23","80","5.622002470811527","3.903137807468471","1.5785236040408934","0.1403410593021625","46.55826936009123","1.670389897986407"
"grid_23_84","pvgis_bbox_sample","23","84","5.236007471320558","3.59273237339659","1.5178531405410922","0.1254219573828763","45.35265542433814","1.6597381224229444"
"grid_23_87","pvgis_bbox_sample","23","87","5.897116988549533","4.109217491364658","1.6705593453751222","0.1173401518097527","45.892847984102126","1.6507557795659742"
"grid_23_90","pvgis_bbox_sample","23","90","5.569692765762713","3.8164233183971774","1.6627623817014214","0.0905070656641138","43.191628407573376","1.715181832905933"
"grid_23_94","pvgis_bbox_sample","23","94","6.735404430974801","4.816108327828372","1.794044154357155","0.1252519487892733","48.63643393557295","1.628505281441717"
"grid_23_98","pvgis_bbox_sample","23","98","5.93048245723502","4.049465953881204","1.7776385140326756","0.1033779893211406","45.30957559306909","1.542606868953589"
"grid_23_101","pvgis_bbox_sample","23","101","4.465709362236803","2.7396640526784037","1.6572210136299503","0.068824295928449","37.75137746450922","1.5931067193531672"
"grid_23_104","pvgis_bbox_sample","23","104","4.722338819093075","2.7000893821315985","1.973965292630764","0.0482841443307124","34.652573700886485","1.454958678042852"
"grid_23_108","pvgis_bbox_sample","23","108","5.158522534188026","3.291729814437949","1.7916637857514406","0.075128933998636","38.944323345715326","1.6148800552301132"
"grid_23_112","pvgis_bbox_sample","23","112","5.199925574773823","3.2935181769333965","1.83893595697584","0.067471440864586","39.49945130777659","1.5130400595403235"
"grid_23_115","pvgis_bbox_sample","23","115","5.041225260803595","3.1285609526469527","1.8481495592128416","0.0645147489438002","39.233611901419785","1.4914592618857374"
"grid_26_80","pvgis_bbox_sample","26","80","5.672450651587457","4.030086444169712","1.515603098568752","0.1267611088489939","46.55548048140419","1.7376371722260475"
"grid_26_84","pvgis_bbox_sample","26","84","5.366104085774204","3.754820181843921","1.5054877238754871","0.1057961800547957","44.68803668092047","1.7002862340750335"
"grid_26_87","pvgis_bbox_sample","26","87","5.373099490133937","3.7145365405999886","1.5634431470136212","0.095119802520327","43.482950497363646","1.7116218623769388"
"grid_26_90","pvgis_bbox_sample","26","90","5.491913240907453","3.797545937874558","1.6134644810362977","0.0809028219965979","43.03308821931984","1.7305581241623875"
"grid_26_94","pvgis_bbox_sample","26","94","5.246863208391672","3.452721350125487","1.7141213376797635","0.0800205205864212","41.17341792090394","1.6013307403232002"
"grid_26_98","pvgis_bbox_sample","26","98","5.593805619830405","3.874659058910246","1.6195780283136283","0.0995685326065309","43.70420588215814","1.7026864717512764"
"grid_26_101","pvgis_bbox_sample","26","101","3.639025882776803","2.1237531452951157","1.445589052302143","0.0696836851795446","35.87008312426623","1.6208582145978805"
