province,band,lat,full,thermal,spectral,iam,tcell,airmass
北京,III,39.9,2.9723383345920062,1.9102628048873305,0.9901625432080952,0.07191298649658062,33.44223213829122,2.072431557335143
黑龙江,III,45.75,0.9340975803346252,0.26693089992300134,0.6512913668059728,0.015875313605651087,21.447506631772608,2.277360450729775
湖北,IV,30.59,4.235685582975557,2.610925312653789,1.554707992865878,0.07005227745588982,36.48308135522833,1.6931350036500714
上海,III,31.23,3.4357394965107257,1.9161597808310393,1.4658594631657529,0.05372025251393353,32.5837204624576,1.690554696445851
广东,III,23.13,4.944376112322546,3.129679905777172,1.7553670969495672,0.05932910959580706,38.331950945967364,1.585089821695047
海南,III,20.04,4.991856818338891,3.0768529880338624,1.84805262356873,0.06695120673629873,38.498787366548335,1.5546774336852744
四川,IV,30.67,4.727553130034945,2.9926011377082062,1.6511482894548735,0.08380370287186523,37.887417156529544,1.6402799909973844
云南,II,25.04,3.257204019591531,1.6215725886655097,1.581288605140374,0.054342825785647086,31.096594577412027,1.623061651841541
西藏,I,29.65,1.5188768554769583,0.48238136073759375,0.9644114550202643,0.07208403971910027,28.54348134174263,1.7329901885479526
宁夏,II,38.49,2.4787130973702887,1.495302462160053,0.9055886705448435,0.07782196466539215,33.21632458703616,1.9538840933034125
新疆,II,43.83,1.9384260242290008,1.081530367039485,0.784911831846169,0.07198382534334691,30.286996465343343,2.0851727119566807
甘肃,I,40.14,1.835300444824517,1.0727279697813286,0.6909260193690869,0.07164645567410144,32.18432646905635,2.0085375953401017
天津,III,39.13,2.650507031223226,1.5646355997085193,1.035893073186256,0.04997835832845077,30.925858833411038,2.0130691685959063
河北,III,38.04,3.3240958616915117,2.158173519898332,1.0823428944077174,0.0835794473854623,35.49158921350771,2.0068398014333932
山西,II,37.87,2.574391887345695,1.4653060892372283,1.0513555100986505,0.05773028800981628,30.92077555270724,1.9797193796560832
内蒙古,II,40.84,1.8827774435556055,0.9440000493871725,0.8959154596550167,0.042861934513416244,27.725475322458664,2.0284908545914
辽宁,III,41.8,1.8852031194037,0.9456607903107761,0.8995341587238803,0.04000817036904358,27.21575182044947,2.055696384401337
吉林,III,43.82,1.1168772520741221,0.3620709441756631,0.7375143866771294,0.01729192122132961,22.445653512055554,2.163556592338028
江苏,III,32.05,3.4319819010937724,2.008828930204354,1.353390947230304,0.06976202365911455,33.56172996253346,1.767006234112449
浙江,III,30.27,3.946363615856696,2.376324461375834,1.5036893721924294,0.06634978228843291,34.766209310031456,1.7041917324513978
安徽,III,31.83,3.7201329117466653,2.1770252728003703,1.465257358241634,0.07785028070466105,34.29345619167716,1.729449332459398
福建,III,26.07,4.422174380384036,2.6056892407834154,1.7491691345576044,0.0673160050430166,35.4937365316487,1.5881352375409108
江西,III,28.68,4.374288775567292,2.744742436059311,1.5553759251239363,0.07417041438404492,37.65297231772648,1.6553039108113643
山东,III,36.65,3.0319468929327353,1.7705722941248059,1.192248620218317,0.06912597858961256,32.37054491887596,1.9000718609564065
河南,III,34.75,3.58695124254671,2.2213179757921697,1.2925374824051206,0.07309578434941955,35.1688591922174,1.8512593399906756
湖南,IV,28.2,4.678450749232299,2.9607967371177546,1.641666971596556,0.07598704051798855,37.53326094929651,1.6841194388683256
广西,III,22.82,5.033072686608153,3.146239912249138,1.8112061737722618,0.07562660058675341,38.24885628618289,1.5931039891577439
重庆,IV,29.55,5.149870812037172,3.251097231963973,1.8292851706854352,0.06948840938776346,37.69655381200447,1.560582035731016
贵州,IV,26.65,3.632806011741696,1.8013313666131126,1.7714585251119797,0.060016120016603836,30.272946987176546,1.5720293120181763
陕西,III,34.27,4.276091145995853,2.772540524355205,1.405644238867576,0.09790638277307195,38.214994127570186,1.7901982275447166
青海,II,36.62,2.0014833673025256,1.0325429316564216,0.8866199934415064,0.08232044220459755,31.30778769958957,1.976329951472416
