province,band,tcell,full,spectral,iam,thermal
北京,III,33.44223213829122,4.5352708769161865,1.0262875040500274,0.11178543590690815,3.397197936959251
黑龙江,III,21.447506631772608,1.1172267277707926,0.6593616119278334,0.023824275974293485,0.4340408398686657
湖北,IV,36.48308135522833,6.360595799245128,1.617845280524377,0.120743023095371,4.62200749562538
上海,III,32.5837204624576,4.950196782517913,1.51716010037517,0.0963568357635669,3.336679846379176
广东,III,38.331950945967364,7.472517270281909,1.8269453751345255,0.10881701624365636,5.536754878903727
海南,III,38.498787366548335,7.496450809453692,1.9180925875373234,0.11218412901534691,5.466174092901022
四川,IV,37.887417156529544,7.210491062131319,1.7257380091872054,0.1375651160186342,5.347187936925479
云南,II,31.096594577412027,4.516814881656761,1.6362122401772483,0.0924018040805219,2.788200837398991
西藏,I,28.54348134174263,1.956812314683698,1.0031760757096997,0.12027668082617016,0.8333595581478281
宁夏,II,33.21632458703616,3.834391329892606,0.9721730644466575,0.13764394232662625,2.724574323119322
新疆,II,30.286996465343343,2.9002666748218164,0.8242320628597977,0.12054722325556266,1.955487388706456
甘肃,I,32.18432646905635,2.8510521811142553,0.7533314244441591,0.11689469531201979,1.9808260613580764
天津,III,30.925858833411038,3.8827031071475115,1.064608756733132,0.08184918510325545,2.736245165311124
河北,III,35.49158921350771,5.13148751147261,1.1337694314059954,0.13771369805308797,3.8600043820135266
山西,II,30.92077555270724,3.752873276125368,1.089993610543094,0.10055234392036816,2.562327321661906
内蒙古,II,27.725475322458664,2.6434831957822924,0.9256970584156532,0.07093183187534269,1.6468543054912965
辽宁,III,27.21575182044947,2.635840391223554,0.9207501997199552,0.06860948674729528,1.6464807047563035
吉林,III,22.445653512055554,1.399320367754786,0.7537784752704946,0.02389570361216453,0.621646188872127
江苏,III,33.56172996253346,5.057926866801377,1.4038312332437908,0.11704033408101999,3.537055299476566
浙江,III,34.766209310031456,5.846020977571675,1.5535742795773855,0.11561237586050765,4.176834322133782
安徽,III,34.29345619167716,5.501478486536282,1.5212024424852144,0.12532158924509762,3.85495445480597
福建,III,35.4937365316487,6.508358147230564,1.810021737705858,0.11090491742060671,4.587431492104099
江西,III,37.65297231772648,6.6662431041357495,1.6362310439815397,0.1327533777146117,4.897258682439598
山东,III,32.37054491887596,4.456477026048744,1.2341287600212913,0.10681081168504303,3.1155374543424097
河南,III,35.1688591922174,5.404449193047989,1.3490039163857714,0.11997994444641336,3.935465332215804
湖南,IV,37.53326094929651,7.072525383324901,1.6995139137226722,0.12364774449673543,5.249363725105494
广西,III,38.24885628618289,7.5908748277612625,1.879742234333892,0.12200905409560647,5.589123539331764
重庆,IV,37.69655381200447,7.739874453915552,1.890768383863306,0.11561424939987575,5.73349182065237
贵州,IV,30.272946987176546,5.044948799104243,1.8350753138931974,0.10863949700949949,3.101233988201546
陕西,III,38.214994127570186,6.613102614234001,1.4693979697333992,0.1605509867874666,4.983153657713135
青海,II,31.30778769958957,2.934043275863951,0.9355961803432455,0.1371322568858968,1.8613148386348088
