baseline,silicon_stc_efficiency_pct,silicon_gamma_pct_per_c,median_advantage_pct,min_advantage_pct,max_advantage_pct,irradiance_advantage_correlation,band_i_median_pct,band_iv_median_pct,direction_preserved
HJT low temperature coefficient,22.5,-0.26,2.903965523257135,1.1502138416852992,4.3557292643830126,-0.6034988586385056,1.351193950079277,3.8978541293078317,True
TOPCon central,22.0,-0.32,3.4325871021875454,0.9346125633648672,5.150704143700757,-0.5398925884779404,1.677428401171388,4.6791614800325565,True
PERC high temperature coefficient,21.0,-0.37,3.8693282919216365,0.7556456818168078,5.8224946425757595,-0.5004724659014083,1.9510853024738206,5.3392838463617975,True
