province,lon,lat,share,gw_2050,gtco2_25y,yield
北京,116.41,39.9,0.001611232592933594,3.8669582230406254,0.043462084990542264,1683.7561822480764
黑龙江,126.63,45.75,0.01323512487052595,31.76429968926228,0.3416499671990889,1611.3141661511431
湖北,114.3,30.59,0.022327080216365515,53.584992519277236,0.4979386906611041,1392.1012560967547
上海,121.47,31.23,0.005178961905857981,12.429508574059154,0.11687241733294268,1408.6276060617895
广东,113.26,23.13,0.05892507768442858,141.4201864426286,1.2814584659201924,1357.4731738250912
海南,110.32,20.04,0.0036828173552767864,8.838761652664287,0.08990830345772526,1523.865043386759
四川,104.07,30.67,0.022442168258717917,53.861203820923,0.4214587817415013,1172.2417322689366
云南,102.71,25.04,0.025434457359880307,61.04269766371274,0.6095850048412711,1496.0244240414224
西藏,91.14,29.65,0.006905282541143975,16.572678098745538,0.22596909493953868,2042.6524443007595
宁夏,106.23,38.49,0.032224651858671884,77.33916446081253,0.9417378123559552,1824.1840721127053
新疆,87.62,43.83,0.06513983197145816,156.33559673149958,1.8619531235855267,1784.2224274840935
甘肃,94.66,40.14,0.035677293129243864,85.62550351018527,1.1519576612259521,2015.4475746515495
天津,117.2,39.13,0.00529404994821038,12.705719875704913,0.1427787437498835,1683.4584700500504
河北,114.51,38.04,0.09091955345839567,218.2069283001496,2.467045546091798,1693.740055759033
山西,112.55,37.87,0.04960294625388422,119.04707100932212,1.2831173138233651,1614.6774395697826
内蒙古,111.75,40.84,0.06467947980204856,155.23075152491654,1.8594472312209007,1794.503149312027
辽宁,123.43,41.8,0.028772010588099892,69.05282541143974,0.7598476662323119,1648.4781972235069
吉林,125.32,43.82,0.013004948785821153,31.21187708597077,0.35048638529342113,1682.2455617360256
江苏,118.79,32.05,0.059615605938542975,143.07745425250314,1.3509596188422364,1414.520644950285
浙江,120.15,30.27,0.0523650592703418,125.67614224882033,1.0012570024540584,1193.5231634073407
安徽,117.23,31.83,0.041546783289216245,99.71227989411899,0.9243174286714769,1388.7069929117386
福建,119.3,26.07,0.014846357463459546,35.631257912302914,0.2990482671876495,1257.32705934895
江西,115.86,28.68,0.02117619979284152,50.82287950281965,0.4684532030120789,1380.8454461089966
山东,117.0,36.65,0.10300379790539761,247.20911497295427,2.630455110472991,1594.0595510726012
河南,113.62,34.75,0.045459776729197834,109.1034641500748,1.1144534250317462,1530.2469054488042
湖南,112.97,28.2,0.01634250201404074,39.222004833697774,0.33480744616103353,1278.802410083499
广西,108.36,22.82,0.015536885717573943,37.28852572217746,0.3130121294137171,1257.5465810958476
重庆,106.55,29.55,0.00563931407526758,13.534353780642192,0.08803613254901811,974.454482882703
贵州,106.63,26.65,0.01588214984463114,38.11715962711474,0.2647634048429834,1040.5801889367367
陕西,108.93,34.27,0.036828173552767865,88.38761652664287,0.8910207667177014,1510.2002230207877
青海,101.78,36.62,0.0267004258257567,64.08102198181608,0.7703325518808605,1800.8890091710057
