province,city,key,lat,lon,alt,region,res_band,tech,code,kwp,yield_kwh_per_kwp,yield_kwh_per_m2,PR,tcell_weighted,spectral_factor_w,ghi_kwh_m2,tair_mean,pv_2024_gw
北京,北京,beijing,39.9,116.41,50,华北,III,晶硅,c-Si,6.424718594113602,1635.147746769732,359.7333214440354,0.8330779119026965,33.44223213829122,0.991298311360909,1578.1503,12.933666666666667,1.304363800183589
北京,北京,beijing,39.9,116.41,50,华北,III,钙钛矿,perovskite,5.632816774063653,1683.7561822480764,324.7688632341778,0.8578430219725077,33.44223213829122,1.0033932693538776,1578.1503,12.933666666666667,1.304363800183589
北京,北京,beijing,39.9,116.41,50,华北,III,叠层,tandem,8.267993754733086,1648.4442126043195,466.706609372891,0.8398522183927655,33.44223213829122,0.9912983113609092,1578.1503,12.933666666666667,1.304363800183589
黑龙江,哈尔滨,harbin,45.75,126.63,150,东北,III,晶硅,c-Si,6.424718594113602,1596.3940666434817,351.207492449355,0.8577388553952491,21.447506631772608,0.9930398409475306,1424.2582999999997,4.720284246575343,7.178505610987352
黑龙江,哈尔滨,harbin,45.75,126.63,150,东北,III,钙钛矿,perovskite,5.632816774063653,1611.3141661511431,310.7959902812893,0.8657553904986353,21.447506631772608,1.00228733624373,1424.2582999999997,4.720284246575343,7.178505610987352
黑龙江,哈尔滨,harbin,45.75,126.63,150,东北,III,叠层,tandem,8.267993754733086,1605.6492429420916,454.59052134482243,0.8627116403051444,21.447506631772608,0.993039840947531,1424.2582999999997,4.720284246575343,7.178505610987352
湖北,武汉,wuhan,30.59,114.3,30,华中,IV,晶硅,c-Si,6.424718594113602,1335.5252648199794,293.81622568065876,0.8211851463811835,36.48308135522833,0.9883822056778208,1503.7993,18.597416666666668,35.13673782535993
湖北,武汉,wuhan,30.59,114.3,30,华中,IV,钙钛矿,perovskite,5.632816774063653,1392.1012560967547,268.5134268346236,0.855972480550067,36.48308135522833,1.0048020829796238,1503.7993,18.597416666666668,35.13673782535993
湖北,武汉,wuhan,30.59,114.3,30,华中,IV,叠层,tandem,8.267993754733086,1349.7982096429635,382.15411898277995,0.8299612666033139,36.48308135522833,0.988382205677821,1503.7993,18.597416666666668,35.13673782535993
上海,上海,shanghai,31.23,121.47,10,华东,III,晶硅,c-Si,6.424718594113602,1361.8294792118631,299.6031659922371,0.8312656307449854,32.5837204624576,0.9886999869711034,1497.36519,17.04124315068493,4.118305966197457
上海,上海,shanghai,31.23,121.47,10,华东,III,钙钛矿,perovskite,5.632816774063653,1408.6276060617895,271.7010878203065,0.8598313763301827,32.5837204624576,1.0049385820115908,1497.36519,17.04124315068493,4.118305966197457
上海,上海,shanghai,31.23,121.47,10,华东,III,叠层,tandem,8.267993754733086,1375.015689871595,389.2936779708508,0.8393145413380664,32.5837204624576,0.9886999869711034,1497.36519,17.04124315068493,4.118305966197457
广东,广州,guangzhou,23.13,113.26,20,华南,III,晶硅,c-Si,6.424718594113602,1293.5083328812052,284.5724796564337,0.8153341675009855,38.331950945967364,0.9873338549394769,1501.0451,22.345302511415525,41.19807536189994
广东,广州,guangzhou,23.13,113.26,20,华南,III,钙钛矿,perovskite,5.632816774063653,1357.4731738250912,261.83423953071576,0.8556529803099835,38.331950945967364,1.0049815312094592,1501.0451,22.345302511415525,41.19807536189994
