province,tech,year,capex_usd_per_w,lcoe_cents_per_kwh,yield_kwh_per_kwp,tcell_weighted
北京,晶硅,2025,0.65,3.723307284777234,1635.147746769732,33.44223213829122
北京,晶硅,2026,0.6367362025441039,3.647330063713622,1635.147746769732,33.44223213829122
北京,晶硅,2027,0.6247821872362409,3.5788554909780763,1635.147746769732,33.44223213829122
北京,晶硅,2028,0.6139358088472556,3.516725645333216,1635.147746769732,33.44223213829122
北京,晶硅,2029,0.6040370336951427,3.4600238274343944,1635.147746769732,33.44223213829122
北京,晶硅,2030,0.594957190219969,3.4080129853486225,1635.147746769732,33.44223213829122
北京,晶硅,2031,0.5865914131290194,3.360092433370846,1635.147746769732,33.44223213829122
北京,晶硅,2032,0.5788532128972661,3.3157667452263047,1635.147746769732,33.44223213829122
北京,晶硅,2033,0.571670495649663,3.274622955299388,1635.147746769732,33.44223213829122
北京,晶硅,2034,0.5649825949681266,3.23631355633411,1635.147746769732,33.44223213829122
北京,晶硅,2035,0.5587380237506496,3.2005436217120447,1635.147746769732,33.44223213829122
北京,晶硅,2036,0.5528927475457875,3.1670609148272777,1635.147746769732,33.44223213829122
北京,晶硅,2037,0.5474088415917071,3.1356481963844147,1635.147746769732,33.44223213829122
北京,晶硅,2038,0.5422534342740465,3.1061171723508156,1635.147746769732,33.44223213829122
北京,晶硅,2039,0.5373978671968571,3.0783036827043175,1635.147746769732,33.44223213829122
北京,晶硅,2040,0.5328170210429873,3.0520638398502453,1635.147746769732,33.44223213829122
北京,晶硅,2041,0.528488769723567,3.0272709018995614,1635.147746769732,33.44223213829122
北京,晶硅,2042,0.5243935348056404,3.003812720356808,1635.147746769732,33.44223213829122
北京,晶硅,2043,0.5205139190573483,2.981589641006419,1635.147746769732,33.44223213829122
北京,晶硅,2044,0.5168344029571653,2.960512765467548,1635.147746769732,33.44223213829122
北京,晶硅,2045,0.513341091715887,2.9405025020942466,1635.147746769732,33.44223213829122
北京,晶硅,2046,0.5100215031268049,2.921487350746258,1635.147746769732,33.44223213829122
北京,晶硅,2047,0.5068643886478711,2.9034028779181194,1635.147746769732,33.44223213829122
北京,晶硅,2048,0.5038595817106535,2.886190847827824,1635.147746769732,33.44223213829122
北京,晶硅,2049,0.5009978684735756,2.8697984820700473,1635.147746769732,33.44223213829122
北京,晶硅,2050,0.49827087718424456,2.854177825865293,1635.147746769732,33.44223213829122
