adcode,city,city_fullname,province,province_fullname,province_code,admin_type,altitude_m,lat,lon,anchor_lat,anchor_lon,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,csi_PR,perovskite_PR,tandem_PR,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,land_grid_cell_count,land_grid_area_weight_sum,aggregation_method
110000,北京,北京市,北京,北京市,110000,municipality,50.0,40.18094206415489,116.41385726202518,39.9,116.41,1571.7872233027167,12.197775169839469,1625.7039392597146,1666.4318041517217,1614.672687097355,0.8358174624619242,0.8591520102450392,0.8301401749579275,2.505244891671543,-0.6785523425244855,357.65567907234885,321.4272757526221,457.1452338394087,169,129.111660689907,area mean of anchor-constrained 0.1 degree land-cell surfaces
120000,天津,天津市,天津,天津市,120000,municipality,5.0,39.316437184158886,117.29783988760518,39.13,117.2,1597.1274565237438,13.008087155896389,1635.5381647440386,1678.9664008722984,1622.8000454007924,0.8383429438700312,0.860916408317841,0.8318109153826145,2.655287235994064,-0.778833512896937,359.81921359349184,323.8449932172763,459.44624700561303,116,89.73872499335639,area mean of anchor-constrained 0.1 degree land-cell surfaces
130100,石家庄,石家庄市,河北,河北省,130000,prefecture_level_city,80.0,38.13388116515924,114.44084878990633,38.04,114.51,1615.800621772457,13.076477447511769,1610.3764036999678,1660.3915122099968,1599.7975923977563,0.8316774984898592,0.8572986261127462,0.826201109359104,3.1058023698754766,-0.6569154439860059,354.2836135893661,320.2622028232997,452.9338052946826,137,107.75700125358819,area mean of anchor-constrained 0.1 degree land-cell surfaces
130200,唐山,唐山市,河北,河北省,130000,prefecture_level_city,30.0,39.768109216273366,118.30993877440969,39.629372,118.173871,1583.0498176798174,12.03379683431503,1629.083599004418,1669.4702452841314,1615.1247086101496,0.8412813868342734,0.8621911938620932,0.8340674887563855,2.4791021347458697,-0.8568553757952624,358.3992059051471,322.01334105291943,457.2732099189065,135,103.76241302870949,area mean of anchor-constrained 0.1 degree land-cell surfaces
130300,秦皇岛,秦皇岛市,河北,河北省,130000,prefecture_level_city,12.0,40.1074408205221,119.17528268860136,39.887014,119.514248,1595.6181035049322,11.471280211238238,1662.4861050824777,1695.898289349551,1643.8021403113667,0.8496682122792989,0.8662867593374881,0.8401095799950997,2.00977224200114,-1.1238568980511343,365.74777393501034,327.1108759092841,465.3923484450765,81,61.949991364552744,area mean of anchor-constrained 0.1 degree land-cell surfaces
130400,邯郸,邯郸市,河北,河北省,130000,prefecture_level_city,56.0,36.55025342350216,114.55698351144558,36.62577,114.533423,1599.8407182074388,14.740564538798118,1555.415368649905,1604.487071481887,1544.793971485784,0.830367928331332,0.8576287384032141,0.8246966643136479,3.154893787283064,-0.6828656433644831,342.1921584119243,309.4791560517834,437.3612107095723,120,96.39879913641388,area mean of anchor-constrained 0.1 degree land-cell surfaces
130500,邢台,邢台市,河北,河北省,130000,prefecture_level_city,76.0,37.214710160717615,114.81006756437377,37.058312,114.491387,1602.8981891001195,14.337693958387787,1575.0771029405157,1624.2178623778461,1564.408777458585,0.8313374804567184,0.8581790617007057,0.8257048084389963,3.1198954861060058,-0.6773208411203435,346.51774978168544,313.2849009675563,442.9145436759397,130,103.52697971980263,area mean of anchor-constrained 0.1 degree land-cell surfaces
130600,保定,保定市,河北,河北省,130000,prefecture_level_city,23.0,39.023270976607385,115.102802772796,38.873575,115.458204,1609.538391589017,12.925952855774396,1628.6223389332183,1673.6228024805898,1618.1245390054596,0.8325620128639838,0.85760025144229,0.8271867586364158,2.763099981598427,-0.6445815998468385,358.2977284589714,322.81430101044015,458.1225202333132,214,166.2463956688709,area mean of anchor-constrained 0.1 degree land-cell surfaces
130700,张家口,张家口市,河北,河北省,130000,prefecture_level_city,716.0,40.86139573552759,115.02870404718955,40.767647,114.879785,1611.8595454565677,9.115055126188622,1687.2478534256363,1710.5119122535984,1672.6572597873194,0.8416308905548422,0.859937193819025,0.8343561702248797,1.3788169165975805,-0.8647569833141855,371.19537094503164,329.92960331668326,473.5617938352822,392,296.4267796215747,area mean of anchor-constrained 0.1 degree land-cell surfaces
130800,承德,承德市,河北,河北省,130000,prefecture_level_city,319.0,41.33397837149055,117.54581587862971,40.951659,117.956532,1577.7094212199313,9.393757983189522,1652.0893282423717,1677.1122531250217,1638.0584550196909,0.8429969201764262,0.8619921039657031,0.835834003377341,1.5146229961591429,-0.8492805432989581,363.4604778344639,323.48735862475036,463.7661994572694,422,316.83103814903313,area mean of anchor-constrained 0.1 degree land-cell surfaces
130900,沧州,沧州市,河北,河北省,130000,prefecture_level_city,13.0,38.260648575141985,116.733646079985,38.304117,116.832925,1630.2171298489188,13.75843969135242,1643.194378138363,1689.7111991084112,1630.5382975492064,0.8363436091460228,0.8598961887248291,0.8298999739584562,2.8308775631735505,-0.7702120185863248,361.5035843663872,325.91748800340605,461.63709665344743,138,108.35531108701038,area mean of anchor-constrained 0.1 degree land-cell surfaces
