adcode,city,city_fullname,province,province_fullname,province_code,admin_type,lat,lon,altitude_m,ghi_kwh_m2,tair_mean,csi_yield_kwh_per_kwp,perovskite_yield_kwh_per_kwp,tandem_yield_kwh_per_kwp,perovskite_advantage_pct,tandem_advantage_pct,csi_yield_kwh_per_m2,perovskite_yield_kwh_per_m2,tandem_yield_kwh_per_m2,csi_PR,perovskite_PR,tandem_PR
110000,北京,北京市,北京,北京市,110000,municipality,39.9,116.41,50.0,1578.1503,12.933666666666667,1635.147746769732,1683.7561822480764,1625.2636679344714,2.9727243653896895,-0.6044761921231157,359.7333214440354,324.7688632341778,460.1437464482247,0.8330779119026965,0.8578430219725077,0.8280421542634083
120000,天津,天津市,天津,天津市,120000,municipality,39.13,117.2,5.0,1603.6684499999997,13.41472602739726,1639.983120345812,1683.4584700500504,1626.5721564064197,2.650963242540638,-0.8177501202917492,360.7971060472203,324.71143944969924,460.51420497722864,0.8395937536911935,0.8618510754882142,0.8327279747604217
130100,石家庄,石家庄市,河北,河北省,130000,prefecture_level_city,38.04,114.51,80.0,1644.4605,14.065100456621003,1639.24418396565,1693.740055759033,1630.269452225056,3.3244511297607193,-0.5474920593515509,360.6345396743058,326.6945881609888,461.5609813146809,0.8275854491730156,0.8550981229877834,0.8230544845544446
130200,唐山,唐山市,河北,河北省,130000,prefecture_level_city,39.629372,118.173871,30.0,1575.6213,12.21302397260274,1615.018233643335,1656.868598667113,1602.029302339135,2.591324614915802,-0.8042591119790665,355.30481849663187,319.5826907664726,453.5656457730444,0.8394618204181179,0.8612150012034329,0.8327103722358198
130300,秦皇岛,秦皇岛市,河北,河北省,130000,prefecture_level_city,39.887014,119.514248,12.0,1606.3495,11.837390410958903,1676.252109989618,1705.0851638474742,1654.7039236916105,1.7200905332811045,-1.285497937308544,368.77630189405465,328.8828728402067,468.4788552971786,0.8540007197122454,0.8686903052461683,0.8430225580757444
130400,邯郸,邯郸市,河北,河北省,130000,prefecture_level_city,36.62577,114.533423,56.0,1558.63685,15.279893835616438,1516.7323870834869,1567.4460989490578,1507.2222650707704,3.3436163358447235,-0.6270138419740223,333.6818831357381,302.3345619179024,426.7239300693,0.828814058074105,0.8565264203136483,0.8236172792057538
130500,邢台,邢台市,河北,河北省,130000,prefecture_level_city,37.058312,114.491387,76.0,1564.9512000000002,14.632518264840185,1539.2794880660308,1591.176256682797,1529.2581212906573,3.371497445338534,-0.6510427023207144,338.64225661966816,306.9117188915828,432.96270943615787,0.830668738756318,0.858674714062713,0.8252607305521855
130600,保定,保定市,河北,河北省,130000,prefecture_level_city,38.873575,115.458204,23.0,1631.8989,13.615408675799088,1645.7662784934746,1698.576199852144,1636.4501198860446,3.208834817481576,-0.5660681427959502,362.06940372980256,327.6274007832173,463.3108485080411,0.8298006981619712,0.8564276318802977,0.825103460760978
130700,张家口,张家口市,河北,河北省,130000,prefecture_level_city,40.767647,114.879785,716.0,1598.54275,8.631455479452056,1673.565118375454,1709.7366009928153,1659.154153410588,2.1613430048347038,-0.8610937696200804,368.1851623961316,329.7800585313563,469.73880186206304,0.8415522033330811,0.8597410330118529,0.8343056497420794
130800,承德,承德市,河北,河北省,130000,prefecture_level_city,40.951659,117.956532,319.0,1576.7957,8.967711187214611,1628.9518734273825,1669.2191328346587,1616.3999051406745,2.4719735471713022,-0.7705548881746904,358.37022621237026,321.9649055931901,457.6342428519561,0.8409255285781465,0.8617129851960087,0.8344457358117785
130900,沧州,沧州市,河北,河北省,130000,prefecture_level_city,38.304117,116.832925,13.0,1627.2335500000002,13.655606164383562,1655.0290885276595,1699.0509996089847,1641.4538732579017,2.659887453729759,-0.8202402824130761,364.10722656635375,327.71898184401385,464.7275083819158,0.8383597721568163,0.8606591985535328,0.8314832075940395
131000,廊坊,廊坊市,河北,河北省,130000,prefecture_level_city,39.537203,116.677631,14.0,1596.7539500000005,12.84115296803653,1639.216564327953,1685.018126264791,1627.6468064918697,2.794112927697001,-0.7058102076235806,360.62846334020975,325.0122714711271,460.81845931219954,0.8359971974664973,0.8593559032360931,0.8300966439113315
