context,policy,technology,interior,never,above_range,baseline_wins,boundary_p10,boundary_median,boundary_p90
area,General20,SJ,18,319,0,0,0.00011713211165343293,0.0004948085366947908,0.002681435878663621
area,General20,T,337,0,0,267,0.010485478277841909,0.013999436266347944,0.01577736260774131
area,New20,SJ,46,291,0,0,0.00037807863348504617,0.0031891810093931383,0.007582485151473861
area,New20,T,337,0,0,337,0.01989804167175905,0.021596418342578968,0.022455198206198335
area,No subsidy,SJ,153,184,0,0,0.0008038301893817845,0.003023521491537195,0.005865764898841378
area,No subsidy,T,337,0,0,133,0.0072713348635279835,0.011329574208590286,0.013451823353611163
cap,General20,SJ,333,4,0,0,0.006500253971079673,0.00994385719295323,0.01325075788494914
cap,General20,T,0,337,0,0,,,
cap,New20,SJ,333,4,0,311,0.021761539215238913,0.030018751842458603,0.03603686130182454
cap,New20,T,136,201,0,0,0.0004784549232681456,0.001748316480726686,0.002610255992633625
cap,No subsidy,SJ,306,31,0,135,0.011297814870634684,0.014335379320672106,0.01876418476625333
cap,No subsidy,T,0,337,0,0,,,
