adcode,city,city_fullname,province,province_fullname,province_code,admin_type,latitude,longitude,altitude_m,source_latitude,source_longitude,source_crs,cache_key,coordinate_source,source_version,source_url
150300,乌海,乌海市,内蒙古,内蒙古自治区,150000,prefecture_level_city,39.654105,106.789390,,39.655048,106.794150,GCJ-02,city_150300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
150400,赤峰,赤峰市,内蒙古,内蒙古自治区,150000,prefecture_level_city,42.254941,118.881442,,42.256876,118.887613,GCJ-02,city_150400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
150500,通辽,通辽市,内蒙古,内蒙古自治区,150000,prefecture_level_city,43.651204,122.237756,,43.653566,122.243309,GCJ-02,city_150500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
150600,鄂尔多斯,鄂尔多斯市,内蒙古,内蒙古自治区,150000,prefecture_level_city,39.607727,109.776762,,39.608744,109.782473,GCJ-02,city_150600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
150700,呼伦贝尔,呼伦贝尔市,内蒙古,内蒙古自治区,150000,prefecture_level_city,49.164607,119.771145,,49.166536,119.778450,GCJ-02,city_150700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
150800,巴彦淖尔,巴彦淖尔市,内蒙古,内蒙古自治区,150000,prefecture_level_city,40.741540,107.382173,,40.742987,107.387767,GCJ-02,city_150800,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
150900,乌兰察布,乌兰察布市,内蒙古,内蒙古自治区,150000,prefecture_level_city,40.992758,113.124960,,40.994526,113.132227,GCJ-02,city_150900,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
152200,兴安,兴安盟,内蒙古,内蒙古自治区,150000,league,46.080431,122.031649,,46.082403,122.037775,GCJ-02,city_152200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
152500,锡林郭勒,锡林郭勒盟,内蒙古,内蒙古自治区,150000,league,43.931027,116.040550,,43.933212,116.047387,GCJ-02,city_152500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
152900,阿拉善,阿拉善盟,内蒙古,内蒙古自治区,150000,league,38.850994,105.724869,,38.851559,105.729139,GCJ-02,city_152900,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/150000.json
210100,沈阳,沈阳市,辽宁,辽宁省,210000,prefecture_level_city,41.800000,123.430000,50,41.677576,123.464675,GCJ-02,shenyang,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
210200,大连,大连市,辽宁,辽宁省,210000,prefecture_level_city,38.913185,121.609843,,38.913962,121.614786,GCJ-02,city_210200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
210300,鞍山,鞍山市,辽宁,辽宁省,210000,prefecture_level_city,41.106320,122.988684,,41.108239,122.994183,GCJ-02,city_210300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
210400,抚顺,抚顺市,辽宁,辽宁省,210000,prefecture_level_city,41.879155,123.951278,,41.881311,123.957053,GCJ-02,city_210400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
210500,本溪,本溪市,辽宁,辽宁省,210000,prefecture_level_city,41.484703,123.679153,,41.486834,123.684984,GCJ-02,city_210500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
210600,丹东,丹东市,辽宁,辽宁省,210000,prefecture_level_city,39.999101,124.348648,,40.000646,124.354419,GCJ-02,city_210600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
210700,锦州,锦州市,辽宁,辽宁省,210000,prefecture_level_city,41.094064,121.121216,,41.096114,121.126859,GCJ-02,city_210700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
210800,营口,营口市,辽宁,辽宁省,210000,prefecture_level_city,40.623476,122.213960,,40.625027,122.219148,GCJ-02,city_210800,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
210900,阜新,阜新市,辽宁,辽宁省,210000,prefecture_level_city,42.019918,121.664643,,42.022028,121.670052,GCJ-02,city_210900,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
211000,辽阳,辽阳市,辽宁,辽宁省,210000,prefecture_level_city,41.265329,123.233933,,41.267396,123.239669,GCJ-02,city_211000,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
211100,盘锦,盘锦市,辽宁,辽宁省,210000,prefecture_level_city,40.717867,122.165414,,40.719560,122.170729,GCJ-02,city_211100,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
211200,铁岭,铁岭市,辽宁,辽宁省,210000,prefecture_level_city,42.221482,123.719997,,42.223709,123.726008,GCJ-02,city_211200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
211300,朝阳,朝阳市,辽宁,辽宁省,210000,prefecture_level_city,41.599658,120.483268,,41.601855,120.488801,GCJ-02,city_211300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
211400,葫芦岛,葫芦岛市,辽宁,辽宁省,210000,prefecture_level_city,40.709525,120.831608,,40.710974,120.836783,GCJ-02,city_211400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/210000.json
220100,长春,长春市,吉林,吉林省,220000,prefecture_level_city,43.820000,125.320000,220,43.816996,125.323643,GCJ-02,changchun,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
220200,吉林,吉林市,吉林,吉林省,220000,prefecture_level_city,43.835879,126.544030,,43.838132,126.549719,GCJ-02,city_220200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
220300,四平,四平市,吉林,吉林省,220000,prefecture_level_city,43.164187,124.344394,,43.166764,124.350599,GCJ-02,city_220300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
220400,辽源,辽源市,吉林,吉林省,220000,prefecture_level_city,42.885443,125.138281,,42.887961,125.144676,GCJ-02,city_220400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
220500,通化,通化市,吉林,吉林省,220000,prefecture_level_city,41.726147,125.934064,,41.728312,125.939721,GCJ-02,city_220500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
220600,白山,白山市,吉林,吉林省,220000,prefecture_level_city,41.941619,126.408407,,41.944132,126.414274,GCJ-02,city_220600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
220700,松原,松原市,吉林,吉林省,220000,prefecture_level_city,45.139938,124.819023,,45.141908,124.825310,GCJ-02,city_220700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
220800,白城,白城市,吉林,吉林省,220000,prefecture_level_city,45.618221,122.832229,,45.620131,122.838102,GCJ-02,city_220800,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
222400,延边,延边朝鲜族自治州,吉林,吉林省,220000,autonomous_prefecture,42.906849,129.463538,,42.909426,129.470605,GCJ-02,city_222400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/220000.json
230100,哈尔滨,哈尔滨市,黑龙江,黑龙江省,230000,prefecture_level_city,45.750000,126.630000,150,45.802981,126.535050,GCJ-02,harbin,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
230200,齐齐哈尔,齐齐哈尔市,黑龙江,黑龙江省,230000,prefecture_level_city,47.352853,123.911643,,47.354892,123.918193,GCJ-02,city_230200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
230300,鸡西,鸡西市,黑龙江,黑龙江省,230000,prefecture_level_city,45.292922,130.961929,,45.295087,130.969385,GCJ-02,city_230300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
230400,鹤岗,鹤岗市,黑龙江,黑龙江省,230000,prefecture_level_city,47.348215,130.289833,,47.350659,130.297687,GCJ-02,city_230400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
230500,双鸭山,双鸭山市,黑龙江,黑龙江省,230000,prefecture_level_city,46.673891,131.133412,,46.676157,131.141563,GCJ-02,city_230500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
230600,大庆,大庆市,黑龙江,黑龙江省,230000,prefecture_level_city,46.587394,125.097024,,46.589498,125.104078,GCJ-02,city_230600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
230700,伊春,伊春市,黑龙江,黑龙江省,230000,prefecture_level_city,47.726065,128.833810,,47.728332,128.840863,GCJ-02,city_230700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
230800,佳木斯,佳木斯市,黑龙江,黑龙江省,230000,prefecture_level_city,46.797781,130.311123,,46.800002,130.318916,GCJ-02,city_230800,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
230900,七台河,七台河市,黑龙江,黑龙江省,230000,prefecture_level_city,45.768954,130.995311,,45.771178,131.003015,GCJ-02,city_230900,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
231000,牡丹江,牡丹江市,黑龙江,黑龙江省,230000,prefecture_level_city,44.549520,129.625851,,44.551486,129.632928,GCJ-02,city_231000,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
231100,黑河,黑河市,黑龙江,黑龙江省,230000,prefecture_level_city,50.243264,127.520943,,50.244887,127.528226,GCJ-02,city_231100,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
231200,绥化,绥化市,黑龙江,黑龙江省,230000,prefecture_level_city,46.652246,126.962391,,46.654147,126.968714,GCJ-02,city_231200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
232700,大兴安岭,大兴安岭地区,黑龙江,黑龙江省,230000,prefecture,50.409585,124.110234,,50.411275,124.117854,GCJ-02,city_232700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/230000.json
310000,上海,上海市,上海,上海市,310000,municipality,31.230000,121.470000,10,31.230525,121.473667,GCJ-02,shanghai,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/310000.json
320100,南京,南京市,江苏,江苏省,320000,prefecture_level_city,32.050000,118.790000,20,32.059344,118.796624,GCJ-02,nanjing,existing pvsim representative-city anchor,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
320200,无锡,无锡市,江苏,江苏省,320000,prefecture_level_city,31.492953,120.307280,,31.491064,120.311889,GCJ-02,city_320200,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
320300,徐州,徐州市,江苏,江苏省,320000,prefecture_level_city,34.205515,117.277999,,34.204224,117.283752,GCJ-02,city_320300,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
320400,常州,常州市,江苏,江苏省,320000,prefecture_level_city,31.813354,119.969342,,31.811313,119.974092,GCJ-02,city_320400,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
320500,苏州,苏州市,江苏,江苏省,320000,prefecture_level_city,31.301942,120.581117,,31.299758,120.585294,GCJ-02,city_320500,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
320600,南通,南通市,江苏,江苏省,320000,prefecture_level_city,31.983439,120.890306,,31.981269,120.894522,GCJ-02,city_320600,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
320700,连云港,连云港市,江苏,江苏省,320000,prefecture_level_city,34.597674,119.215955,,34.596639,119.221487,GCJ-02,city_320700,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
320800,淮安,淮安市,江苏,江苏省,320000,prefecture_level_city,33.552777,119.107545,,33.551495,119.113166,GCJ-02,city_320800,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
320900,盐城,盐城市,江苏,江苏省,320000,prefecture_level_city,33.349613,120.157684,,33.348176,120.162630,GCJ-02,city_320900,GeoJSON.CN GCJ-02 centre converted to WGS-84,1.6.3,https://geojson.cn/api/china/1.6.3/320000.json
