adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
510300,-0.4,1.6,1014.1552573249836,1034.686083322359
510300,-0.3,1.6,1029.6565609349593,1034.686083322359
510300,-0.2,1.6,1045.2151327520567,1034.686083322359
510300,-0.4,1.68,1017.3615611707089,1034.686083322359
510300,-0.3,1.68,1032.9211701625723,1034.686083322359
510300,-0.2,1.68,1048.5429583028795,1034.686083322359
510300,-0.4,1.75,1054.449486242865,1034.686083322359
510300,-0.3,1.75,1070.5329192950855,1034.686083322359
510300,-0.2,1.75,1086.5400258728641,1034.686083322359
