adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
150600,-0.4,1.6,1747.0145394953947,1770.7193483482838
150600,-0.3,1.6,1749.0394178324239,1770.7193483482838
150600,-0.2,1.6,1750.5502097101055,1770.7193483482838
150600,-0.4,1.68,1750.470214137202,1770.7193483482838
150600,-0.3,1.68,1752.6164620070062,1770.7193483482838
150600,-0.2,1.68,1754.2882096080727,1770.7193483482838
150600,-0.4,1.75,1796.4554718284076,1770.7193483482838
150600,-0.3,1.75,1798.2376079730877,1770.7193483482838
150600,-0.2,1.75,1799.3378873333447,1770.7193483482838
