adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
511800,-0.4,1.6,1010.162215739318,1028.9848526164985
511800,-0.3,1.6,1020.4349470394583,1028.9848526164985
511800,-0.2,1.6,1030.5643137576094,1028.9848526164985
511800,-0.4,1.68,1013.4176396068965,1028.9848526164985
511800,-0.3,1.68,1023.737964916276,1028.9848526164985
511800,-0.2,1.68,1033.898626571438,1028.9848526164985
511800,-0.4,1.75,1052.7869883784215,1028.9848526164985
511800,-0.3,1.75,1063.305834671636,1028.9848526164985
511800,-0.2,1.75,1073.7540330991415,1028.9848526164985
