adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
130200,-0.4,1.6,1592.8461034723675,1615.018233643335
130200,-0.3,1.6,1602.054361673904,1615.018233643335
130200,-0.2,1.6,1610.9490242480647,1615.018233643335
130200,-0.4,1.68,1594.6287333065266,1615.018233643335
130200,-0.3,1.68,1603.941869689798,1615.018233643335
130200,-0.2,1.68,1612.9198984122327,1615.018233643335
130200,-0.4,1.75,1634.669244744664,1615.018233643335
130200,-0.3,1.75,1644.0103649186703,1615.018233643335
130200,-0.2,1.75,1652.821361049029,1615.018233643335
