adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
371300,-0.4,1.6,1417.8886418224229,1442.282721404269
371300,-0.3,1.6,1427.9695168690992,1442.282721404269
371300,-0.2,1.6,1437.7476432828114,1442.282721404269
371300,-0.4,1.68,1421.3244751993398,1442.282721404269
371300,-0.3,1.68,1431.4264119165946,1442.282721404269
371300,-0.2,1.68,1441.202154924667,1442.282721404269
371300,-0.4,1.75,1465.569846047233,1442.282721404269
371300,-0.3,1.75,1475.4271068162766,1442.282721404269
371300,-0.2,1.75,1484.7586400942257,1442.282721404269
