adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
510400,-0.4,1.6,1468.6805147581126,1496.966890867831
510400,-0.3,1.6,1495.1589591590277,1496.966890867831
510400,-0.2,1.6,1520.6692793402394,1496.966890867831
510400,-0.4,1.68,1469.7232586248022,1496.966890867831
510400,-0.3,1.68,1496.1671468054965,1496.966890867831
510400,-0.2,1.68,1521.6598306179128,1496.966890867831
510400,-0.4,1.75,1509.0136211739512,1496.966890867831
510400,-0.3,1.75,1535.3305144559845,1496.966890867831
510400,-0.2,1.75,1560.7208723557596,1496.966890867831
