adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
440800,-0.4,1.6,1336.9409482259175,1366.5378561391851
440800,-0.3,1.6,1358.1418692817915,1366.5378561391851
440800,-0.2,1.6,1379.3686409646853,1366.5378561391851
440800,-0.4,1.68,1339.789640813798,1366.5378561391851
440800,-0.3,1.68,1361.0777075445371,1366.5378561391851
440800,-0.2,1.68,1382.3749534353553,1366.5378561391851
440800,-0.4,1.75,1387.7398872169424,1366.5378561391851
440800,-0.3,1.75,1409.5761910819724,1366.5378561391851
440800,-0.2,1.75,1431.114687246909,1366.5378561391851
