adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
431300,-0.4,1.6,1090.604992977731,1112.6376792988788
431300,-0.3,1.6,1104.1569202356206,1112.6376792988788
431300,-0.2,1.6,1117.580041113183,1112.6376792988788
431300,-0.4,1.68,1093.8530186570435,1112.6376792988788
431300,-0.3,1.68,1107.4435158070996,1112.6376792988788
431300,-0.2,1.68,1120.8902747523694,1112.6376792988788
431300,-0.4,1.75,1134.5526142870326,1112.6376792988788
431300,-0.3,1.75,1148.313237314088,1112.6376792988788
431300,-0.2,1.75,1161.8509088760284,1112.6376792988788
