adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
320100,-0.4,1.6,1343.869660921771,1367.5773608493341
320100,-0.3,1.6,1354.9470865163853,1367.5773608493341
320100,-0.2,1.6,1365.8416090920653,1367.5773608493341
320100,-0.4,1.68,1346.8300215397212,1367.5773608493341
320100,-0.3,1.68,1357.93473225388,1367.5773608493341
320100,-0.2,1.68,1368.8683734939234,1367.5773608493341
320100,-0.4,1.75,1390.0464597149603,1367.5773608493341
320100,-0.3,1.75,1400.963718972685,1367.5773608493341
320100,-0.2,1.75,1411.5020328535018,1367.5773608493341
