adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
330600,-0.4,1.6,1159.6586772231742,1181.2971087030107
330600,-0.3,1.6,1172.9227239436002,1181.2971087030107
330600,-0.2,1.6,1186.0050202598961,1181.2971087030107
330600,-0.4,1.68,1162.4859944860611,1181.2971087030107
330600,-0.3,1.68,1175.7797556321627,1181.2971087030107
330600,-0.2,1.68,1188.8931555302008,1181.2971087030107
330600,-0.4,1.75,1202.0747830525313,1181.2971087030107
330600,-0.3,1.75,1215.4463335477449,1181.2971087030107
330600,-0.2,1.75,1228.4265920442208,1181.2971087030107
