adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
620600,-0.4,1.6,1768.549585029891,1790.4268810037913
620600,-0.3,1.6,1777.8311503088687,1790.4268810037913
620600,-0.2,1.6,1786.4242542982486,1790.4268810037913
620600,-0.4,1.68,1769.4518439627377,1790.4268810037913
620600,-0.3,1.68,1778.6846598159348,1790.4268810037913
620600,-0.2,1.68,1787.2744479554801,1790.4268810037913
620600,-0.4,1.75,1808.8386868423431,1790.4268810037913
620600,-0.3,1.75,1817.4652209502258,1790.4268810037913
620600,-0.2,1.75,1825.309617936903,1790.4268810037913
