adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
350900,-0.4,1.6,1158.11464967892,1181.7755720933267
350900,-0.3,1.6,1175.7975374350376,1181.7755720933267
350900,-0.2,1.6,1193.4749504967028,1181.7755720933267
350900,-0.4,1.68,1160.9520332300785,1181.7755720933267
350900,-0.3,1.68,1178.714770809312,1181.7755720933267
350900,-0.2,1.68,1196.4619267748692,1181.7755720933267
350900,-0.4,1.75,1201.5529214261464,1181.7755720933267
350900,-0.3,1.75,1219.8313700531357,1181.7755720933267
350900,-0.2,1.75,1237.9718450473504,1181.7755720933267
