adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
220700,-0.4,1.6,1635.7851327776511,1652.0885238541537
220700,-0.3,1.6,1633.1445130112243,1652.0885238541537
220700,-0.2,1.6,1629.7346568536636,1652.0885238541537
220700,-0.4,1.68,1637.8560182286697,1652.0885238541537
220700,-0.3,1.68,1635.5383022720432,1652.0885238541537
220700,-0.2,1.68,1632.437507181988,1652.0885238541537
220700,-0.4,1.75,1676.2666605120846,1652.0885238541537
220700,-0.3,1.75,1673.9525301365177,1652.0885238541537
220700,-0.2,1.75,1670.970832696216,1652.0885238541537
