adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
420200,-0.4,1.6,1223.1199270635905,1245.7317730445734
420200,-0.3,1.6,1236.3918229433768,1245.7317730445734
420200,-0.2,1.6,1249.433200277088,1245.7317730445734
420200,-0.4,1.68,1225.911655210502,1245.7317730445734
420200,-0.3,1.68,1239.2155953052866,1245.7317730445734
420200,-0.2,1.68,1252.2637002098643,1245.7317730445734
420200,-0.4,1.75,1266.3949509102902,1245.7317730445734
420200,-0.3,1.75,1279.5165712343412,1245.7317730445734
420200,-0.2,1.75,1292.2164677796488,1245.7317730445734
