adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
640400,-0.4,1.6,1560.277377191255,1583.8929469300522
640400,-0.3,1.6,1560.2181123437877,1583.8929469300522
640400,-0.2,1.6,1559.8619752252757,1583.8929469300522
640400,-0.4,1.68,1565.0835042755016,1583.8929469300522
640400,-0.3,1.68,1565.0464687384278,1583.8929469300522
640400,-0.2,1.68,1564.7136974936163,1583.8929469300522
640400,-0.4,1.75,1614.9861747262958,1583.8929469300522
640400,-0.3,1.75,1614.589962609967,1583.8929469300522
640400,-0.2,1.75,1613.7847670107735,1583.8929469300522
