adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
370100,-0.4,1.6,1522.411130647255,1547.1429596880657
370100,-0.3,1.6,1533.3629190002277,1547.1429596880657
370100,-0.2,1.6,1544.171732584262,1547.1429596880657
370100,-0.4,1.68,1525.1840460977758,1547.1429596880657
370100,-0.3,1.68,1536.2084015078465,1547.1429596880657
370100,-0.2,1.68,1547.0275737171683,1547.1429596880657
370100,-0.4,1.75,1568.8069048233742,1547.1429596880657
370100,-0.3,1.75,1579.6952066417173,1547.1429596880657
370100,-0.2,1.75,1590.0921972185363,1547.1429596880657
