adcode,gamma,gap,yield_kwh_kwp,csi_kwh_kwp
361000,-0.4,1.6,1122.489456592228,1144.557642829879
361000,-0.3,1.6,1138.4936432390807,1144.557642829879
361000,-0.2,1.6,1154.3789028845517,1144.557642829879
361000,-0.4,1.68,1124.8897788252525,1144.557642829879
361000,-0.3,1.68,1140.934015786004,1144.557642829879
361000,-0.2,1.68,1156.8396419589612,1144.557642829879
361000,-0.4,1.75,1163.1901427939194,1144.557642829879
361000,-0.3,1.75,1179.3282479552556,1144.557642829879
361000,-0.2,1.75,1195.1984503608967,1144.557642829879
